seq,tx_ns,rx_ns,e2e_ns,secoc_auth_ns,secoc_verify_ns,cantp_ns,bus_ns,pdu_bytes,auth_bytes,fragments,signal_id,bus_id,asil,deadline_class,outcome,attack_kind,protected_mode
1,3203257,6598890,3395633,3391242,0,2036,0,34,16,1,1,0,4,1,0,0,1
0,0,9087918,9087918,0,19999,0,0,34,0,0,1,0,4,1,0,0,1
2,9091710,9109737,18027,2919,0,14245,0,34,16,1,1,0,4,1,0,0,1
0,0,11411386,11411386,0,15021,0,0,34,0,0,1,0,4,1,0,0,1
3,11414511,11431026,16515,4671,0,11422,0,34,16,1,1,0,4,1,0,0,1
0,0,13739578,13739578,0,13625,0,0,34,0,0,1,0,4,1,0,0,1
4,13743278,13759110,15832,4914,0,10511,0,34,16,1,1,0,4,1,0,0,1
0,0,15599552,15599552,0,12166,0,0,34,0,0,1,0,4,1,0,0,1
5,15612673,15628143,15470,4898,0,10195,0,34,16,1,1,0,4,1,0,0,1
0,0,17158457,17158457,0,12639,0,0,34,0,0,1,0,4,1,0,0,1
6,17161633,17177902,16269,3582,0,12357,0,34,16,1,1,0,4,1,0,0,1
0,0,19449313,19449313,0,14596,0,0,34,0,0,1,0,4,1,0,0,1
7,19452352,19467901,15549,4773,0,10435,0,34,16,1,1,0,4,1,0,0,1
0,0,21746235,21746235,0,12435,0,0,34,0,0,1,0,4,1,0,0,1
8,21748955,21765590,16635,4619,0,11742,0,34,16,1,1,0,4,1,0,0,1
0,0,24052750,24052750,0,11783,0,0,34,0,0,1,0,4,1,0,0,1
9,24055748,24068982,13234,2812,0,10082,0,34,16,1,1,0,4,1,0,0,1
0,0,26373384,26373384,0,22068,0,0,34,0,0,1,0,4,1,0,0,1
10,26376793,26391547,14754,4473,0,9898,0,34,16,1,1,0,4,1,0,0,1
0,0,28675324,28675324,0,12240,0,0,34,0,0,1,0,4,1,0,0,1
11,28678270,28694795,16525,6001,0,10178,0,34,16,1,1,0,4,1,0,0,1
0,0,30982832,30982832,0,9693,0,0,34,0,0,1,0,4,1,0,0,1
12,30985144,30997816,12672,4557,0,7871,0,34,16,1,1,0,4,1,0,0,1
0,0,33285461,33285461,0,14033,0,0,34,0,0,1,0,4,1,0,0,1
13,33289013,33303765,14752,4380,0,9935,0,34,16,1,1,0,4,1,0,0,1
0,0,35604130,35604130,0,12945,0,0,34,0,0,1,0,4,1,0,0,1
14,35607220,35624801,17581,7102,0,10116,0,34,16,1,1,0,4,1,0,0,1
0,0,37924710,37924710,0,17872,0,0,34,0,0,1,0,4,1,0,0,1
15,37929267,37949396,20129,5318,0,14393,0,34,16,1,1,0,4,1,0,0,1
0,0,40252078,40252078,0,12858,0,0,34,0,0,1,0,4,1,0,0,1
16,40255251,40270105,14854,4782,0,9658,0,34,16,1,1,0,4,1,0,0,1
0,0,42599109,42599109,0,13001,0,0,34,0,0,1,0,4,1,0,0,1
17,42602241,42617887,15646,6736,0,8688,0,34,16,1,1,0,4,1,0,0,1
0,0,44865166,44865166,0,11396,0,0,34,0,0,1,0,4,1,0,0,1
18,44867747,44881188,13441,4585,0,8556,0,34,16,1,1,0,4,1,0,0,1
0,0,47109555,47109555,0,13738,0,0,34,0,0,1,0,4,1,0,0,1
19,47112738,47127265,14527,4865,0,9256,0,34,16,1,1,0,4,1,0,0,1
0,0,49413129,49413129,0,13325,0,0,34,0,0,1,0,4,1,0,0,1
20,49415976,49430437,14461,4695,0,9357,0,34,16,1,1,0,4,1,0,0,1
0,0,51706931,51706931,0,11309,0,0,34,0,0,1,0,4,1,0,0,1
21,51709564,51722852,13288,4580,0,8399,0,34,16,1,1,0,4,1,0,0,1
0,0,54033942,54033942,0,15568,0,0,34,0,0,1,0,4,1,0,0,1
22,54037773,54056989,19216,6806,0,12053,0,34,16,1,1,0,4,1,0,0,1
0,0,56355123,56355123,0,11042,0,0,34,0,0,1,0,4,1,0,0,1
23,56357732,56399699,41967,31830,0,9744,0,34,16,1,1,0,4,1,0,0,1
0,0,58678085,58678085,0,10438,0,0,34,0,0,1,0,4,1,0,0,1
24,58680497,58692499,12002,4635,0,7107,0,34,16,1,1,0,4,1,0,0,1
0,0,60999956,60999956,0,10216,0,0,34,0,0,1,0,4,1,0,0,1
25,61002414,61014899,12485,4578,0,7558,0,34,16,1,1,0,4,1,0,0,1
0,0,63393538,63393538,0,12725,0,0,34,0,0,1,0,4,1,0,0,1
26,63396665,63413684,17019,7323,0,9327,0,34,16,1,1,0,4,1,0,0,1
0,0,64572003,64572003,0,33407,0,0,34,0,0,1,0,4,1,0,0,1
27,64584955,64610631,25676,5707,0,18597,0,34,16,1,1,0,4,1,0,0,1
0,0,66872963,66872963,0,12251,0,0,34,0,0,1,0,4,1,0,0,1
28,66876133,66897799,21666,4726,0,16646,0,34,16,1,1,0,4,1,0,0,1
0,0,69170702,69170702,0,11401,0,0,34,0,0,1,0,4,1,0,0,1
29,69173498,69186890,13392,4578,0,8507,0,34,16,1,1,0,4,1,0,0,1
0,0,71434273,71434273,0,12056,0,0,34,0,0,1,0,4,1,0,0,1
30,71437333,71450423,13090,4694,0,8113,0,34,16,1,1,0,4,1,0,0,1
0,0,73708389,73708389,0,13433,0,0,34,0,0,1,0,4,1,0,0,1
31,73712209,73725900,13691,4638,0,8711,0,34,16,1,1,0,4,1,0,0,1
0,0,76028156,76028156,0,13100,0,0,34,0,0,1,0,4,1,0,0,1
32,76031507,76045192,13685,4619,0,8730,0,34,16,1,1,0,4,1,0,0,1
0,0,78614878,78614878,0,14745,0,0,34,0,0,1,0,4,1,0,0,1
33,78619940,78636034,16094,4805,0,10886,0,34,16,1,1,0,4,1,0,0,1
0,0,80905309,80905309,0,11252,0,0,34,0,0,1,0,4,1,0,0,1
34,80908134,80921662,13528,4652,0,8542,0,34,16,1,1,0,4,1,0,0,1
0,0,82014179,82014179,0,11505,0,0,34,0,0,1,0,4,1,0,0,1
35,82017080,82030572,13492,4679,0,8462,0,34,16,1,1,0,4,1,0,0,1
0,0,84289120,84289120,0,10104,0,0,34,0,0,1,0,4,1,0,0,1
36,84291571,84303688,12117,4779,0,7109,0,34,16,1,1,0,4,1,0,0,1
0,0,86522202,86522202,0,9768,0,0,34,0,0,1,0,4,1,0,0,1
37,86524314,86536027,11713,4528,0,6872,0,34,16,1,1,0,4,1,0,0,1
0,0,88812341,88812341,0,11630,0,0,34,0,0,1,0,4,1,0,0,1
38,88815321,88829008,13687,4695,0,8657,0,34,16,1,1,0,4,1,0,0,1
0,0,91107174,91107174,0,10369,0,0,34,0,0,1,0,4,1,0,0,1
39,91109718,91122715,12997,4615,0,8096,0,34,16,1,1,0,4,1,0,0,1
0,0,93453560,93453560,0,11641,0,0,34,0,0,1,0,4,1,0,0,1
40,93456540,93470646,14106,4590,0,9210,0,34,16,1,1,0,4,1,0,0,1
0,0,95753323,95753323,0,11726,0,0,34,0,0,1,0,4,1,0,0,1
41,95756023,95771922,15899,6625,0,8933,0,34,16,1,1,0,4,1,0,0,1
0,0,98049776,98049776,0,9628,0,0,34,0,0,1,0,4,1,0,0,1
42,98052204,98063988,11784,4726,0,6827,0,34,16,1,1,0,4,1,0,0,1
0,0,100337723,100337723,0,12736,0,0,34,0,0,1,0,4,1,0,0,1
43,100341593,100371554,29961,3722,0,25885,0,34,16,1,1,0,4,1,0,0,1
0,0,102662847,102662847,0,11242,0,0,34,0,0,1,0,4,1,0,0,1
44,102665752,102678724,12972,4534,0,8117,0,34,16,1,1,0,4,1,0,0,1
0,0,104996276,104996276,0,16957,0,0,34,0,0,1,0,4,1,0,0,1
45,105000037,105020372,20335,5304,0,14669,0,34,16,1,1,0,4,1,0,0,1
0,0,107304867,107304867,0,14660,0,0,34,0,0,1,0,4,1,0,0,1
46,107308345,107325857,17512,6830,0,10279,0,34,16,1,1,0,4,1,0,0,1
0,0,109633964,109633964,0,13651,0,0,34,0,0,1,0,4,1,0,0,1
47,109637615,109654124,16509,5187,0,10927,0,34,16,1,1,0,4,1,0,0,1
0,0,111949329,111949329,0,11633,0,0,34,0,0,1,0,4,1,0,0,1
48,111952316,111965386,13070,4711,0,8114,0,34,16,1,1,0,4,1,0,0,1
0,0,114216876,114216876,0,13667,0,0,34,0,0,1,0,4,1,0,0,1
49,114220560,114236088,15528,4795,0,10365,0,34,16,1,1,0,4,1,0,0,1
0,0,116512618,116512618,0,9072,0,0,34,0,0,1,0,4,1,0,0,1
50,116514797,116525957,11160,4641,0,6276,0,34,16,1,1,0,4,1,0,0,1
0,0,117679846,117679846,0,6656,0,0,34,0,0,1,0,4,1,0,0,1
51,117681496,117690976,9480,4489,0,4800,0,34,16,1,1,0,4,1,0,0,1
0,0,119511800,119511800,0,9860,0,0,34,0,0,1,0,4,1,0,0,1
52,119514692,119527048,12356,4732,0,7365,0,34,16,1,1,0,4,1,0,0,1
0,0,121023941,121023941,0,13992,0,0,34,0,0,1,0,4,1,0,0,1
53,121026993,121042145,15152,6394,0,8196,0,34,16,1,1,0,4,1,0,0,1
0,0,123333915,123333915,0,9598,0,0,34,0,0,1,0,4,1,0,0,1
54,123336259,123348102,11843,4611,0,6996,0,34,16,1,1,0,4,1,0,0,1
0,0,125601584,125601584,0,12414,0,0,34,0,0,1,0,4,1,0,0,1
55,125605054,125618136,13082,4760,0,8038,0,34,16,1,1,0,4,1,0,0,1
0,0,127889197,127889197,0,14649,0,0,34,0,0,1,0,4,1,0,0,1
56,127892493,127909377,16884,4958,0,11566,0,34,16,1,1,0,4,1,0,0,1
0,0,130247929,130247929,0,12728,0,0,34,0,0,1,0,4,1,0,0,1
57,130251158,130264545,13387,2942,0,10100,0,34,16,1,1,0,4,1,0,0,1
0,0,132577903,132577903,0,12107,0,0,34,0,0,1,0,4,1,0,0,1
58,132580948,132604127,23179,12220,0,10539,0,34,16,1,1,0,4,1,0,0,1
0,0,134891491,134891491,0,8522,0,0,34,0,0,1,0,4,1,0,0,1
59,134893787,134905467,11680,4545,0,6821,0,34,16,1,1,0,4,1,0,0,1
0,0,137197208,137197208,0,12262,0,0,34,0,0,1,0,4,1,0,0,1
60,137200337,137214348,14011,4549,0,9120,0,34,16,1,1,0,4,1,0,0,1
0,0,139512270,139512270,0,14244,0,0,34,0,0,1,0,4,1,0,0,1
