seq,tx_ns,rx_ns,e2e_ns,secoc_auth_ns,secoc_verify_ns,cantp_ns,bus_ns,pdu_bytes,auth_bytes,fragments,signal_id,bus_id,asil,deadline_class,outcome,attack_kind,protected_mode
1,6704648,7346536,641888,426079,0,215097,0,3343,3325,53,1,0,4,1,0,0,3
0,0,8665744,8665744,0,87557,0,0,3343,0,0,1,0,4,1,0,0,3
2,8668572,9442736,774164,612741,0,161049,0,3343,3325,53,1,0,4,1,0,0,3
0,0,10914218,10914218,0,68343,0,0,3343,0,0,1,0,4,1,0,0,3
3,10917809,11266323,348514,169265,0,178824,0,3343,3325,53,1,0,4,1,0,0,3
0,0,13078525,13078525,0,74884,0,0,3343,0,0,1,0,4,1,0,0,3
4,13081897,13396406,314509,148008,0,166146,0,3343,3325,53,1,0,4,1,0,0,3
0,0,15320601,15320601,0,121677,0,0,3343,0,0,1,0,4,1,0,0,3
5,15325062,15798948,473886,159659,0,313740,0,3343,3325,53,1,0,4,1,0,0,3
0,0,17530615,17530615,0,66404,0,0,3343,0,0,1,0,4,1,0,0,3
6,17533995,17844104,310109,124889,0,184774,0,3343,3325,53,1,0,4,1,0,0,3
0,0,18630159,18630159,0,90815,0,0,3343,0,0,1,0,4,1,0,0,3
7,18633749,18906889,273140,94166,0,178574,0,3343,3325,53,1,0,4,1,0,0,3
0,0,20260936,20260936,0,115923,0,0,3343,0,0,1,0,4,1,0,0,3
8,20264022,20577041,313019,146353,0,166302,0,3343,3325,53,1,0,4,1,0,0,3
0,0,21368092,21368092,0,76982,0,0,3343,0,0,1,0,4,1,0,0,3
9,21370227,21642683,272456,101277,0,170901,0,3343,3325,53,1,0,4,1,0,0,3
0,0,22951304,22951304,0,77178,0,0,3343,0,0,1,0,4,1,0,0,3
10,22953355,23461465,508110,103306,0,404505,0,3343,3325,53,1,0,4,1,0,0,3
0,0,25155287,25155287,0,76358,0,0,3343,0,0,1,0,4,1,0,0,3
11,25158594,25587746,429152,279477,0,149293,0,3343,3325,53,1,0,4,1,0,0,3
0,0,27313513,27313513,0,87781,0,0,3343,0,0,1,0,4,1,0,0,3
12,27316670,27779336,462666,286777,0,175478,0,3343,3325,53,1,0,4,1,0,0,3
0,0,29529160,29529160,0,82298,0,0,3343,0,0,1,0,4,1,0,0,3
13,29532277,29814534,282257,110412,0,171426,0,3343,3325,53,1,0,4,1,0,0,3
0,0,31740149,31740149,0,92705,0,0,3343,0,0,1,0,4,1,0,0,3
14,31743299,32009651,266352,112847,0,153072,0,3343,3325,53,1,0,4,1,0,0,3
0,0,32827025,32827025,0,82856,0,0,3343,0,0,1,0,4,1,0,0,3
15,32838937,33342564,503627,218304,0,284964,0,3343,3325,53,1,0,4,1,0,0,3
0,0,35069633,35069633,0,94476,0,0,3343,0,0,1,0,4,1,0,0,3
16,35073799,35361681,287882,126447,0,160935,0,3343,3325,53,1,0,4,1,0,0,3
0,0,37257139,37257139,0,69774,0,0,3343,0,0,1,0,4,1,0,0,3
