scenario,D1_miss_pct,D2_miss_pct,D3_miss_pct,D4_miss_pct,D5_miss_pct,D6_miss_pct
attacks_aggregate,0.00,0.00,0.00,0.00,0.00,0.00
attacks_dos_flood,0.00,0.00,0.00,0.00,0.00,0.00
attacks_downgrade_hmac,0.00,0.00,0.00,0.00,0.00,0.00
attacks_freshness_rollback,0.00,0.00,0.00,0.00,0.00,0.00
attacks_harvest_now,0.00,0.00,0.00,0.00,0.00,0.00
attacks_mitm_key_confuse,0.00,0.00,0.00,0.00,0.00,0.00
attacks_replay,0.00,0.00,0.00,0.00,0.00,0.00
attacks_sig_fuzz,0.00,0.00,0.00,0.00,0.00,0.00
attacks_tamper_auth,0.00,0.00,0.00,0.00,0.00,0.00
attacks_tamper_payload,0.00,0.00,0.00,0.00,0.00,0.00
attacks_timing_probe,0.00,0.00,0.00,0.00,0.00,0.00
baseline_hmac_r1,0.17,0.00,0.00,0.00,0.00,0.00
baseline_hybrid_r1,0.00,0.00,0.00,0.00,0.00,0.00
baseline_pqc_r1,0.17,0.00,0.00,0.00,0.00,0.00
mixed_bus_can,0.00,0.00,0.00,0.00,0.00,0.00
mixed_bus_eth,0.00,0.00,0.00,0.00,0.00,0.00
rekey_r1,0.00,0.00,0.00,0.00,0.00,0.00
tput_hmac_canfd_r1,0.00,0.00,0.00,0.00,0.00,0.00
tput_pqc_eth1000_r1,0.00,0.00,0.00,0.00,0.00,0.00
tput_pqc_eth100_r1,0.00,0.00,0.00,0.00,0.00,0.00
