seq,tx_ns,rx_ns,e2e_ns,secoc_auth_ns,secoc_verify_ns,cantp_ns,bus_ns,pdu_bytes,auth_bytes,fragments,signal_id,bus_id,asil,deadline_class,outcome,attack_kind,protected_mode
1,4710499,4989198,278699,185610,0,92810,0,3327,3309,52,4,0,3,2,0,0,2
0,0,5927019,5927019,0,120877,0,0,3327,0,0,4,0,3,2,0,0,2
2,5930167,6170255,240088,139380,0,100429,0,3327,3309,52,4,0,3,2,0,0,2
0,0,8334325,8334325,0,122139,0,0,3327,0,0,4,0,3,2,0,0,2
3,8337538,8539873,202335,80232,0,121674,0,3327,3309,52,4,0,3,2,0,0,2
0,0,9846083,9846083,0,125858,0,0,3327,0,0,4,0,3,2,0,0,2
4,9850084,10163110,313026,207853,0,104738,0,3327,3309,52,4,0,3,2,0,0,2
0,0,11917589,11917589,0,0,0,0,3327,0,0,4,0,3,2,3,0,2
5,11921187,12349102,427915,228271,0,199334,0,3327,3309,52,4,0,3,2,0,0,2
0,0,14090085,14090085,0,0,0,0,3327,0,0,4,0,3,2,3,0,2
6,14092835,14394848,302013,170408,0,131260,0,3327,3309,52,4,0,3,2,0,0,2
0,0,17334314,17334314,0,0,0,0,3327,0,0,4,0,3,2,3,0,2
7,17337874,17632413,294539,162932,0,131347,0,3327,3309,52,4,0,3,2,0,0,2
0,0,18965684,18965684,0,115710,0,0,3327,0,0,4,0,3,2,3,0,2
8,18968721,19150291,181570,80369,0,100928,0,3327,3309,52,4,0,3,2,0,0,2
0,0,20424567,20424567,0,110059,0,0,3327,0,0,4,0,3,2,3,0,2
9,20426439,20715821,289382,186433,0,102745,0,3327,3309,52,4,0,3,2,0,0,2
0,0,21394451,21394451,0,29867,0,0,3327,0,0,4,0,3,2,3,0,2
10,21396155,21751385,355230,157347,0,197671,0,3327,3309,52,4,0,3,2,0,0,2
0,0,23672844,23672844,0,125174,0,0,3327,0,0,4,0,3,2,3,0,2
