seq,tx_ns,rx_ns,e2e_ns,secoc_auth_ns,secoc_verify_ns,cantp_ns,bus_ns,pdu_bytes,auth_bytes,fragments,signal_id,bus_id,asil,deadline_class,outcome,attack_kind,protected_mode
1,5256382,5440481,184099,78676,0,105157,0,3327,3309,52,4,0,3,2,0,0,2
0,0,6769355,6769355,0,112433,0,0,3327,0,0,4,0,3,2,0,0,2
1,6772471,6967907,195436,95352,0,99726,0,3327,3309,52,4,0,3,2,0,0,2
0,0,7890324,7890324,0,126647,0,0,3327,0,0,4,0,3,2,0,0,2
2,7893218,8167308,274090,179697,0,94106,0,3327,3309,52,4,0,3,2,0,0,2
0,0,10113956,10113956,0,127192,0,0,3327,0,0,4,0,3,2,0,0,2
2,10117293,10341575,224282,122306,0,101395,0,3327,3309,52,4,0,3,2,0,0,2
0,0,11189765,11189765,0,116008,0,0,3327,0,0,4,0,3,2,0,0,2
3,11193009,11469659,276650,178630,0,97749,0,3327,3309,52,4,0,3,2,0,0,2
0,0,13411041,13411041,0,119960,0,0,3327,0,0,4,0,3,2,0,0,2
3,13414060,13601328,187268,86612,0,100286,0,3327,3309,52,4,0,3,2,0,0,2
0,0,14480895,14480895,0,110693,0,0,3327,0,0,4,0,3,2,0,0,2
4,14484038,14769053,285015,178883,0,105869,0,3327,3309,52,4,0,3,2,0,0,2
0,0,15578022,15578022,0,111969,0,0,3327,0,0,4,0,3,2,0,0,2
4,15581206,16048677,467471,361070,0,106125,0,3327,3309,52,4,0,3,2,0,0,2
0,0,16726431,16726431,0,118147,0,0,3327,0,0,4,0,3,2,0,0,2
5,16729129,17082253,353124,156366,0,196478,0,3327,3309,52,4,0,3,2,0,0,2
0,0,18891966,18891966,0,124217,0,0,3327,0,0,4,0,3,2,0,0,2
5,18894708,19211541,316833,127944,0,188545,0,3327,3309,52,4,0,3,2,0,0,2
0,0,19987617,19987617,0,111669,0,0,3327,0,0,4,0,3,2,0,0,2
6,19990340,20208957,218617,110229,0,108121,0,3327,3309,52,4,0,3,2,0,0,2
0,0,21530372,21530372,0,110700,0,0,3327,0,0,4,0,3,2,0,0,2
6,21532990,22182766,649776,548310,0,101209,0,3327,3309,52,4,0,3,2,0,0,2
0,0,23703780,23703780,0,109113,0,0,3327,0,0,4,0,3,2,0,0,2
7,23706138,23960755,254617,116194,0,138026,0,3327,3309,52,4,0,3,2,0,0,2
0,0,24794564,24794564,0,111339,0,0,3327,0,0,4,0,3,2,0,0,2
7,24797440,24987863,190423,88384,0,101788,0,3327,3309,52,4,0,3,2,0,0,2
0,0,25887365,25887365,0,124277,0,0,3327,0,0,4,0,3,2,0,0,2
8,25890834,26060494,169660,69463,0,99731,0,3327,3309,52,4,0,3,2,0,0,2
0,0,27446544,27446544,0,111274,0,0,3327,0,0,4,0,3,2,0,0,2
8,27448963,27691960,242997,140864,0,101866,0,3327,3309,52,4,0,3,2,0,0,2
0,0,28527403,28527403,0,110449,0,0,3327,0,0,4,0,3,2,0,0,2
9,28529995,28757272,227277,120273,0,106750,0,3327,3309,52,4,0,3,2,0,0,2
0,0,30013901,30013901,0,110035,0,0,3327,0,0,4,0,3,2,0,0,2
9,30016200,30256016,239816,141203,0,98361,0,3327,3309,52,4,0,3,2,0,0,2
0,0,31114093,31114093,0,115908,0,0,3327,0,0,4,0,3,2,0,0,2
10,31117512,31425291,307779,101773,0,205727,0,3327,3309,52,4,0,3,2,0,0,2
0,0,33291581,33291581,0,111385,0,0,3327,0,0,4,0,3,2,0,0,2
10,33294284,33644064,349780,153401,0,196131,0,3327,3309,52,4,0,3,2,0,0,2
0,0,34387889,34387889,0,108966,0,0,3327,0,0,4,0,3,2,0,0,2
11,34390376,34700164,309788,211813,0,97743,0,3327,3309,52,4,0,3,2,0,0,2
0,0,35489049,35489049,0,110518,0,0,3327,0,0,4,0,3,2,0,0,2
11,35491723,35747629,255906,157257,0,98403,0,3327,3309,52,4,0,3,2,0,0,2
0,0,36556832,36556832,0,109227,0,0,3327,0,0,4,0,3,2,0,0,2
12,36559034,36822516,263482,169538,0,93730,0,3327,3309,52,4,0,3,2,0,0,2
0,0,38747898,38747898,0,111594,0,0,3327,0,0,4,0,3,2,0,0,2
12,38750824,39057033,306209,183608,0,122248,0,3327,3309,52,4,0,3,2,0,0,2
0,0,39832601,39832601,0,111897,0,0,3327,0,0,4,0,3,2,0,0,2
13,39835245,40070103,234858,134754,0,99764,0,3327,3309,52,4,0,3,2,0,0,2
0,0,41393383,41393383,0,111609,0,0,3327,0,0,4,0,3,2,0,0,2
13,41396178,41619627,223449,124711,0,98371,0,3327,3309,52,4,0,3,2,0,0,2
0,0,42465395,42465395,0,110241,0,0,3327,0,0,4,0,3,2,0,0,2
14,42467745,42800448,332703,233087,0,99370,0,3327,3309,52,4,0,3,2,0,0,2
0,0,43586220,43586220,0,112157,0,0,3327,0,0,4,0,3,2,0,0,2
14,43589253,43805208,215955,95467,0,120169,0,3327,3309,52,4,0,3,2,0,0,2
0,0,44687303,44687303,0,112819,0,0,3327,0,0,4,0,3,2,0,0,2
15,44689745,45178799,489054,295154,0,193624,0,3327,3309,52,4,0,3,2,0,0,2
0,0,46879242,46879242,0,115715,0,0,3327,0,0,4,0,3,2,0,0,2
15,46882271,47207443,325172,105772,0,219078,0,3327,3309,52,4,0,3,2,0,0,2
0,0,47995517,47995517,0,114882,0,0,3327,0,0,4,0,3,2,0,0,2
16,47998562,48289011,290449,189365,0,100751,0,3327,3309,52,4,0,3,2,0,0,2
0,0,49078288,49078288,0,111820,0,0,3327,0,0,4,0,3,2,0,0,2
16,49081362,49374075,292713,186695,0,105677,0,3327,3309,52,4,0,3,2,0,0,2
0,0,50160030,50160030,0,114880,0,0,3327,0,0,4,0,3,2,0,0,2
17,50162390,50470741,308351,209262,0,98785,0,3327,3309,52,4,0,3,2,0,0,2
0,0,51265213,51265213,0,111869,0,0,3327,0,0,4,0,3,2,0,0,2
17,51267817,51446912,179095,78011,0,100800,0,3327,3309,52,4,0,3,2,0,0,2
0,0,52366744,52366744,0,109776,0,0,3327,0,0,4,0,3,2,0,0,2
18,52368866,52535257,166391,68887,0,97312,0,3327,3309,52,4,0,3,2,0,0,2
0,0,53894252,53894252,0,126079,0,0,3327,0,0,4,0,3,2,0,0,2
18,53897448,54144367,246919,127320,0,119163,0,3327,3309,52,4,0,3,2,0,0,2
0,0,54916339,54916339,0,35392,0,0,3327,0,0,4,0,3,2,0,0,2
19,54918724,55102461,183737,83650,0,99733,0,3327,3309,52,4,0,3,2,0,0,2
0,0,57518664,57518664,0,126091,0,0,3327,0,0,4,0,3,2,0,0,2
19,57522246,57761945,239699,116871,0,122472,0,3327,3309,52,4,0,3,2,0,0,2
0,0,58695026,58695026,0,133233,0,0,3327,0,0,4,0,3,2,0,0,2
20,58698585,60565543,1866958,1592667,0,273882,0,3327,3309,52,4,0,3,2,0,0,2
0,0,62025547,62025547,0,113828,0,0,3327,0,0,4,0,3,2,0,0,2
20,62028353,62442103,413750,225585,0,187896,0,3327,3309,52,4,0,3,2,0,0,2
0,0,63130974,63130974,0,110998,0,0,3327,0,0,4,0,3,2,0,0,2
21,63133779,63393573,259794,163823,0,95705,0,3327,3309,52,4,0,3,2,0,0,2
0,0,64287549,64287549,0,146049,0,0,3327,0,0,4,0,3,2,0,0,2
21,64290738,64589473,298735,198776,0,99655,0,3327,3309,52,4,0,3,2,0,0,2
0,0,65334720,65334720,0,108410,0,0,3327,0,0,4,0,3,2,0,0,2
22,65337187,65507037,169850,72491,0,97087,0,3327,3309,52,4,0,3,2,0,0,2
0,0,66792521,66792521,0,111449,0,0,3327,0,0,4,0,3,2,0,0,2
22,66794711,67123694,328983,227826,0,100918,0,3327,3309,52,4,0,3,2,0,0,2
0,0,67912091,67912091,0,131059,0,0,3327,0,0,4,0,3,2,0,0,2
23,67914936,68271560,356624,243322,0,112999,0,3327,3309,52,4,0,3,2,0,0,2
0,0,70050944,70050944,0,123664,0,0,3327,0,0,4,0,3,2,0,0,2
23,70052979,70296024,243045,131138,0,111686,0,3327,3309,52,4,0,3,2,0,0,2
0,0,71174164,71174164,0,130959,0,0,3327,0,0,4,0,3,2,0,0,2
24,71178180,71506628,328448,184632,0,143420,0,3327,3309,52,4,0,3,2,0,0,2
0,0,74408455,74408455,0,112610,0,0,3327,0,0,4,0,3,2,0,0,2
24,74411261,74640378,229117,121593,0,107258,0,3327,3309,52,4,0,3,2,0,0,2
0,0,75499997,75499997,0,110384,0,0,3327,0,0,4,0,3,2,0,0,2
25,75502516,75803723,301207,97905,0,203005,0,3327,3309,52,4,0,3,2,0,0,2
0,0,77678555,77678555,0,115731,0,0,3327,0,0,4,0,3,2,0,0,2
25,77680885,78047084,366199,143242,0,222617,0,3327,3309,52,4,0,3,2,0,0,2
0,0,78759678,78759678,0,117373,0,0,3327,0,0,4,0,3,2,0,0,2
26,78766486,79221551,455065,337631,0,116976,0,3327,3309,52,4,0,3,2,0,0,2
0,0,80951323,80951323,0,131089,0,0,3327,0,0,4,0,3,2,0,0,2
26,80953360,81218417,265057,169461,0,95293,0,3327,3309,52,4,0,3,2,0,0,2
0,0,84221132,84221132,0,118669,0,0,3327,0,0,4,0,3,2,0,0,2
27,84223888,84467716,243828,142302,0,101222,0,3327,3309,52,4,0,3,2,0,0,2
0,0,86423666,86423666,0,112158,0,0,3327,0,0,4,0,3,2,0,0,2
27,86426777,86664567,237790,132107,0,105409,0,3327,3309,52,4,0,3,2,0,0,2
0,0,87546881,87546881,0,129940,0,0,3327,0,0,4,0,3,2,0,0,2
28,87549725,87849725,300000,206004,0,93673,0,3327,3309,52,4,0,3,2,0,0,2
