seq,tx_ns,rx_ns,e2e_ns,secoc_auth_ns,secoc_verify_ns,cantp_ns,bus_ns,pdu_bytes,auth_bytes,fragments,signal_id,bus_id,asil,deadline_class,outcome,attack_kind,protected_mode
1,2605674,4288420,1682746,1681393,0,119,819,34,16,1,4,0,3,2,0,0,1
0,0,5688833,5688833,0,4850,0,0,34,0,0,4,0,3,2,0,0,1
2,5690536,5706112,15576,1870,0,81,13388,34,16,1,4,0,3,2,0,0,1
0,0,7960063,7960063,0,3613,0,0,34,0,0,4,0,3,2,0,0,1
3,7961513,7969587,8074,1649,0,80,6132,34,16,1,4,0,3,2,0,0,1
0,0,10206334,10206334,0,3083,0,0,34,0,0,4,0,3,2,0,0,1
4,10207706,10217121,9415,1677,0,79,7445,34,16,1,4,0,3,2,0,0,1
0,0,12464757,12464757,0,0,0,0,34,0,0,4,0,3,2,3,0,1
5,12466497,12477916,11419,4225,0,80,6881,34,16,1,4,0,3,2,0,0,1
0,0,14751064,14751064,0,0,0,0,34,0,0,4,0,3,2,3,0,1
6,14752421,14762290,9869,3481,0,78,6068,34,16,1,4,0,3,2,0,0,1
0,0,17028251,17028251,0,0,0,0,34,0,0,4,0,3,2,3,0,1
7,17029733,17040616,10883,4292,0,82,6280,34,16,1,4,0,3,2,0,0,1
0,0,19273294,19273294,0,3506,0,0,34,0,0,4,0,3,2,0,0,1
8,19274592,19282612,8020,1678,0,112,6008,34,16,1,4,0,3,2,0,0,1
0,0,21557215,21557215,0,3985,0,0,34,0,0,4,0,3,2,0,0,1
9,21558720,21567117,8397,1652,0,113,6414,34,16,1,4,0,3,2,0,0,1
0,0,23854267,23854267,0,4686,0,0,34,0,0,4,0,3,2,0,0,1
10,23856113,23866810,10697,2606,0,103,7756,34,16,1,4,0,3,2,0,0,1
0,0,25063246,25063246,0,4049,0,0,34,0,0,4,0,3,2,0,0,1
11,25065023,25077137,12114,2576,0,94,9210,34,16,1,4,0,3,2,0,0,1
0,0,27327692,27327692,0,8045,0,0,34,0,0,4,0,3,2,0,0,1
12,27330456,27342800,12344,1928,0,97,9993,34,16,1,4,0,3,2,0,0,1
0,0,29573724,29573724,0,3748,0,0,34,0,0,4,0,3,2,0,0,1
