seq,tx_ns,rx_ns,e2e_ns,secoc_auth_ns,secoc_verify_ns,cantp_ns,bus_ns,pdu_bytes,auth_bytes,fragments,signal_id,bus_id,asil,deadline_class,outcome,attack_kind,protected_mode
1,4589221,4734635,145414,138928,0,205,5921,4343,3309,3,13,0,2,5,0,0,2
0,0,5506947,5506947,0,43724,0,0,4343,0,0,13,0,2,5,0,0,2
2,5509405,5645045,135640,124196,0,224,10686,4343,3309,3,13,0,2,5,0,0,2
0,0,6844916,6844916,0,32709,0,0,4343,0,0,13,0,2,5,0,0,2
3,6846423,6979448,133025,125255,0,189,7282,4343,3309,3,13,0,2,5,0,0,2
0,0,8151367,8151367,0,32350,0,0,4343,0,0,13,0,2,5,0,0,2
4,8152711,8226091,73380,65373,0,192,7528,4343,3309,3,13,0,2,5,0,0,2
0,0,9397589,9397589,0,32675,0,0,4343,0,0,13,0,2,5,0,0,2
5,9398950,9587816,188866,181477,0,183,6920,4343,3309,3,13,0,2,5,0,0,2
0,0,10768520,10768520,0,32074,0,0,4343,0,0,13,0,2,5,0,0,2
6,10769867,10906864,136997,127178,0,179,9299,4343,3309,3,13,0,2,5,0,0,2
0,0,11894435,11894435,0,32834,0,0,4343,0,0,13,0,2,5,0,0,2
7,11895772,12044138,148366,139192,0,176,8727,4343,3309,3,13,0,2,5,0,0,2
0,0,13226479,13226479,0,32208,0,0,4343,0,0,13,0,2,5,0,0,2
8,13227662,13442295,214633,205649,0,181,8535,4343,3309,3,13,0,2,5,0,0,2
0,0,14315844,14315844,0,32050,0,0,4343,0,0,13,0,2,5,0,0,2
9,14317027,14422914,105887,97732,0,179,7717,4343,3309,3,13,0,2,5,0,0,2
0,0,15205409,15205409,0,32487,0,0,4343,0,0,13,0,2,5,0,0,2
10,15206621,15372714,166093,157919,0,178,7693,4343,3309,3,13,0,2,5,0,0,2
0,0,16766141,16766141,0,41106,0,0,4343,0,0,13,0,2,5,0,0,2
11,16767454,16852241,84787,77031,0,164,7320,4343,3309,3,13,0,2,5,0,0,2
0,0,18049649,18049649,0,32478,0,0,4343,0,0,13,0,2,5,0,0,2
12,18050838,18158974,108136,99572,0,164,8131,4343,3309,3,13,0,2,5,0,0,2
0,0,19331522,19331522,0,32571,0,0,4343,0,0,13,0,2,5,0,0,2
13,19332720,19435221,102501,92731,0,207,9182,4343,3309,3,13,0,2,5,0,0,2
0,0,20612832,20612832,0,32533,0,0,4343,0,0,13,0,2,5,0,0,2
14,20614156,20847664,233508,224847,0,191,8172,4343,3309,3,13,0,2,5,0,0,2
0,0,22032934,22032934,0,32770,0,0,4343,0,0,13,0,2,5,0,0,2
15,22034414,22218471,184057,176017,0,202,7575,4343,3309,3,13,0,2,5,0,0,2
0,0,23401990,23401990,0,32499,0,0,4343,0,0,13,0,2,5,0,0,2
16,23403420,23478807,75387,66787,0,217,8135,4343,3309,3,13,0,2,5,0,0,2
0,0,24662687,24662687,0,35605,0,0,4343,0,0,13,0,2,5,0,0,2
17,24664505,24822258,157753,145031,0,174,12120,4343,3309,3,13,0,2,5,0,0,2
0,0,26009883,26009883,0,32540,0,0,4343,0,0,13,0,2,5,0,0,2
18,26011205,26109915,98710,82419,0,205,15849,4343,3309,3,13,0,2,5,0,0,2
0,0,27325957,27325957,0,32574,0,0,4343,0,0,13,0,2,5,0,0,2
19,27327301,27418056,90755,81968,0,211,8345,4343,3309,3,13,0,2,5,0,0,2
0,0,28621665,28621665,0,41760,0,0,4343,0,0,13,0,2,5,0,0,2
20,28623873,28717033,93160,82248,0,225,10313,4343,3309,3,13,0,2,5,0,0,2
0,0,29888538,29888538,0,33276,0,0,4343,0,0,13,0,2,5,0,0,2
21,29889880,29982728,92848,85433,0,188,6949,4343,3309,3,13,0,2,5,0,0,2
0,0,30621043,30621043,0,32348,0,0,4343,0,0,13,0,2,5,0,0,2
22,30622333,30738500,116167,106747,0,162,8957,4343,3309,3,13,0,2,5,0,0,2
0,0,31347345,31347345,0,32009,0,0,4343,0,0,13,0,2,5,0,0,2
23,31348557,31428242,79685,70721,0,241,8413,4343,3309,3,13,0,2,5,0,0,2
0,0,32713084,32713084,0,32256,0,0,4343,0,0,13,0,2,5,0,0,2
24,32714327,32787464,73137,65245,0,204,7408,4343,3309,3,13,0,2,5,0,0,2
0,0,33962346,33962346,0,32506,0,0,4343,0,0,13,0,2,5,0,0,2
25,33963515,34120760,157245,150324,0,174,6464,4343,3309,3,13,0,2,5,0,0,2
0,0,35302288,35302288,0,33064,0,0,4343,0,0,13,0,2,5,0,0,2
26,35303463,35461751,158288,151076,0,163,6737,4343,3309,3,13,0,2,5,0,0,2
0,0,36648890,36648890,0,32400,0,0,4343,0,0,13,0,2,5,0,0,2
27,36650113,36758793,108680,99652,0,164,8610,4343,3309,3,13,0,2,5,0,0,2
0,0,37957987,37957987,0,46232,0,0,4343,0,0,13,0,2,5,0,0,2
28,37960691,38102986,142295,128815,0,250,12783,4343,3309,3,13,0,2,5,0,0,2
0,0,39304448,39304448,0,37748,0,0,4343,0,0,13,0,2,5,0,0,2
29,39306227,39423089,116862,108504,0,223,7775,4343,3309,3,13,0,2,5,0,0,2
0,0,40600061,40600061,0,33273,0,0,4343,0,0,13,0,2,5,0,0,2
30,40601674,40679260,77586,68555,0,191,8570,4343,3309,3,13,0,2,5,0,0,2
0,0,41861888,41861888,0,32491,0,0,4343,0,0,13,0,2,5,0,0,2
31,41863335,41989215,125880,118279,0,191,7154,4343,3309,3,13,0,2,5,0,0,2
0,0,42948238,42948238,0,32695,0,0,4343,0,0,13,0,2,5,0,0,2
32,42949560,43098319,148759,139193,0,221,9102,4343,3309,3,13,0,2,5,0,0,2
0,0,44299159,44299159,0,52192,0,0,4343,0,0,13,0,2,5,0,0,2
33,44300408,44409607,109199,100883,0,205,7838,4343,3309,3,13,0,2,5,0,0,2
0,0,45575557,45575557,0,32966,0,0,4343,0,0,13,0,2,5,0,0,2
34,45576971,45783715,206744,197863,0,227,8378,4343,3309,3,13,0,2,5,0,0,2
0,0,46957423,46957423,0,32464,0,0,4343,0,0,13,0,2,5,0,0,2
35,46958641,47099226,140585,132820,0,190,7310,4343,3309,3,13,0,2,5,0,0,2
0,0,48297570,48297570,0,32729,0,0,4343,0,0,13,0,2,5,0,0,2
