sim_ns,signal_id,bus_id,attack_kind,detected,extra,note
11861945,4,0,1,0,0,"replay injected"
14142423,4,0,1,0,0,"replay injected"
16632470,4,0,1,0,0,"replay injected"
18950095,4,0,1,0,0,"replay injected"
21239451,4,0,1,0,0,"replay injected"
23548513,4,0,1,0,0,"replay injected"
25839172,4,0,1,0,0,"replay injected"
28154000,4,0,1,0,0,"replay injected"
30454897,4,0,1,0,0,"replay injected"
32788365,4,0,1,0,0,"replay injected"
35102432,4,0,1,0,0,"replay injected"
37421677,4,0,1,0,0,"replay injected"
39688517,4,0,1,0,0,"replay injected"
42010216,4,0,1,0,0,"replay injected"
44386597,4,0,1,0,0,"replay injected"
46692327,4,0,1,0,0,"replay injected"
48986283,4,0,1,0,0,"replay injected"
51268073,4,0,1,0,0,"replay injected"
53554004,4,0,1,0,0,"replay injected"
55856609,4,0,1,0,0,"replay injected"
58162160,4,0,1,0,0,"replay injected"
60184008,4,0,1,0,0,"replay injected"
61647392,4,0,1,0,0,"replay injected"
63951374,4,0,1,0,0,"replay injected"
66231486,4,0,1,0,0,"replay injected"
68520972,4,0,1,0,0,"replay injected"
70781728,4,0,1,0,0,"replay injected"
73099047,4,0,1,0,0,"replay injected"
75453392,4,0,1,0,0,"replay injected"
77735483,4,0,1,0,0,"replay injected"
79739023,4,0,1,0,0,"replay injected"
81117589,4,0,1,0,0,"replay injected"
82325293,4,0,1,0,0,"replay injected"
84638587,4,0,1,0,0,"replay injected"
86940826,4,0,1,0,0,"replay injected"
89231174,4,0,1,0,0,"replay injected"
91543422,4,0,1,0,0,"replay injected"
93859060,4,0,1,0,0,"replay injected"
96158838,4,0,1,0,0,"replay injected"
98434351,4,0,1,0,0,"replay injected"
99412874,4,0,1,0,0,"replay injected"
100818281,4,0,1,0,0,"replay injected"
103092574,4,0,1,0,0,"replay injected"
105377992,4,0,1,0,0,"replay injected"
107674939,4,0,1,0,0,"replay injected"
109962225,4,0,1,0,0,"replay injected"
112228827,4,0,1,0,0,"replay injected"
114481301,4,0,1,0,0,"replay injected"
115221398,4,0,1,0,0,"replay injected"
116995039,4,0,1,0,0,"replay injected"
119304497,4,0,1,0,0,"replay injected"
121638024,4,0,1,0,0,"replay injected"
123918942,4,0,1,0,0,"replay injected"
126229426,4,0,1,0,0,"replay injected"
128525226,4,0,1,0,0,"replay injected"
130841323,4,0,1,0,0,"replay injected"
131555965,4,0,1,0,0,"replay injected"
133340592,4,0,1,0,0,"replay injected"
135623576,4,0,1,0,0,"replay injected"
137957333,4,0,1,0,0,"replay injected"
140265821,4,0,1,0,0,"replay injected"
142564442,4,0,1,0,0,"replay injected"
144926779,4,0,1,0,0,"replay injected"
147233844,4,0,1,0,0,"replay injected"
148391903,4,0,1,0,0,"replay injected"
150742937,4,0,1,0,0,"replay injected"
153040471,4,0,1,0,0,"replay injected"
155409246,4,0,1,0,0,"replay injected"
157692675,4,0,1,0,0,"replay injected"
160039454,4,0,1,0,0,"replay injected"
162305026,4,0,1,0,0,"replay injected"
163522821,4,0,1,0,0,"replay injected"
165539653,4,0,1,0,0,"replay injected"
166930925,4,0,1,0,0,"replay injected"
169269080,4,0,1,0,0,"replay injected"
171613761,4,0,1,0,0,"replay injected"
173922754,4,0,1,0,0,"replay injected"
177865855,4,0,2,0,0,"payload bit-flip"
179564078,4,0,2,0,0,"payload bit-flip"
181875624,4,0,2,0,0,"payload bit-flip"
184179865,4,0,2,0,0,"payload bit-flip"
186473063,4,0,2,0,0,"payload bit-flip"
188793487,4,0,2,0,0,"payload bit-flip"
191121036,4,0,2,0,0,"payload bit-flip"
193453698,4,0,2,0,0,"payload bit-flip"
195784171,4,0,2,0,0,"payload bit-flip"
198111685,4,0,2,0,0,"payload bit-flip"
200472694,4,0,2,0,0,"payload bit-flip"
202785943,4,0,2,0,0,"payload bit-flip"
205181789,4,0,2,0,0,"payload bit-flip"
207520614,4,0,2,0,0,"payload bit-flip"
209854608,4,0,2,0,0,"payload bit-flip"
212176623,4,0,2,0,0,"payload bit-flip"
214508523,4,0,2,0,0,"payload bit-flip"
215716844,4,0,2,0,0,"payload bit-flip"
218083269,4,0,2,0,0,"payload bit-flip"
220432601,4,0,2,0,0,"payload bit-flip"
221559406,4,0,2,0,0,"payload bit-flip"
223891870,4,0,2,0,0,"payload bit-flip"
226191327,4,0,2,0,0,"payload bit-flip"
228505679,4,0,2,0,0,"payload bit-flip"
230779378,4,0,2,0,0,"payload bit-flip"
