seq,tx_ns,rx_ns,e2e_ns,secoc_auth_ns,secoc_verify_ns,cantp_ns,bus_ns,pdu_bytes,auth_bytes,fragments,signal_id,bus_id,asil,deadline_class,outcome,attack_kind,protected_mode
1,3084411,5417482,2333071,2331142,0,222,1054,34,16,1,4,0,3,2,0,0,1
0,0,7747077,7747077,0,18515,0,0,34,0,0,4,0,3,2,0,0,1
2,7750175,7766413,16238,5056,0,99,10806,34,16,1,4,0,3,2,0,0,1
0,0,10104671,10104671,0,14654,0,0,34,0,0,4,0,3,2,0,0,1
3,10107536,10122369,14833,4859,0,104,9589,34,16,1,4,0,3,2,0,0,1
0,0,12428440,12428440,0,15105,0,0,34,0,0,4,0,3,2,0,0,1
4,12431301,12453178,21877,4837,0,94,16658,34,16,1,4,0,3,2,0,0,1
0,0,14177247,14177247,0,13422,0,0,34,0,0,4,0,3,2,0,0,1
5,14180144,14194369,14225,4761,0,93,9080,34,16,1,4,0,3,2,0,0,1
0,0,14932535,14932535,0,8128,0,0,34,0,0,4,0,3,2,0,0,1
6,14934629,14945988,11359,2614,0,93,8405,34,16,1,4,0,3,2,0,0,1
0,0,17243072,17243072,0,14447,0,0,34,0,0,4,0,3,2,0,0,1
7,17246131,17261768,15637,4928,0,101,10316,34,16,1,4,0,3,2,0,0,1
0,0,19608044,19608044,0,34266,0,0,34,0,0,4,0,3,2,0,0,1
8,19614696,19635584,20888,5071,0,92,15252,34,16,1,4,0,3,2,0,0,1
0,0,21984239,21984239,0,25112,0,0,34,0,0,4,0,3,2,0,0,1
9,21988924,22006132,17208,5089,0,93,11607,34,16,1,4,0,3,2,0,0,1
0,0,24305659,24305659,0,14570,0,0,34,0,0,4,0,3,2,0,0,1
10,24308705,24327000,18295,4859,0,91,13031,34,16,1,4,0,3,2,0,0,1
0,0,26622472,26622472,0,13286,0,0,34,0,0,4,0,3,2,0,0,1
11,26625315,26640055,14740,4898,0,87,9446,34,16,1,4,0,3,2,0,0,1
0,0,28596254,28596254,0,18108,0,0,34,0,0,4,0,3,2,0,0,1
12,28599965,28619704,19739,6240,0,143,12951,34,16,1,4,0,3,2,0,0,1
0,0,30010931,30010931,0,20112,0,0,34,0,0,4,0,3,2,0,0,1
13,30014774,30032289,17515,4898,0,93,12199,34,16,1,4,0,3,2,0,0,1
0,0,32318118,32318118,0,16315,0,0,34,0,0,4,0,3,2,0,0,1
14,32321660,32342517,20857,4846,0,79,15534,34,16,1,4,0,3,2,0,0,1
0,0,34605867,34605867,0,12656,0,0,34,0,0,4,0,3,2,0,0,1
15,34608605,34622660,14055,4749,0,93,8959,34,16,1,4,0,3,2,0,0,1
0,0,36853999,36853999,0,10702,0,0,34,0,0,4,0,3,2,0,0,1
