seq,tx_ns,rx_ns,e2e_ns,secoc_auth_ns,secoc_verify_ns,cantp_ns,bus_ns,pdu_bytes,auth_bytes,fragments,signal_id,bus_id,asil,deadline_class,outcome,attack_kind,protected_mode
1,10870912,11344114,473202,324727,0,2115,146026,3327,3309,52,4,0,3,2,0,0,2
0,0,12135776,12135776,0,74624,0,0,3327,0,0,4,0,3,2,0,0,2
1,12138793,12432427,293634,105961,0,2362,185000,3327,3309,52,4,0,3,2,0,0,2
0,0,13155520,13155520,0,74298,0,0,3327,0,0,4,0,3,2,0,0,2
1,13160186,13527753,367567,145676,0,2506,218955,3327,3309,52,4,0,3,2,0,0,2
0,0,14393610,14393610,0,81012,0,0,3327,0,0,4,0,3,2,0,0,2
2,14397506,14917426,519920,344358,0,2120,173081,3327,3309,52,4,0,3,2,0,0,2
0,0,16606488,16606488,0,65518,0,0,3327,0,0,4,0,3,2,0,0,2
2,16611256,17046561,435305,277490,0,2106,155102,3327,3309,52,4,0,3,2,0,0,2
0,0,18789564,18789564,0,76229,0,0,3327,0,0,4,0,3,2,0,0,2
2,18793220,19214680,421460,261188,0,2084,157775,3327,3309,52,4,0,3,2,0,0,2
0,0,21033468,21033468,0,89695,0,0,3327,0,0,4,0,3,2,0,0,2
3,21037593,21347495,309902,118191,0,2298,188907,3327,3309,52,4,0,3,2,0,0,2
0,0,22143780,22143780,0,75882,0,0,3327,0,0,4,0,3,2,0,0,2
3,22147509,22560662,413153,219485,0,2241,190920,3327,3309,52,4,0,3,2,0,0,2
0,0,24360670,24360670,0,71880,0,0,3327,0,0,4,0,3,2,0,0,2
3,24364173,24883284,519111,352723,0,2097,163939,3327,3309,52,4,0,3,2,0,0,2
0,0,26518542,26518542,0,105124,0,0,3327,0,0,4,0,3,2,0,0,2
4,26523218,26843752,320534,150747,0,2091,167269,3327,3309,52,4,0,3,2,0,0,2
0,0,27596499,27596499,0,43819,0,0,3327,0,0,4,0,3,2,0,0,2
4,27599525,27946391,346866,163306,0,2220,180981,3327,3309,52,4,0,3,2,0,0,2
0,0,28766518,28766518,0,79977,0,0,3327,0,0,4,0,3,2,0,0,2
4,28770063,29040310,270247,102096,0,2100,165712,3327,3309,52,4,0,3,2,0,0,2
0,0,30422952,30422952,0,75229,0,0,3327,0,0,4,0,3,2,0,0,2
5,30435571,31017020,581449,249404,0,2266,329410,3327,3309,52,4,0,3,2,0,0,2
0,0,32650298,32650298,0,75192,0,0,3327,0,0,4,0,3,2,0,0,2
5,32653369,33096393,443024,139285,0,2292,301057,3327,3309,52,4,0,3,2,0,0,2
0,0,34898678,34898678,0,80195,0,0,3327,0,0,4,0,3,2,0,0,2
5,34902409,35542314,639905,289403,0,2101,347962,3327,3309,52,4,0,3,2,0,0,2
0,0,37095277,37095277,0,76090,0,0,3327,0,0,4,0,3,2,0,0,2
6,37098967,37437285,338318,151322,0,2338,184269,3327,3309,52,4,0,3,2,0,0,2
0,0,38201129,38201129,0,82620,0,0,3327,0,0,4,0,3,2,0,0,2
6,38205512,38586678,381166,158288,0,2379,219984,3327,3309,52,4,0,3,2,0,0,2
0,0,39394466,39394466,0,71964,0,0,3327,0,0,4,0,3,2,0,0,2
6,39397921,40034441,636520,466331,0,2093,167723,3327,3309,52,4,0,3,2,0,0,2
0,0,41637574,41637574,0,83209,0,0,3327,0,0,4,0,3,2,0,0,2
7,41641315,42284760,643445,475457,0,2104,165534,3327,3309,52,4,0,3,2,0,0,2
0,0,43782744,43782744,0,76936,0,0,3327,0,0,4,0,3,2,0,0,2
7,43786420,44241788,455368,269185,0,2087,183744,3327,3309,52,4,0,3,2,0,0,2
0,0,45981044,45981044,0,90050,0,0,3327,0,0,4,0,3,2,0,0,2
7,45985002,46319389,334387,155835,0,2083,175680,3327,3309,52,4,0,3,2,0,0,2
0,0,47129975,47129975,0,114068,0,0,3327,0,0,4,0,3,2,0,0,2
8,47134416,47439333,304917,136893,0,2093,165576,3327,3309,52,4,0,3,2,0,0,2
0,0,49243346,49243346,0,59821,0,0,3327,0,0,4,0,3,2,0,0,2
8,49246851,49783554,536703,374132,0,2092,160068,3327,3309,52,4,0,3,2,0,0,2
0,0,52551748,52551748,0,88773,0,0,3327,0,0,4,0,3,2,0,0,2
8,52555791,52825555,269764,97589,0,2085,169749,3327,3309,52,4,0,3,2,0,0,2
0,0,54075398,54075398,0,72863,0,0,3327,0,0,4,0,3,2,0,0,2
9,54088173,54391784,303611,110332,0,2408,190467,3327,3309,52,4,0,3,2,0,0,2
0,0,55209334,55209334,0,82509,0,0,3327,0,0,4,0,3,2,0,0,2
9,55212719,55548640,335921,107159,0,2716,225708,3327,3309,52,4,0,3,2,0,0,2
0,0,57397506,57397506,0,79108,0,0,3327,0,0,4,0,3,2,0,0,2
9,57402488,57697785,295297,125625,0,2143,167020,3327,3309,52,4,0,3,2,0,0,2
0,0,58490705,58490705,0,89723,0,0,3327,0,0,4,0,3,2,0,0,2
10,58494289,58909401,415112,128717,0,2175,283851,3327,3309,52,4,0,3,2,0,0,2
0,0,60691134,60691134,0,74251,0,0,3327,0,0,4,0,3,2,0,0,2
10,60694335,61112928,418593,132846,0,2136,283247,3327,3309,52,4,0,3,2,0,0,2
0,0,62893978,62893978,0,74909,0,0,3327,0,0,4,0,3,2,0,0,2
10,62897960,63271535,373575,93920,0,2178,277134,3327,3309,52,4,0,3,2,0,0,2
0,0,65112148,65112148,0,83247,0,0,3327,0,0,4,0,3,2,0,0,2
11,65234546,65535075,300529,118886,0,2132,178942,3327,3309,52,4,0,3,2,0,0,2
0,0,67303492,67303492,0,71541,0,0,3327,0,0,4,0,3,2,0,0,2
11,67306697,67617788,311091,119096,0,2092,189575,3327,3309,52,4,0,3,2,0,0,2
0,0,68433018,68433018,0,95811,0,0,3327,0,0,4,0,3,2,0,0,2
11,68435699,68714185,278486,109780,0,2087,166298,3327,3309,52,4,0,3,2,0,0,2
0,0,70618023,70618023,0,76967,0,0,3327,0,0,4,0,3,2,0,0,2
12,70621740,70956923,335183,163885,0,2103,168722,3327,3309,52,4,0,3,2,0,0,2
0,0,71728392,71728392,0,73166,0,0,3327,0,0,4,0,3,2,0,0,2
12,71731612,72092482,360870,197928,0,2086,160515,3327,3309,52,4,0,3,2,0,0,2
0,0,73910593,73910593,0,72789,0,0,3327,0,0,4,0,3,2,0,0,2
12,73914092,74228512,314420,141195,0,2077,170811,3327,3309,52,4,0,3,2,0,0,2
0,0,75014459,75014459,0,82391,0,0,3327,0,0,4,0,3,2,0,0,2
13,75030981,75372409,341428,182658,0,2096,156136,3327,3309,52,4,0,3,2,0,0,2
0,0,77208599,77208599,0,83829,0,0,3327,0,0,4,0,3,2,0,0,2
13,77211606,77537269,325663,101246,0,2383,221515,3327,3309,52,4,0,3,2,0,0,2
0,0,78303676,78303676,0,83369,0,0,3327,0,0,4,0,3,2,0,0,2
13,78308455,78637096,328641,151457,0,2210,174532,3327,3309,52,4,0,3,2,0,0,2
0,0,80606010,80606010,0,75868,0,0,3327,0,0,4,0,3,2,0,0,2
14,80613791,81029916,416125,249754,0,2094,163934,3327,3309,52,4,0,3,2,0,0,2
0,0,82787757,82787757,0,72662,0,0,3327,0,0,4,0,3,2,0,0,2
14,82790927,83051905,260978,90453,0,2119,168070,3327,3309,52,4,0,3,2,0,0,2
0,0,84985672,84985672,0,70972,0,0,3327,0,0,4,0,3,2,0,0,2
14,84988895,85294032,305137,137835,0,2091,164880,3327,3309,52,4,0,3,2,0,0,2
0,0,87166134,87166134,0,75346,0,0,3327,0,0,4,0,3,2,0,0,2
15,87181330,87684373,503043,185040,0,2253,315386,3327,3309,52,4,0,3,2,0,0,2
0,0,89411567,89411567,0,88535,0,0,3327,0,0,4,0,3,2,0,0,2
15,89416255,90007240,590985,254637,0,2293,333620,3327,3309,52,4,0,3,2,0,0,2
0,0,91603893,91603893,0,78303,0,0,3327,0,0,4,0,3,2,0,0,2
15,91607331,92169181,561850,279406,0,2381,279712,3327,3309,52,4,0,3,2,0,0,2
0,0,93771328,93771328,0,72309,0,0,3327,0,0,4,0,3,2,0,0,2
16,93775082,94132963,357881,173328,0,2105,182106,3327,3309,52,4,0,3,2,0,0,2
0,0,95937663,95937663,0,74941,0,0,3327,0,0,4,0,3,2,0,0,2
16,95941364,96217041,275677,112787,0,2088,160411,3327,3309,52,4,0,3,2,0,0,2
0,0,98103105,98103105,0,73831,0,0,3327,0,0,4,0,3,2,0,0,2
16,98107064,98382062,274998,93570,0,2107,178916,3327,3309,52,4,0,3,2,0,0,2
0,0,99742906,99742906,0,97636,0,0,3327,0,0,4,0,3,2,0,0,2
17,99746272,100154894,408622,226203,0,2414,179623,3327,3309,52,4,0,3,2,0,0,2
0,0,101916074,101916074,0,79297,0,0,3327,0,0,4,0,3,2,0,0,2
17,101919380,102213804,294424,115575,0,2195,176283,3327,3309,52,4,0,3,2,0,0,2
0,0,103024104,103024104,0,77383,0,0,3327,0,0,4,0,3,2,0,0,2
17,103027244,103283416,256172,87043,0,2099,166663,3327,3309,52,4,0,3,2,0,0,2
0,0,104101407,104101407,0,81855,0,0,3327,0,0,4,0,3,2,0,0,2
18,104104244,104849683,745439,558300,0,2253,184560,3327,3309,52,4,0,3,2,0,0,2
0,0,106269223,106269223,0,56057,0,0,3327,0,0,4,0,3,2,0,0,2
18,106272497,106602709,330212,152588,0,2100,175204,3327,3309,52,4,0,3,2,0,0,2
0,0,108553454,108553454,0,88927,0,0,3327,0,0,4,0,3,2,0,0,2
18,108557217,109122743,565526,407834,0,2111,155173,3327,3309,52,4,0,3,2,0,0,2
0,0,110720351,110720351,0,106519,0,0,3327,0,0,4,0,3,2,0,0,2
19,110724919,111002570,277651,117261,0,2097,157902,3327,3309,52,4,0,3,2,0,0,2
0,0,112902146,112902146,0,76562,0,0,3327,0,0,4,0,3,2,0,0,2
19,112905595,113183066,277471,99823,0,2092,175205,3327,3309,52,4,0,3,2,0,0,2
0,0,113986109,113986109,0,76397,0,0,3327,0,0,4,0,3,2,0,0,2
19,114000027,114407750,407723,225830,0,2494,179018,3327,3309,52,4,0,3,2,0,0,2
0,0,115263813,115263813,0,99899,0,0,3327,0,0,4,0,3,2,0,0,2
20,115269340,115730425,461085,142753,0,2323,315604,3327,3309,52,4,0,3,2,0,0,2
0,0,117255713,117255713,0,73080,0,0,3327,0,0,4,0,3,2,0,0,2
20,117260044,118091901,831857,513913,0,2541,314854,3327,3309,52,4,0,3,2,0,0,2
0,0,119449582,119449582,0,74915,0,0,3327,0,0,4,0,3,2,0,0,2
20,119452730,119901433,448703,131725,0,2159,314415,3327,3309,52,4,0,3,2,0,0,2
0,0,121596989,121596989,0,58438,0,0,3327,0,0,4,0,3,2,0,0,2
21,121600541,122050832,450291,278586,0,2094,169224,3327,3309,52,4,0,3,2,0,0,2
0,0,123762694,123762694,0,76363,0,0,3327,0,0,4,0,3,2,0,0,2
21,123777560,124111497,333937,163557,0,2089,167641,3327,3309,52,4,0,3,2,0,0,2
0,0,125968053,125968053,0,67690,0,0,3327,0,0,4,0,3,2,0,0,2
21,125972555,126343991,371436,204689,0,2107,164220,3327,3309,52,4,0,3,2,0,0,2
0,0,128098359,128098359,0,73975,0,0,3327,0,0,4,0,3,2,0,0,2
22,128102056,128549848,447792,240325,0,2330,204704,3327,3309,52,4,0,3,2,0,0,2
0,0,130290247,130290247,0,85934,0,0,3327,0,0,4,0,3,2,0,0,2
22,130293479,130575495,282016,89670,0,2191,189799,3327,3309,52,4,0,3,2,0,0,2
0,0,131386418,131386418,0,73654,0,0,3327,0,0,4,0,3,2,0,0,2
22,131389428,131693378,303950,147588,0,2110,153892,3327,3309,52,4,0,3,2,0,0,2
0,0,132464767,132464767,0,76612,0,0,3327,0,0,4,0,3,2,0,0,2
23,132468895,132758911,290016,112167,0,2125,175350,3327,3309,52,4,0,3,2,0,0,2
0,0,134623930,134623930,0,99289,0,0,3327,0,0,4,0,3,2,0,0,2
23,134627411,135062132,434721,200711,0,2650,230793,3327,3309,52,4,0,3,2,0,0,2
0,0,136739163,136739163,0,48018,0,0,3327,0,0,4,0,3,2,0,0,2
23,136742245,137098785,356540,176594,0,2111,176976,3327,3309,52,4,0,3,2,0,0,2
0,0,137885079,137885079,0,75448,0,0,3327,0,0,4,0,3,2,0,0,2
24,137898258,138242842,344584,174869,0,2099,167212,3327,3309,52,4,0,3,2,0,0,2
