scenario,samples,e2e_mean_us,e2e_p50_us,e2e_p95_us,e2e_p99_us,e2e_p999_us,auth_mean_us,verify_mean_us,cantp_mean_us,bus_mean_us
attacks_aggregate_hmac,560,2159.64,2289.28,2372.06,2477.47,2815.47,10.65,12.18,0.09,0.00
attacks_aggregate_hybrid,560,2018.51,2173.34,2546.32,3313.19,3801.95,189.22,35.96,2.26,0.00
attacks_aggregate_pqc,560,2037.49,2179.92,2293.15,3252.90,3387.32,183.24,51.57,2.24,0.00
attacks_downgrade_hmac_hmac,80,2043.23,2285.27,2324.75,2350.90,2350.90,5.23,14.14,0.09,12.47
attacks_downgrade_hmac_hybrid,80,1900.56,2163.95,2466.07,2761.87,2761.87,188.96,14.34,2.41,272.28
attacks_downgrade_hmac_pqc,80,2071.81,2181.18,2293.15,3227.44,3227.44,180.32,78.96,2.28,282.00
attacks_freshness_rollback_hmac,80,2068.18,2269.43,2337.99,2594.88,2594.88,13.95,0.00,0.09,12.70
attacks_freshness_rollback_hybrid,80,1990.03,2169.88,2287.80,2568.57,2568.57,197.02,0.00,2.15,273.01
attacks_freshness_rollback_pqc,80,1999.88,2180.15,2283.31,3226.86,3226.86,197.64,0.00,2.17,294.70
attacks_mitm_key_confuse_hmac,80,2189.19,2285.23,2380.95,2421.61,2421.61,5.52,13.90,0.09,13.74
attacks_mitm_key_confuse_hybrid,80,2052.20,2176.53,2271.05,3325.78,3325.78,180.84,14.97,2.19,311.90
attacks_mitm_key_confuse_pqc,80,2118.52,2175.59,2300.03,3260.22,3260.22,181.96,41.74,2.33,311.52
attacks_replay_hmac,80,2153.09,2296.47,2371.47,2472.66,2472.66,34.50,14.53,0.09,12.96
attacks_replay_hybrid,80,1913.42,2142.33,2271.62,2657.00,2657.00,187.28,68.49,2.21,213.48
attacks_replay_pqc,80,1987.55,2171.59,2377.36,3252.90,3252.90,164.30,72.67,2.28,204.46
attacks_sig_fuzz_hmac,80,2201.85,2287.14,2355.47,2475.97,2475.97,5.26,13.93,0.09,12.20
attacks_sig_fuzz_hybrid,80,2094.42,2174.32,3214.62,3371.64,3371.64,211.47,49.16,2.50,312.01
attacks_sig_fuzz_pqc,80,2068.71,2181.67,2267.57,2899.68,2899.68,199.18,41.45,2.12,286.52
attacks_tamper_auth_hmac,80,2226.32,2294.00,2383.68,2401.93,2401.93,4.90,13.82,0.09,13.53
attacks_tamper_auth_hybrid,80,2096.04,2177.00,2657.32,3271.93,3271.93,165.41,66.94,2.14,277.88
attacks_tamper_auth_pqc,80,2034.16,2190.10,2274.55,2415.90,2415.90,186.46,62.71,2.14,288.58
attacks_tamper_payload_hmac,80,2235.65,2314.08,2390.50,2451.41,2451.41,5.17,14.94,0.09,14.95
attacks_tamper_payload_hybrid,80,2082.94,2179.99,2401.98,3270.46,3270.46,193.58,37.80,2.23,272.15
attacks_tamper_payload_pqc,80,1981.78,2169.49,2273.63,2570.12,2570.12,172.81,63.44,2.33,264.53
baseline_hmac_r1,1120,1917.56,2282.92,2378.26,2469.65,3494.83,7.89,15.34,0.12,14.64
baseline_hybrid_r1,1120,2096.80,2194.09,3268.99,3348.53,3698.39,182.20,86.68,4.80,82.22
baseline_pqc_r1,1120,2071.35,2197.72,3229.58,3356.86,3453.49,176.71,78.49,4.79,86.02
bus_failure_aggregate,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
bus_failure_clean,100,2131.86,2299.71,2383.46,2444.08,2444.08,28.37,15.36,0.09,11.30
bus_failure_heavy,100,2180.54,2286.22,2362.57,2446.35,2446.35,5.06,15.51,0.09,11.99
bus_failure_noisy,100,2165.03,2302.41,2357.53,2376.84,2376.84,5.08,15.40,0.09,11.69
deadline_relaxed,80,1280.19,1209.84,1455.16,3199.87,3199.87,5.83,15.70,0.10,12.00
deadline_tight,80,50865.89,50824.19,51296.99,51361.46,51361.46,64.03,0.00,162.68,0.00
mixed_bus_can,80,1842.41,2153.68,2231.61,3265.51,3265.51,173.71,75.08,2.28,189.52
mixed_bus_eth,80,3009.42,3247.62,3541.51,4381.45,4381.45,152.62,75.96,2.14,190.50
multi_ecu_aggregate,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
multi_ecu_rx0,80,2151.21,2283.77,2377.55,2449.34,2449.34,0.00,14.08,0.00,0.00
multi_ecu_rx1,80,2108.66,2286.84,2344.08,2387.08,2387.08,0.00,15.06,0.00,0.00
multi_ecu_rx2,80,2193.62,2282.23,2353.50,2405.77,2405.77,0.00,13.77,0.00,0.00
multi_ecu_tx,0,0.00,0.00,0.00,0.00,0.00,14.59,0.00,0.09,10.73
persistence_aggregate,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
persistence_no_nvm,80,2280.59,2316.08,2414.72,2554.08,2554.08,17.99,16.04,0.09,12.11
persistence_with_nvm,80,2214.96,2303.02,2401.75,2434.17,2434.17,7.25,12.34,0.09,12.09
rekey_r1,80,72.81,71.04,91.84,102.22,102.22,27.77,26.95,17.71,0.00
tput_hmac_canfd_r1,940,2128.58,2282.74,2359.00,2482.59,4529.79,7.49,14.12,0.11,11.19
tput_pqc_eth1000_r1,1457,1372.83,1391.05,1555.38,2222.95,3297.00,171.30,81.52,0.20,21.93
tput_pqc_eth100_r1,898,2226.95,2220.67,2541.78,2597.67,2725.02,176.01,82.23,0.20,24.47
