scenario,samples,csm_sign_mean_us,csm_sign_p99_us,cantp_frag_mean_us,cantp_frag_p99_us,bus_transit_mean_us,bus_transit_p99_us,csm_verify_mean_us,csm_verify_p99_us,com_pdur_secoc_mean_us,e2e_mean_us,e2e_p99_us
attacks_aggregate_hmac,560,10.65,23.29,0.09,0.13,0.00,0.00,12.18,28.50,2136.72,2159.64,2477.47
attacks_aggregate_hybrid,560,189.22,449.06,2.26,2.96,0.00,0.00,35.96,101.36,1791.07,2018.51,3313.19
attacks_aggregate_pqc,560,183.24,458.41,2.24,3.02,0.00,0.00,51.57,100.41,1800.45,2037.49,3252.90
attacks_downgrade_hmac_hmac,80,5.23,13.62,0.09,0.12,12.47,22.15,14.14,24.68,2011.30,2043.23,2350.90
attacks_downgrade_hmac_hybrid,80,188.96,427.61,2.41,3.08,272.28,534.66,14.34,22.65,1422.56,1900.56,2761.87
attacks_downgrade_hmac_pqc,80,180.32,478.61,2.28,2.77,282.00,486.38,78.96,113.74,1528.25,2071.81,3227.44
attacks_freshness_rollback_hmac,80,13.95,25.59,0.09,0.13,12.70,30.56,0.00,0.00,2041.44,2068.18,2594.88
attacks_freshness_rollback_hybrid,80,197.02,416.50,2.15,2.52,273.01,481.87,0.00,0.00,1517.86,1990.03,2568.57
attacks_freshness_rollback_pqc,80,197.64,430.94,2.17,3.02,294.70,517.14,0.00,0.00,1505.38,1999.88,3226.86
attacks_mitm_key_confuse_hmac,80,5.52,13.74,0.09,0.12,13.74,33.67,13.90,23.52,2155.93,2189.19,2421.61
attacks_mitm_key_confuse_hybrid,80,180.84,364.09,2.19,2.73,311.90,588.66,14.97,28.71,1542.30,2052.20,3325.78
attacks_mitm_key_confuse_pqc,80,181.96,425.38,2.33,2.78,311.52,571.25,41.74,65.58,1580.98,2118.52,3260.22
attacks_replay_hmac,80,34.50,26.61,0.09,0.13,12.96,27.68,14.53,32.22,2091.02,2153.09,2472.66
attacks_replay_hybrid,80,187.28,583.41,2.21,2.71,213.48,411.75,68.49,106.48,1441.95,1913.42,2657.00
attacks_replay_pqc,80,164.30,334.33,2.28,2.82,204.46,381.44,72.67,97.20,1543.84,1987.55,3252.90
attacks_sig_fuzz_hmac,80,5.26,15.80,0.09,0.12,12.20,21.97,13.93,20.03,2170.36,2201.85,2475.97
attacks_sig_fuzz_hybrid,80,211.47,449.06,2.50,10.26,312.01,584.47,49.16,79.68,1519.27,2094.42,3371.64
attacks_sig_fuzz_pqc,80,199.18,562.58,2.12,2.68,286.52,484.97,41.45,55.41,1539.44,2068.71,2899.68
attacks_tamper_auth_hmac,80,4.90,12.20,0.09,0.13,13.53,32.40,13.82,24.09,2193.97,2226.32,2401.93
attacks_tamper_auth_hybrid,80,165.41,372.14,2.14,2.56,277.88,419.00,66.94,99.92,1583.68,2096.04,3271.93
attacks_tamper_auth_pqc,80,186.46,453.79,2.14,2.47,288.58,539.78,62.71,100.41,1494.28,2034.16,2415.90
attacks_tamper_payload_hmac,80,5.17,11.25,0.09,0.13,14.95,22.78,14.94,27.36,2200.51,2235.65,2451.41
attacks_tamper_payload_hybrid,80,193.58,437.19,2.23,2.78,272.15,479.98,37.80,92.23,1577.19,2082.94,3270.46
attacks_tamper_payload_pqc,80,172.81,442.13,2.33,7.65,264.53,479.64,63.44,100.37,1478.68,1981.78,2570.12
baseline_hmac_r1,1120,7.89,15.51,0.12,0.30,14.64,38.61,15.34,29.72,1879.56,1917.56,2469.65
baseline_hybrid_r1,1120,182.20,459.94,4.80,22.06,82.22,693.92,86.68,119.99,1740.92,2096.80,3348.53
baseline_pqc_r1,1120,176.71,484.39,4.79,20.43,86.02,750.04,78.49,106.39,1725.34,2071.35,3356.86
bus_failure_aggregate,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
bus_failure_clean,100,28.37,14.29,0.09,0.14,11.30,21.24,15.36,32.71,2076.74,2131.86,2444.08
bus_failure_heavy,100,5.06,12.64,0.09,0.13,11.99,18.66,15.51,26.44,2147.88,2180.54,2446.35
bus_failure_noisy,100,5.08,12.61,0.09,0.13,11.69,21.29,15.40,26.62,2132.77,2165.03,2376.84
deadline_relaxed,80,5.83,20.18,0.10,0.13,12.00,21.23,15.70,34.02,1246.56,1280.19,3199.87
deadline_tight,80,64.03,75.52,162.68,222.96,0.00,0.00,0.00,0.00,50639.18,50865.89,51361.46
mixed_bus_can,80,173.71,467.07,2.28,2.96,189.52,312.94,75.08,97.12,1401.83,1842.41,3265.51
mixed_bus_eth,80,152.62,400.63,2.14,2.40,190.50,298.56,75.96,106.95,2588.20,3009.42,4381.45
multi_ecu_aggregate,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
multi_ecu_rx0,80,0.00,0.00,0.00,0.00,0.00,0.00,14.08,19.99,2137.13,2151.21,2449.34
multi_ecu_rx1,80,0.00,0.00,0.00,0.00,0.00,0.00,15.06,38.62,2093.60,2108.66,2387.08
multi_ecu_rx2,80,0.00,0.00,0.00,0.00,0.00,0.00,13.77,18.20,2179.84,2193.62,2405.77
multi_ecu_tx,0,14.59,18.47,0.09,0.13,10.73,21.93,0.00,0.00,0.00,0.00,0.00
persistence_aggregate,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
persistence_no_nvm,80,17.99,21.71,0.09,0.13,12.11,23.71,16.04,33.12,2234.35,2280.59,2554.08
persistence_with_nvm,80,7.25,19.49,0.09,0.13,12.09,24.53,12.34,29.77,2183.19,2214.96,2434.17
rekey_r1,80,27.77,54.43,17.71,36.89,0.00,0.00,26.95,36.03,0.37,72.81,102.22
tput_hmac_canfd_r1,940,7.49,13.63,0.11,0.13,11.19,26.02,14.12,30.88,2095.67,2128.58,2482.59
tput_pqc_eth1000_r1,1457,171.30,454.11,0.20,0.28,21.93,105.63,81.52,114.17,1097.88,1372.83,2222.95
tput_pqc_eth100_r1,898,176.01,430.33,0.20,0.27,24.47,126.60,82.23,114.76,1944.05,2226.95,2597.67
