seq,tx_ns,rx_ns,e2e_ns,secoc_auth_ns,secoc_verify_ns,cantp_ns,bus_ns,pdu_bytes,auth_bytes,fragments,signal_id,bus_id,asil,deadline_class,outcome,attack_kind,protected_mode
1,7172020,7648473,476453,283955,0,2308,189548,3343,3325,53,4,0,3,2,0,0,3
0,0,8990398,8990398,0,99705,0,0,3343,0,0,4,0,3,2,0,0,3
2,8993157,9302250,309093,131936,0,2117,174729,3343,3325,53,4,0,3,2,0,0,3
0,0,11169678,11169678,0,73383,0,0,3343,0,0,4,0,3,2,0,0,3
3,11172296,11428379,256083,81723,0,2099,171952,3343,3325,53,4,0,3,2,0,0,3
0,0,12685158,12685158,0,101597,0,0,3343,0,0,4,0,3,2,0,0,3
4,12687592,13086462,398870,211061,0,2258,185275,3343,3325,53,4,0,3,2,0,0,3
0,0,14824669,14824669,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
5,14827268,15276914,449646,160792,0,2275,286275,3343,3325,53,4,0,3,2,0,0,3
0,0,17048587,17048587,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
6,17051300,17500488,449188,277715,0,2132,169021,3343,3325,53,4,0,3,2,0,0,3
0,0,20390907,20390907,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
7,20393673,20770771,377098,162468,0,2271,211945,3343,3325,53,4,0,3,2,0,0,3
0,0,21576719,21576719,0,89625,0,0,3343,0,0,4,0,3,2,3,0,3
8,21579182,21918496,339314,158998,0,2289,177654,3343,3325,53,4,0,3,2,0,0,3
0,0,24882018,24882018,0,75617,0,0,3343,0,0,4,0,3,2,3,0,3
9,24885001,25165238,280237,96715,0,2207,180958,3343,3325,53,4,0,3,2,0,0,3
0,0,25968641,25968641,0,71570,0,0,3343,0,0,4,0,3,2,3,0,3
10,25970738,26615079,644341,321403,0,2238,320391,3343,3325,53,4,0,3,2,0,0,3
0,0,28201442,28201442,0,83090,0,0,3343,0,0,4,0,3,2,3,0,3
11,28204254,28524514,320260,125436,0,2278,192207,3343,3325,53,4,0,3,2,0,0,3
