seq,tx_ns,rx_ns,e2e_ns,secoc_auth_ns,secoc_verify_ns,cantp_ns,bus_ns,pdu_bytes,auth_bytes,fragments,signal_id,bus_id,asil,deadline_class,outcome,attack_kind,protected_mode
1,2871660,4922064,2050404,2048807,0,98,851,34,16,1,4,0,3,2,0,0,1
0,0,6326103,6326103,0,12605,0,0,34,0,0,4,0,3,2,0,0,1
2,6328601,6342616,14015,4672,0,89,8960,34,16,1,4,0,3,2,0,0,1
0,0,8641508,8641508,0,8695,0,0,34,0,0,4,0,3,2,0,0,1
3,8643836,8654163,10327,2552,0,90,7458,34,16,1,4,0,3,2,0,0,1
0,0,10932272,10932272,0,10578,0,0,34,0,0,4,0,3,2,0,0,1
4,10934439,10946896,12457,4591,0,85,7555,34,16,1,4,0,3,2,0,0,1
0,0,13218329,13218329,0,11580,0,0,34,0,0,4,0,3,2,0,0,1
5,13220761,13234105,13344,4614,0,107,8377,34,16,1,4,0,3,2,0,0,1
0,0,15475682,15475682,0,8408,0,0,34,0,0,4,0,3,2,0,0,1
6,15477677,15488851,11174,4590,0,75,6305,34,16,1,4,0,3,2,0,0,1
0,0,17844312,17844312,0,8870,0,0,34,0,0,4,0,3,2,0,0,1
7,17846340,17857753,11413,4460,0,83,6645,34,16,1,4,0,3,2,0,0,1
0,0,20124831,20124831,0,10616,0,0,34,0,0,4,0,3,2,0,0,1
8,20127447,20139566,12119,2656,0,84,9144,34,16,1,4,0,3,2,0,0,1
0,0,22452044,22452044,0,13716,0,0,34,0,0,4,0,3,2,0,0,1
9,22455510,22473432,17922,7057,0,123,10442,34,16,1,4,0,3,2,0,0,1
0,0,24738003,24738003,0,10637,0,0,34,0,0,4,0,3,2,0,0,1
10,24740350,24752675,12325,4620,0,97,7415,34,16,1,4,0,3,2,0,0,1
0,0,27028114,27028114,0,10728,0,0,34,0,0,4,0,3,2,0,0,1
11,27030349,27042766,12417,4630,0,98,7504,34,16,1,4,0,3,2,0,0,1
0,0,29325304,29325304,0,7921,0,0,34,0,0,4,0,3,2,0,0,1
12,29327113,29337812,10699,4463,0,97,5945,34,16,1,4,0,3,2,0,0,1
0,0,31633109,31633109,0,14898,0,0,34,0,0,4,0,3,2,0,0,1
13,31636336,31659957,23621,4961,0,99,18242,34,16,1,4,0,3,2,0,0,1
0,0,33933163,33933163,0,10370,0,0,34,0,0,4,0,3,2,0,0,1
14,33935469,33948122,12653,4618,0,85,7698,34,16,1,4,0,3,2,0,0,1
0,0,36221820,36221820,0,13878,0,0,34,0,0,4,0,3,2,0,0,1
15,36225015,36240760,15745,4911,0,86,10460,34,16,1,4,0,3,2,0,0,1
0,0,38529245,38529245,0,11338,0,0,34,0,0,4,0,3,2,0,0,1
16,38531941,38545240,13299,4659,0,85,8280,34,16,1,4,0,3,2,0,0,1
0,0,40805673,40805673,0,9670,0,0,34,0,0,4,0,3,2,0,0,1
17,40807611,40819665,12054,4542,0,80,7233,34,16,1,4,0,3,2,0,0,1
0,0,43113756,43113756,0,12200,0,0,34,0,0,4,0,3,2,0,0,1
18,43116264,43129386,13122,4611,0,85,8223,34,16,1,4,0,3,2,0,0,1
0,0,45435239,45435239,0,14651,0,0,34,0,0,4,0,3,2,0,0,1
19,45438438,45453379,14941,3885,0,114,10650,34,16,1,4,0,3,2,0,0,1
0,0,47710667,47710667,0,10853,0,0,34,0,0,4,0,3,2,0,0,1
20,47713095,47726513,13418,4648,0,97,8430,34,16,1,4,0,3,2,0,0,1
0,0,49986594,49986594,0,7347,0,0,34,0,0,4,0,3,2,0,0,1
21,49988267,49998737,10470,4493,0,83,5674,34,16,1,4,0,3,2,0,0,1
0,0,52257430,52257430,0,9118,0,0,34,0,0,4,0,3,2,0,0,1
22,52259521,52271278,11757,4479,0,78,7006,34,16,1,4,0,3,2,0,0,1
0,0,54509218,54509218,0,8631,0,0,34,0,0,4,0,3,2,0,0,1
23,54511095,54523552,12457,4448,0,69,7726,34,16,1,4,0,3,2,0,0,1
0,0,56799851,56799851,0,8649,0,0,34,0,0,4,0,3,2,0,0,1
24,56801616,56812961,11345,4480,0,70,6621,34,16,1,4,0,3,2,0,0,1
0,0,59104326,59104326,0,7449,0,0,34,0,0,4,0,3,2,0,0,1
25,59105966,59116517,10551,4518,0,69,5769,34,16,1,4,0,3,2,0,0,1
0,0,61422001,61422001,0,13379,0,0,34,0,0,4,0,3,2,0,0,1
26,61425001,61441147,16146,4779,0,98,11002,34,16,1,4,0,3,2,0,0,1
0,0,63785062,63785062,0,11832,0,0,34,0,0,4,0,3,2,0,0,1
27,63787740,63801885,14145,4742,0,90,9068,34,16,1,4,0,3,2,0,0,1
0,0,66119492,66119492,0,9616,0,0,34,0,0,4,0,3,2,0,0,1
28,66121588,66133615,12027,4566,0,77,7178,34,16,1,4,0,3,2,0,0,1
0,0,68387932,68387932,0,7310,0,0,34,0,0,4,0,3,2,0,0,1
29,68389782,68400552,10770,4440,0,78,6044,34,16,1,4,0,3,2,0,0,1
0,0,70149828,70149828,0,6205,0,0,34,0,0,4,0,3,2,0,0,1
30,70151379,70159852,8473,2446,0,76,5752,34,16,1,4,0,3,2,0,0,1
0,0,71803772,71803772,0,13748,0,0,34,0,0,4,0,3,2,0,0,1
31,71806817,71821678,14861,4881,0,85,9617,34,16,1,4,0,3,2,0,0,1
0,0,73054026,73054026,0,30143,0,0,34,0,0,4,0,3,2,0,0,1
32,73060181,73093053,32872,2899,0,95,29368,34,16,1,4,0,3,2,0,0,1
0,0,75403391,75403391,0,22849,0,0,34,0,0,4,0,3,2,0,0,1
33,75407927,75424167,16240,5208,0,128,10370,34,16,1,4,0,3,2,0,0,1
0,0,77720407,77720407,0,18300,0,0,34,0,0,4,0,3,2,0,0,1
34,77724370,77738763,14393,3945,0,137,9858,34,16,1,4,0,3,2,0,0,1
0,0,78401008,78401008,0,10297,0,0,34,0,0,4,0,3,2,0,0,1
35,78403242,78418170,14928,4629,0,113,9798,34,16,1,4,0,3,2,0,0,1
0,0,79923046,79923046,0,11425,0,0,34,0,0,4,0,3,2,0,0,1
36,79925714,79938969,13255,4606,0,70,8263,34,16,1,4,0,3,2,0,0,1
