seq,tx_ns,rx_ns,e2e_ns,secoc_auth_ns,secoc_verify_ns,cantp_ns,bus_ns,pdu_bytes,auth_bytes,fragments,signal_id,bus_id,asil,deadline_class,outcome,attack_kind,protected_mode
1,6148857,8340827,2191970,2189900,0,94,1114,34,16,1,4,0,3,2,0,0,1
0,0,10167459,10167459,0,12887,0,0,34,0,0,4,0,3,2,0,0,1
1,10170296,10180005,9709,8714,0,99,612,34,16,1,4,0,3,2,0,0,1
0,0,12472283,12472283,0,16194,0,0,34,0,0,4,0,3,2,0,0,1
1,12476499,12484959,8460,7297,0,105,725,34,16,1,4,0,3,2,0,0,1
0,0,14726009,14726009,0,8905,0,0,34,0,0,4,0,3,2,0,0,1
2,14728641,14748261,19620,6336,0,104,12897,34,16,1,4,0,3,2,0,0,1
0,0,17026547,17026547,0,10637,0,0,34,0,0,4,0,3,2,0,0,1
2,17028772,17040991,12219,4611,0,84,7292,34,16,1,4,0,3,2,0,0,1
0,0,19298922,19298922,0,10902,0,0,34,0,0,4,0,3,2,0,0,1
2,19301371,19313842,12471,4660,0,99,7476,34,16,1,4,0,3,2,0,0,1
0,0,21683045,21683045,0,12576,0,0,34,0,0,4,0,3,2,0,0,1
3,21685887,21697894,12007,4689,0,77,7014,34,16,1,4,0,3,2,0,0,1
0,0,23961734,23961734,0,10449,0,0,34,0,0,4,0,3,2,0,0,1
3,23964434,23977171,12737,4732,0,85,7678,34,16,1,4,0,3,2,0,0,1
0,0,26520971,26520971,0,19377,0,0,34,0,0,4,0,3,2,0,0,1
3,26524524,26539132,14608,5165,0,97,9058,34,16,1,4,0,3,2,0,0,1
0,0,28816400,28816400,0,8537,0,0,34,0,0,4,0,3,2,0,0,1
4,28818704,28830212,11508,4545,0,81,6672,34,16,1,4,0,3,2,0,0,1
0,0,31124840,31124840,0,8864,0,0,34,0,0,4,0,3,2,0,0,1
4,31127062,31138752,11690,4593,0,71,6799,34,16,1,4,0,3,2,0,0,1
0,0,33495292,33495292,0,7100,0,0,34,0,0,4,0,3,2,0,0,1
4,33497172,33507613,10441,4515,0,77,5673,34,16,1,4,0,3,2,0,0,1
0,0,35787798,35787798,0,10183,0,0,34,0,0,4,0,3,2,0,0,1
5,35790142,35802238,12096,4592,0,82,7224,34,16,1,4,0,3,2,0,0,1
0,0,38062718,38062718,0,9107,0,0,34,0,0,4,0,3,2,0,0,1
5,38064850,38076468,11618,4541,0,76,6828,34,16,1,4,0,3,2,0,0,1
0,0,40362658,40362658,0,8654,0,0,34,0,0,4,0,3,2,0,0,1
5,40364738,40375615,10877,4450,0,70,6174,34,16,1,4,0,3,2,0,0,1
0,0,42691817,42691817,0,10486,0,0,34,0,0,4,0,3,2,0,0,1
6,42694187,42704957,10770,4669,0,76,5838,34,16,1,4,0,3,2,0,0,1
0,0,43885130,43885130,0,7440,0,0,34,0,0,4,0,3,2,0,0,1
6,43887057,43902512,15455,4408,0,86,10779,34,16,1,4,0,3,2,0,0,1
0,0,46177524,46177524,0,8378,0,0,34,0,0,4,0,3,2,0,0,1
6,46179499,46190472,10973,4494,0,76,6202,34,16,1,4,0,3,2,0,0,1
0,0,48499461,48499461,0,8707,0,0,34,0,0,4,0,3,2,0,0,1
7,48501720,48517611,15891,4457,0,72,11180,34,16,1,4,0,3,2,0,0,1
0,0,50796002,50796002,0,9593,0,0,34,0,0,4,0,3,2,0,0,1
7,50798493,50810750,12257,4498,0,78,7478,34,16,1,4,0,3,2,0,0,1
0,0,53070888,53070888,0,9284,0,0,34,0,0,4,0,3,2,0,0,1
7,53073048,53085036,11988,4533,0,69,7214,34,16,1,4,0,3,2,0,0,1
0,0,55385618,55385618,0,8957,0,0,34,0,0,4,0,3,2,0,0,1
8,55387726,55399422,11696,4462,0,66,6957,34,16,1,4,0,3,2,0,0,1
0,0,56609208,56609208,0,14360,0,0,34,0,0,4,0,3,2,0,0,1
8,56612498,56627309,14811,4827,0,87,9586,34,16,1,4,0,3,2,0,0,1
0,0,59020850,59020850,0,11538,0,0,34,0,0,4,0,3,2,0,0,1
8,59024104,59037319,13215,4705,0,86,8177,34,16,1,4,0,3,2,0,0,1
0,0,61335132,61335132,0,10254,0,0,34,0,0,4,0,3,2,0,0,1
9,61338125,61353059,14934,4539,0,84,10075,34,16,1,4,0,3,2,0,0,1
0,0,63618994,63618994,0,10551,0,0,34,0,0,4,0,3,2,0,0,1
9,63621608,63634163,12555,4549,0,75,7735,34,16,1,4,0,3,2,0,0,1
0,0,65935848,65935848,0,10865,0,0,34,0,0,4,0,3,2,0,0,1
9,65938878,65950871,11993,2699,0,97,8908,34,16,1,4,0,3,2,0,0,1
0,0,68254356,68254356,0,13620,0,0,34,0,0,4,0,3,2,0,0,1
10,68257493,68274779,17286,4857,0,83,12057,34,16,1,4,0,3,2,0,0,1
0,0,70555804,70555804,0,10505,0,0,34,0,0,4,0,3,2,0,0,1
10,70558333,70571091,12758,4675,0,85,7751,34,16,1,4,0,3,2,0,0,1
0,0,72810181,72810181,0,11080,0,0,34,0,0,4,0,3,2,0,0,1
10,72813016,72828469,15453,4620,0,85,10507,34,16,1,4,0,3,2,0,0,1
0,0,75136033,75136033,0,14071,0,0,34,0,0,4,0,3,2,0,0,1
11,75139279,75154451,15172,4895,0,86,9884,34,16,1,4,0,3,2,0,0,1
0,0,77453852,77453852,0,21927,0,0,34,0,0,4,0,3,2,0,0,1
11,77456854,77470022,13168,4302,0,98,8512,34,16,1,4,0,3,2,0,0,1
0,0,79736608,79736608,0,10062,0,0,34,0,0,4,0,3,2,0,0,1
11,79738935,79751583,12648,4674,0,99,7671,34,16,1,4,0,3,2,0,0,1
0,0,82009695,82009695,0,8350,0,0,34,0,0,4,0,3,2,0,0,1
12,82011802,82022859,11057,4496,0,79,6295,34,16,1,4,0,3,2,0,0,1
0,0,83105896,83105896,0,7414,0,0,34,0,0,4,0,3,2,0,0,1
12,83107855,83119110,11255,4456,0,65,6527,34,16,1,4,0,3,2,0,0,1
0,0,85402266,85402266,0,9786,0,0,34,0,0,4,0,3,2,0,0,1
12,85404746,85417066,12320,4433,0,74,7599,34,16,1,4,0,3,2,0,0,1
0,0,87716291,87716291,0,9140,0,0,34,0,0,4,0,3,2,0,0,1
13,87718453,87730560,12107,4520,0,67,7313,34,16,1,4,0,3,2,0,0,1
0,0,88598301,88598301,0,7069,0,0,34,0,0,4,0,3,2,0,0,1
13,88600807,88613591,12784,4234,0,126,8150,34,16,1,4,0,3,2,0,0,1
