seq,tx_ns,rx_ns,e2e_ns,secoc_auth_ns,secoc_verify_ns,cantp_ns,bus_ns,pdu_bytes,auth_bytes,fragments,signal_id,bus_id,asil,deadline_class,outcome,attack_kind,protected_mode
18446744073709551608,2217873,4203136,1985263,1983612,0,94,763,34,16,1,4,0,3,2,0,0,1
0,0,6498833,6498833,0,12463,0,0,34,0,0,4,0,3,2,0,0,1
18446744073709551609,6501511,6514760,13249,4801,0,100,8057,34,16,1,4,0,3,2,0,0,1
0,0,8831090,8831090,0,9611,0,0,34,0,0,4,0,3,2,0,0,1
18446744073709551610,8833019,8844391,11372,4553,0,69,6527,34,16,1,4,0,3,2,0,0,1
0,0,11164499,11164499,0,8636,0,0,34,0,0,4,0,3,2,0,0,1
18446744073709551611,11166471,11177602,11131,4556,0,66,6314,34,16,1,4,0,3,2,0,0,1
0,0,13470480,13470480,0,8982,0,0,34,0,0,4,0,3,2,0,0,1
18446744073709551612,13472035,13482686,10651,4513,0,67,5876,34,16,1,4,0,3,2,0,0,1
0,0,15770474,15770474,0,7912,0,0,34,0,0,4,0,3,2,0,0,1
18446744073709551613,15772305,15782689,10384,4476,0,66,5632,34,16,1,4,0,3,2,0,0,1
0,0,18097267,18097267,0,19175,0,0,34,0,0,4,0,3,2,0,0,1
18446744073709551614,18099755,18113144,13389,6574,0,78,6502,34,16,1,4,0,3,2,0,0,1
0,0,20444721,20444721,0,10156,0,0,34,0,0,4,0,3,2,0,0,1
18446744073709551615,20446557,20458172,11615,4550,0,68,6813,34,16,1,4,0,3,2,0,0,1
0,0,22748145,22748145,0,8331,0,0,34,0,0,4,0,3,2,0,0,1
0,22828846,22841600,12754,4994,0,96,7428,34,16,1,4,0,3,2,0,0,1
0,0,25058732,25058732,0,0,0,0,34,0,0,4,0,3,2,3,0,1
0,25061180,25078500,17320,10153,0,91,6886,34,16,1,4,0,3,2,0,0,1
0,0,27340722,27340722,0,0,0,0,34,0,0,4,0,3,2,3,0,1
0,27342747,27359339,16592,9595,0,87,6730,34,16,1,4,0,3,2,0,0,1
0,0,29636406,29636406,0,0,0,0,34,0,0,4,0,3,2,3,0,1
0,29639923,29663232,23309,13051,0,129,9803,34,16,1,4,0,3,2,0,0,1
0,0,31958530,31958530,0,0,0,0,34,0,0,4,0,3,2,3,0,1
0,31961508,31985755,24247,14413,0,98,9420,34,16,1,4,0,3,2,0,0,1
0,0,34270044,34270044,0,0,0,0,34,0,0,4,0,3,2,3,0,1
0,34273101,34295856,22755,12490,0,93,9890,34,16,1,4,0,3,2,0,0,1
0,0,36559803,36559803,0,0,0,0,34,0,0,4,0,3,2,3,0,1
0,36562611,36585048,22437,12856,0,92,9193,34,16,1,4,0,3,2,0,0,1
0,0,38832884,38832884,0,0,0,0,34,0,0,4,0,3,2,3,0,1
0,38835729,38859823,24094,14197,0,107,9283,34,16,1,4,0,3,2,0,0,1
0,0,41152094,41152094,0,0,0,0,34,0,0,4,0,3,2,3,0,1
1,41238932,41262727,23795,11824,0,113,11522,34,16,1,4,0,3,2,0,0,1
0,0,43613332,43613332,0,11394,0,0,34,0,0,4,0,3,2,0,0,1
2,43615637,43628221,12584,4673,0,69,7625,34,16,1,4,0,3,2,0,0,1
0,0,45949796,45949796,0,10392,0,0,34,0,0,4,0,3,2,0,0,1
