seq,tx_ns,rx_ns,e2e_ns,secoc_auth_ns,secoc_verify_ns,cantp_ns,bus_ns,pdu_bytes,auth_bytes,fragments,signal_id,bus_id,asil,deadline_class,outcome,attack_kind,protected_mode
1,1966432,4003051,2036619,2034783,0,93,955,34,16,1,4,0,3,2,0,0,1
0,0,6277262,6277262,0,11797,0,0,34,0,0,4,0,3,2,0,0,1
2,6279863,6293025,13162,4614,0,91,8184,34,16,1,4,0,3,2,0,0,1
0,0,8540765,8540765,0,8873,0,0,34,0,0,4,0,3,2,0,0,1
3,8542734,8554317,11583,4629,0,76,6651,34,16,1,4,0,3,2,0,0,1
0,0,10814068,10814068,0,9497,0,0,34,0,0,4,0,3,2,0,0,1
4,10816265,10827936,11671,4572,0,68,6816,34,16,1,4,0,3,2,0,0,1
0,0,13097058,13097058,0,8750,0,0,34,0,0,4,0,3,2,0,0,1
5,13099018,13110289,11271,4547,0,70,6470,34,16,1,4,0,3,2,0,0,1
0,0,15354861,15354861,0,8164,0,0,34,0,0,4,0,3,2,0,0,1
6,15356807,15367508,10701,4519,0,88,5899,34,16,1,4,0,3,2,0,0,1
0,0,17608863,17608863,0,10676,0,0,34,0,0,4,0,3,2,0,0,1
7,17611430,17623416,11986,2566,0,96,9072,34,16,1,4,0,3,2,0,0,1
0,0,19862449,19862449,0,8596,0,0,34,0,0,4,0,3,2,0,0,1
8,19864453,19877901,13448,4639,0,78,8509,34,16,1,4,0,3,2,0,0,1
0,0,22116839,22116839,0,10097,0,0,34,0,0,4,0,3,2,0,0,1
9,22119503,22134528,15025,6908,0,89,7751,34,16,1,4,0,3,2,0,0,1
0,0,24378717,24378717,0,9896,0,0,34,0,0,4,0,3,2,0,0,1
10,24381011,24392909,11898,4566,0,68,7074,34,16,1,4,0,3,2,0,0,1
0,0,26649600,26649600,0,8801,0,0,34,0,0,4,0,3,2,0,0,1
11,26651874,26662852,10978,2573,0,69,8100,34,16,1,4,0,3,2,0,0,1
0,0,28899808,28899808,0,7747,0,0,34,0,0,4,0,3,2,0,0,1
12,28901668,28912901,11233,4435,0,71,6533,34,16,1,4,0,3,2,0,0,1
0,0,31228572,31228572,0,8420,0,0,34,0,0,4,0,3,2,0,0,1
13,31230628,31241810,11182,4451,0,84,6481,34,16,1,4,0,3,2,0,0,1
0,0,33481691,33481691,0,8275,0,0,34,0,0,4,0,3,2,0,0,1
14,33483727,33494909,11182,4530,0,70,6376,34,16,1,4,0,3,2,0,0,1
0,0,35756909,35756909,0,8230,0,0,34,0,0,4,0,3,2,0,0,1
15,35759156,35769673,10517,2502,0,71,7741,34,16,1,4,0,3,2,0,0,1
0,0,38036841,38036841,0,9397,0,0,34,0,0,4,0,3,2,0,0,1
16,38039051,38051180,12129,4488,0,71,7356,34,16,1,4,0,3,2,0,0,1
0,0,40317089,40317089,0,9920,0,0,34,0,0,4,0,3,2,0,0,1
17,40319320,40333022,13702,4772,0,78,8444,34,16,1,4,0,3,2,0,0,1
0,0,42580880,42580880,0,7765,0,0,34,0,0,4,0,3,2,0,0,1
18,42582745,42594210,11465,4533,0,77,6687,34,16,1,4,0,3,2,0,0,1
0,0,44878481,44878481,0,12014,0,0,34,0,0,4,0,3,2,0,0,1
19,44881593,44894235,12642,2831,0,103,9407,34,16,1,4,0,3,2,0,0,1
0,0,47156358,47156358,0,14118,0,0,34,0,0,4,0,3,2,0,0,1
20,47159630,47174083,14453,4861,0,94,9200,34,16,1,4,0,3,2,0,0,1
0,0,48855601,48855601,0,10081,0,0,34,0,0,4,0,3,2,0,0,1
21,48858404,48868930,10526,2682,0,94,7504,34,16,1,4,0,3,2,0,0,1
0,0,49504018,49504018,0,6563,0,0,34,0,0,4,0,3,2,0,0,1
22,49505962,49515462,9500,2477,0,70,6703,34,16,1,4,0,3,2,0,0,1
0,0,51637738,51637738,0,15007,0,0,34,0,0,4,0,3,2,0,0,1
23,51642073,51670296,28223,5078,0,116,22659,34,16,1,4,0,3,2,0,0,1
0,0,53984291,53984291,0,13703,0,0,34,0,0,4,0,3,2,0,0,1
24,53987384,54002399,15015,5127,0,95,9509,34,16,1,4,0,3,2,0,0,1
0,0,56266733,56266733,0,10944,0,0,34,0,0,4,0,3,2,0,0,1
25,56269589,56292061,22472,2658,0,94,19445,34,16,1,4,0,3,2,0,0,1
0,0,58587748,58587748,0,22939,0,0,34,0,0,4,0,3,2,0,0,1
26,58590956,58604931,13975,4117,0,95,9450,34,16,1,4,0,3,2,0,0,1
0,0,60845260,60845260,0,10534,0,0,34,0,0,4,0,3,2,0,0,1
27,60848083,60860525,12442,4700,0,93,7405,34,16,1,4,0,3,2,0,0,1
