sim_ns,signal_id,bus_id,attack_kind,detected,extra,note
10308975,4,0,1,0,0,"replay injected"
11976923,4,0,1,0,0,"replay injected"
12231659,4,0,1,0,0,"replay injected"
14223828,4,0,1,0,0,"replay injected"
15201965,4,0,1,0,0,"replay injected"
16316383,4,0,1,0,0,"replay injected"
17785333,4,0,1,0,0,"replay injected"
19436119,4,0,1,0,0,"replay injected"
19740160,4,0,1,0,0,"replay injected"
21764844,4,0,1,0,0,"replay injected"
22778730,4,0,1,0,0,"replay injected"
24259791,4,0,1,0,0,"replay injected"
25849113,4,0,1,0,0,"replay injected"
27333657,4,0,1,0,0,"replay injected"
27583698,4,0,1,0,0,"replay injected"
29568029,4,0,1,0,0,"replay injected"
30667774,4,0,1,0,0,"replay injected"
32157136,4,0,1,0,0,"replay injected"
33705622,4,0,1,0,0,"replay injected"
35292142,4,0,1,0,0,"replay injected"
35554764,4,0,1,0,0,"replay injected"
37652203,4,0,1,0,0,"replay injected"
39799649,4,0,1,0,0,"replay injected"
41914853,4,0,1,0,0,"replay injected"
43444202,4,0,1,0,0,"replay injected"
45083831,4,0,1,0,0,"replay injected"
45340840,4,0,1,0,0,"replay injected"
47344566,4,0,1,0,0,"replay injected"
49266579,4,0,1,0,0,"replay injected"
50829717,4,0,1,0,0,"replay injected"
52338986,4,0,1,0,0,"replay injected"
52701960,4,0,1,0,0,"replay injected"
54663169,4,0,1,0,0,"replay injected"
55782896,4,0,1,0,0,"replay injected"
57052408,4,0,1,0,0,"replay injected"
59122773,4,0,1,0,0,"replay injected"
60637699,4,0,1,0,0,"replay injected"
60968495,4,0,1,0,0,"replay injected"
62887336,4,0,1,0,0,"replay injected"
63855350,4,0,1,0,0,"replay injected"
65581024,4,0,1,0,0,"replay injected"
66889819,4,0,1,0,0,"replay injected"
68819990,4,0,1,0,0,"replay injected"
69117064,4,0,1,0,0,"replay injected"
71231310,4,0,1,0,0,"replay injected"
73446543,4,0,1,0,0,"replay injected"
74576882,4,0,1,0,0,"replay injected"
75769703,4,0,1,0,0,"replay injected"
77102550,4,0,1,0,0,"replay injected"
77501270,4,0,1,0,0,"replay injected"
79171246,4,0,1,0,0,"replay injected"
80835747,4,0,1,0,0,"replay injected"
81929902,4,0,1,0,0,"replay injected"
84054813,4,0,1,0,0,"replay injected"
85482520,4,0,1,0,0,"replay injected"
85746471,4,0,1,0,0,"replay injected"
87967115,4,0,1,0,0,"replay injected"
91188901,4,0,2,0,0,"payload bit-flip"
91194287,4,0,2,0,0,"payload bit-flip"
91197164,4,0,2,0,0,"payload bit-flip"
91199821,4,0,2,0,0,"payload bit-flip"
91203042,4,0,2,0,0,"payload bit-flip"
91205900,4,0,2,0,0,"payload bit-flip"
91208800,4,0,2,0,0,"payload bit-flip"
91211351,4,0,2,0,0,"payload bit-flip"
91213882,4,0,2,0,0,"payload bit-flip"
91216247,4,0,2,0,0,"payload bit-flip"
91218773,4,0,2,0,0,"payload bit-flip"
91221178,4,0,2,0,0,"payload bit-flip"
91223694,4,0,2,0,0,"payload bit-flip"
91226202,4,0,2,0,0,"payload bit-flip"
91228662,4,0,2,0,0,"payload bit-flip"
91231902,4,0,2,0,0,"payload bit-flip"
91234298,4,0,2,0,0,"payload bit-flip"
91236573,4,0,2,0,0,"payload bit-flip"
91238893,4,0,2,0,0,"payload bit-flip"
91241240,4,0,2,0,0,"payload bit-flip"
91243626,4,0,2,0,0,"payload bit-flip"
91246203,4,0,2,0,0,"payload bit-flip"
91249015,4,0,2,0,0,"payload bit-flip"
91251145,4,0,2,0,0,"payload bit-flip"
91282771,4,0,2,0,0,"payload bit-flip"
91285077,4,0,2,0,0,"payload bit-flip"
91287746,4,0,2,0,0,"payload bit-flip"
91290628,4,0,2,0,0,"payload bit-flip"
91292925,4,0,2,0,0,"payload bit-flip"
91295324,4,0,2,0,0,"payload bit-flip"
91298070,4,0,2,0,0,"payload bit-flip"
91300188,4,0,2,0,0,"payload bit-flip"
91302313,4,0,2,0,0,"payload bit-flip"
91304542,4,0,2,0,0,"payload bit-flip"
91306703,4,0,2,0,0,"payload bit-flip"
91309185,4,0,2,0,0,"payload bit-flip"
91311824,4,0,2,0,0,"payload bit-flip"
91314314,4,0,2,0,0,"payload bit-flip"
91316457,4,0,2,0,0,"payload bit-flip"
91318733,4,0,2,0,0,"payload bit-flip"
91320783,4,0,2,0,0,"payload bit-flip"
91323081,4,0,2,0,0,"payload bit-flip"
91325068,4,0,2,0,0,"payload bit-flip"
91327002,4,0,2,0,0,"payload bit-flip"
91329185,4,0,2,0,0,"payload bit-flip"
91331999,4,0,2,0,0,"payload bit-flip"
91334214,4,0,2,0,0,"payload bit-flip"
91336680,4,0,2,0,0,"payload bit-flip"
91339741,4,0,2,0,0,"payload bit-flip"
91341738,4,0,2,0,0,"payload bit-flip"
91343803,4,0,2,0,0,"payload bit-flip"
91441188,4,0,2,0,0,"payload bit-flip"
91444317,4,0,2,0,0,"payload bit-flip"
93368872,4,0,2,0,0,"payload bit-flip"
93374093,4,0,2,0,0,"payload bit-flip"
93377230,4,0,2,0,0,"payload bit-flip"
93380154,4,0,2,0,0,"payload bit-flip"
93383376,4,0,2,0,0,"payload bit-flip"
93386282,4,0,2,0,0,"payload bit-flip"
93395185,4,0,2,0,0,"payload bit-flip"
93399133,4,0,2,0,0,"payload bit-flip"
93401814,4,0,2,0,0,"payload bit-flip"
93408633,4,0,2,0,0,"payload bit-flip"
93411540,4,0,2,0,0,"payload bit-flip"
93414316,4,0,2,0,0,"payload bit-flip"
93417140,4,0,2,0,0,"payload bit-flip"
93419723,4,0,2,0,0,"payload bit-flip"
93422673,4,0,2,0,0,"payload bit-flip"
93427032,4,0,2,0,0,"payload bit-flip"
93430503,4,0,2,0,0,"payload bit-flip"
93433777,4,0,2,0,0,"payload bit-flip"
93436675,4,0,2,0,0,"payload bit-flip"
93439808,4,0,2,0,0,"payload bit-flip"
93442797,4,0,2,0,0,"payload bit-flip"
93446693,4,0,2,0,0,"payload bit-flip"
93449964,4,0,2,0,0,"payload bit-flip"
93452995,4,0,2,0,0,"payload bit-flip"
93456024,4,0,2,0,0,"payload bit-flip"
93458795,4,0,2,0,0,"payload bit-flip"
93461675,4,0,2,0,0,"payload bit-flip"
93464443,4,0,2,0,0,"payload bit-flip"
93467686,4,0,2,0,0,"payload bit-flip"
93470576,4,0,2,0,0,"payload bit-flip"
93473666,4,0,2,0,0,"payload bit-flip"
93476158,4,0,2,0,0,"payload bit-flip"
93478944,4,0,2,0,0,"payload bit-flip"
93481547,4,0,2,0,0,"payload bit-flip"
93484281,4,0,2,0,0,"payload bit-flip"
93486888,4,0,2,0,0,"payload bit-flip"
93490344,4,0,2,0,0,"payload bit-flip"
93493022,4,0,2,0,0,"payload bit-flip"
93495651,4,0,2,0,0,"payload bit-flip"
93498263,4,0,2,0,0,"payload bit-flip"
93500677,4,0,2,0,0,"payload bit-flip"
93503171,4,0,2,0,0,"payload bit-flip"
93505733,4,0,2,0,0,"payload bit-flip"
93508168,4,0,2,0,0,"payload bit-flip"
93510950,4,0,2,0,0,"payload bit-flip"
93513164,4,0,2,0,0,"payload bit-flip"
93515253,4,0,2,0,0,"payload bit-flip"
93517735,4,0,2,0,0,"payload bit-flip"
93520541,4,0,2,0,0,"payload bit-flip"
93522736,4,0,2,0,0,"payload bit-flip"
93525094,4,0,2,0,0,"payload bit-flip"
93533862,4,0,2,0,0,"payload bit-flip"
93536618,4,0,2,0,0,"payload bit-flip"
94570039,4,0,2,0,0,"payload bit-flip"
94574141,4,0,2,0,0,"payload bit-flip"
94581723,4,0,2,0,0,"payload bit-flip"
94583984,4,0,2,0,0,"payload bit-flip"
94586459,4,0,2,0,0,"payload bit-flip"
94588547,4,0,2,0,0,"payload bit-flip"
