seq,tx_ns,rx_ns,e2e_ns,secoc_auth_ns,secoc_verify_ns,cantp_ns,bus_ns,pdu_bytes,auth_bytes,fragments,signal_id,bus_id,asil,deadline_class,outcome,attack_kind,protected_mode
1,7139909,7294507,154598,105098,0,49043,0,3327,3309,0,1,0,4,1,2,0,2
2,58342640,58946137,603497,389651,0,211944,0,3327,3309,0,1,0,4,1,2,0,2
3,109692953,110080201,387248,163948,0,222204,0,3327,3309,0,1,0,4,1,2,0,2
4,160292333,160748531,456198,204835,0,250097,0,3327,3309,0,1,0,4,1,2,0,2
5,210823354,211210928,387574,246756,0,139270,0,3327,3309,0,1,0,4,1,2,0,2
6,261912631,262476399,563768,286184,0,275675,0,3327,3309,0,1,0,4,1,2,0,2
7,313290877,313703314,412437,179865,0,231274,0,3327,3309,0,1,0,4,1,2,0,2
8,364461184,364951745,490561,273983,0,214984,0,3327,3309,0,1,0,4,1,2,0,2
9,415498939,415799813,300874,131245,0,168350,0,3327,3309,0,1,0,4,1,2,0,2
10,465966649,466510620,543971,232380,0,309614,0,3327,3309,0,1,0,4,1,2,0,2
11,517641942,518041133,399191,255628,0,142025,0,3327,3309,0,1,0,4,1,2,0,2
12,568769765,569100409,330644,158037,0,171396,0,3327,3309,0,1,0,4,1,2,0,2
13,619717026,619984703,267677,149524,0,116980,0,3327,3309,0,1,0,4,1,2,0,2
14,670232856,670497505,264649,167120,0,96509,0,3327,3309,0,1,0,4,1,2,0,2
15,721143487,721595926,452439,264961,0,185864,0,3327,3309,0,1,0,4,1,2,0,2
16,772089965,772539155,449190,172310,0,275555,0,3327,3309,0,1,0,4,1,2,0,2
17,822692569,823083338,390769,178532,0,210890,0,3327,3309,0,1,0,4,1,2,0,2
18,873333202,873663880,330678,167706,0,161627,0,3327,3309,0,1,0,4,1,2,0,2
19,924653600,924979354,325754,154331,0,170186,0,3327,3309,0,1,0,4,1,2,0,2
20,975722522,976488636,766114,418935,0,345777,0,3327,3309,0,1,0,4,1,2,0,2
21,1027312207,1027698669,386462,222332,0,162287,0,3327,3309,0,1,0,4,1,2,0,2
22,1078546058,1078917858,371800,170599,0,200096,0,3327,3309,0,1,0,4,1,2,0,2
23,1129235235,1129711897,476662,366915,0,108184,0,3327,3309,0,1,0,4,1,2,0,2
24,1180595942,1180945697,349755,252137,0,96174,0,3327,3309,0,1,0,4,1,2,0,2
25,1231057789,1231480423,422634,133287,0,288438,0,3327,3309,0,1,0,4,1,2,0,2
26,1281973244,1282401099,427855,179575,0,246800,0,3327,3309,0,1,0,4,1,2,0,2
27,1333340412,1333703291,362879,189840,0,171784,0,3327,3309,0,1,0,4,1,2,0,2
28,1384147459,1384724835,577376,264944,0,310700,0,3327,3309,0,1,0,4,1,2,0,2
29,1435083429,1435650359,566930,252040,0,313605,0,3327,3309,0,1,0,4,1,2,0,2
30,1486224833,1486689606,464773,174930,0,288701,0,3327,3309,0,1,0,4,1,2,0,2
31,1537813431,1538517811,704380,412987,0,289807,0,3327,3309,0,1,0,4,1,2,0,2
32,1589230177,1589703284,473107,223601,0,248173,0,3327,3309,0,1,0,4,1,2,0,2
33,1639995225,1640390144,394919,212978,0,180612,0,3327,3309,0,1,0,4,1,2,0,2
34,1691332202,1692111177,778975,467447,0,310311,0,3327,3309,0,1,0,4,1,2,0,2
35,1743224288,1743778029,553741,284631,0,267352,0,3327,3309,0,1,0,4,1,2,0,2
