seq,tx_ns,rx_ns,e2e_ns,secoc_auth_ns,secoc_verify_ns,cantp_ns,bus_ns,pdu_bytes,auth_bytes,fragments,signal_id,bus_id,asil,deadline_class,outcome,attack_kind,protected_mode
1,5858619,6121091,262472,141959,0,1947,118257,3327,3309,52,4,0,3,2,0,0,2
0,0,7677284,7677284,0,50951,0,0,3327,0,0,4,0,3,2,0,0,2
2,7681851,7937939,256088,92925,0,1956,160647,3327,3309,52,4,0,3,2,0,0,2
0,0,9143421,9143421,0,41148,0,0,3327,0,0,4,0,3,2,0,0,2
3,9147552,9367764,220212,89953,0,1941,127822,3327,3309,52,4,0,3,2,0,0,2
0,0,10633777,10633777,0,48974,0,0,3327,0,0,4,0,3,2,0,0,2
4,10637045,10900635,263590,108172,0,2280,152699,3327,3309,52,4,0,3,2,0,0,2
0,0,12135453,12135453,0,43299,0,0,3327,0,0,4,0,3,2,0,0,2
5,12139915,12500737,360822,102802,0,2111,255476,3327,3309,52,4,0,3,2,0,0,2
0,0,14296529,14296529,0,40251,0,0,3327,0,0,4,0,3,2,0,0,2
6,14299435,14504494,205059,76375,0,1929,126227,3327,3309,52,4,0,3,2,0,0,2
0,0,15825682,15825682,0,35652,0,0,3327,0,0,4,0,3,2,0,0,2
7,15828079,16120028,291949,153950,0,1958,135597,3327,3309,52,4,0,3,2,0,0,2
0,0,17421948,17421948,0,40956,0,0,3327,0,0,4,0,3,2,0,0,2
8,17425829,17796021,370192,230971,0,1952,136851,3327,3309,52,4,0,3,2,0,0,2
0,0,18622661,18622661,0,32437,0,0,3327,0,0,4,0,3,2,0,0,2
9,18624733,18902537,277804,156961,0,1933,118445,3327,3309,52,4,0,3,2,0,0,2
0,0,20677457,20677457,0,31116,0,0,3327,0,0,4,0,3,2,0,0,2
10,20679550,21212421,532871,110191,0,2117,420188,3327,3309,52,4,0,3,2,0,0,2
0,0,22898177,22898177,0,40917,0,0,3327,0,0,4,0,3,2,0,0,2
11,22902134,23146432,244298,116576,0,1962,125334,3327,3309,52,4,0,3,2,0,0,2
0,0,24474496,24474496,0,45026,0,0,3327,0,0,4,0,3,2,0,0,2
12,24478460,24711044,232584,96259,0,1918,133983,3327,3309,52,4,0,3,2,0,0,2
0,0,27756634,27756634,0,42909,0,0,3327,0,0,4,0,3,2,0,0,2
13,27761249,28092998,331749,207830,0,1951,121516,3327,3309,52,4,0,3,2,0,0,2
0,0,31178785,31178785,0,41455,0,0,3327,0,0,4,0,3,2,0,0,2
14,31182785,31553469,370684,226955,0,1935,141392,3327,3309,52,4,0,3,2,0,0,2
0,0,32360954,32360954,0,44951,0,0,3327,0,0,4,0,3,2,0,0,2
15,32365264,33060299,695035,98012,0,2124,594478,3327,3309,52,4,0,3,2,0,0,2
0,0,34630671,34630671,0,42456,0,0,3327,0,0,4,0,3,2,0,0,2
16,34634856,35079633,444777,298292,0,1953,144136,3327,3309,52,4,0,3,2,0,0,2
0,0,36865177,36865177,0,41681,0,0,3327,0,0,4,0,3,2,0,0,2
17,36869289,37341833,472544,331630,0,1948,138499,3327,3309,52,4,0,3,2,0,0,2
0,0,39082898,39082898,0,43403,0,0,3327,0,0,4,0,3,2,0,0,2
18,39092547,39349561,257014,99068,0,1977,155559,3327,3309,52,4,0,3,2,0,0,2
0,0,40168776,40168776,0,37163,0,0,3327,0,0,4,0,3,2,0,0,2
19,40171928,40520912,348984,204920,0,2061,141579,3327,3309,52,4,0,3,2,0,0,2
0,0,43834354,43834354,0,60710,0,0,3327,0,0,4,0,3,2,0,0,2
20,43838823,44401850,563027,177602,0,2136,382868,3327,3309,52,4,0,3,2,0,0,2
0,0,45989441,45989441,0,49542,0,0,3327,0,0,4,0,3,2,0,0,2
21,45993880,46261616,267736,106886,0,1942,158498,3327,3309,52,4,0,3,2,0,0,2
0,0,47595102,47595102,0,38791,0,0,3327,0,0,4,0,3,2,0,0,2
22,47598624,47945036,346412,156120,0,1974,187846,3327,3309,52,4,0,3,2,0,0,2
0,0,48725337,48725337,0,50145,0,0,3327,0,0,4,0,3,2,0,0,2
23,48729810,49081928,352118,201262,0,1972,148391,3327,3309,52,4,0,3,2,0,0,2
0,0,50957193,50957193,0,49966,0,0,3327,0,0,4,0,3,2,0,0,2
24,50961466,51273116,311650,174728,0,1978,134281,3327,3309,52,4,0,3,2,0,0,2
0,0,52040329,52040329,0,41813,0,0,3327,0,0,4,0,3,2,0,0,2
25,52044835,52493995,449160,106078,0,2088,340574,3327,3309,52,4,0,3,2,0,0,2
0,0,54235917,54235917,0,47748,0,0,3327,0,0,4,0,3,2,0,0,2
26,54239966,54505719,265753,114099,0,2410,148739,3327,3309,52,4,0,3,2,0,0,2
0,0,55891091,55891091,0,54680,0,0,3327,0,0,4,0,3,2,0,0,2
27,55895677,56137962,242285,104469,0,1935,135452,3327,3309,52,4,0,3,2,0,0,2
0,0,57374173,57374173,0,48476,0,0,3327,0,0,4,0,3,2,0,0,2
28,57378984,57686876,307892,143458,0,2256,161668,3327,3309,52,4,0,3,2,0,0,2
0,0,58527042,58527042,0,58457,0,0,3327,0,0,4,0,3,2,0,0,2
29,58529616,58774595,244979,80642,0,2362,161573,3327,3309,52,4,0,3,2,0,0,2
0,0,59900317,59900317,0,47780,0,0,3327,0,0,4,0,3,2,0,0,2
30,59933189,60530656,597467,183334,0,2567,411059,3327,3309,52,4,0,3,2,0,0,2
0,0,62123641,62123641,0,40928,0,0,3327,0,0,4,0,3,2,0,0,2
31,62331558,62588822,257264,111685,0,1958,142945,3327,3309,52,4,0,3,2,0,0,2
0,0,64320089,64320089,0,44177,0,0,3327,0,0,4,0,3,2,0,0,2
32,64324876,64596597,271721,131825,0,1931,137480,3327,3309,52,4,0,3,2,0,0,2
0,0,66540171,66540171,0,59973,0,0,3327,0,0,4,0,3,2,0,0,2
33,66544621,66977437,432816,257448,0,2495,172040,3327,3309,52,4,0,3,2,0,0,2
0,0,69790889,69790889,0,52994,0,0,3327,0,0,4,0,3,2,0,0,2
34,69795815,70098370,302555,138073,0,1951,162054,3327,3309,52,4,0,3,2,0,0,2
0,0,70893027,70893027,0,43178,0,0,3327,0,0,4,0,3,2,0,0,2
