seq,tx_ns,rx_ns,e2e_ns,secoc_auth_ns,secoc_verify_ns,cantp_ns,bus_ns,pdu_bytes,auth_bytes,fragments,signal_id,bus_id,asil,deadline_class,outcome,attack_kind,protected_mode
1,3195801,3398460,202659,118842,0,2085,81376,3343,3325,53,4,0,3,2,0,0,3
0,0,4171302,4171302,0,39127,0,0,3343,0,0,4,0,3,2,0,0,3
2,4173320,4393854,220534,135280,0,2061,82879,3343,3325,53,4,0,3,2,0,0,3
0,0,5179923,5179923,0,59802,0,0,3343,0,0,4,0,3,2,0,0,3
3,5183846,5319746,135900,58288,0,2089,75059,3343,3325,53,4,0,3,2,0,0,3
0,0,6094758,6094758,0,54688,0,0,3343,0,0,4,0,3,2,0,0,3
4,6098129,6281522,183393,104625,0,2070,76263,3343,3325,53,4,0,3,2,0,0,3
0,0,6967300,6967300,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
5,6968932,7178129,209197,105378,0,2086,101468,3343,3325,53,4,0,3,2,0,0,3
0,0,7923521,7923521,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
6,7925154,8048138,122984,47431,0,2058,73193,3343,3325,53,4,0,3,2,0,0,3
0,0,8753143,8753143,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
7,8755212,8892600,137388,61837,0,2062,73162,3343,3325,53,4,0,3,2,0,0,3
0,0,9593556,9593556,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
8,9595332,9740016,144684,75134,0,2075,67163,3343,3325,53,4,0,3,2,0,0,3
0,0,10437771,10437771,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
9,10439550,10607347,167797,82684,0,2100,82743,3343,3325,53,4,0,3,2,0,0,3
0,0,11291149,11291149,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
10,11292729,11524762,232033,151382,0,2068,78273,3343,3325,53,4,0,3,2,0,0,3
0,0,12213084,12213084,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
11,12214772,12331118,116346,47383,0,2080,66596,3343,3325,53,4,0,3,2,0,0,3
0,0,13031412,13031412,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
12,13032994,13186826,153832,82834,0,2090,68620,3343,3325,53,4,0,3,2,0,0,3
0,0,13884782,13884782,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
13,13886408,14012816,126408,46728,0,2109,77269,3343,3325,53,4,0,3,2,0,0,3
0,0,14707059,14707059,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
14,14708676,14975895,267219,199217,0,2086,65591,3343,3325,53,4,0,3,2,0,0,3
0,0,15772084,15772084,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
15,15775266,15948018,172752,95017,0,2037,75332,3343,3325,53,4,0,3,2,0,0,3
0,0,16664388,16664388,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
16,16666288,16822171,155883,85531,0,2076,68000,3343,3325,53,4,0,3,2,0,0,3
0,0,17534907,17534907,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
17,17536471,17679973,143502,71890,0,2066,69252,3343,3325,53,4,0,3,2,0,0,3
0,0,18390370,18390370,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
18,18392311,18510119,117808,47370,0,2068,68114,3343,3325,53,4,0,3,2,0,0,3
0,0,19221077,19221077,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
19,19222626,19345204,122578,46620,0,2072,73628,3343,3325,53,4,0,3,2,0,0,3
0,0,20050738,20050738,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
20,20052228,20279489,227261,145243,0,2092,79642,3343,3325,53,4,0,3,2,0,0,3
0,0,20998902,20998902,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
21,21001040,21146105,145065,65374,0,2058,77333,3343,3325,53,4,0,3,2,0,0,3
0,0,21849496,21849496,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
22,21851153,21973099,121946,47278,0,2081,72316,3343,3325,53,4,0,3,2,0,0,3
0,0,22678949,22678949,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
23,22680417,22829107,148690,60323,0,2076,85973,3343,3325,53,4,0,3,2,0,0,3
0,0,23520899,23520899,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
24,23522604,23686594,163990,91503,0,2113,70044,3343,3325,53,4,0,3,2,0,0,3
0,0,24395616,24395616,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
25,24397130,24535397,138267,46887,0,2130,88965,3343,3325,53,4,0,3,2,0,0,3
0,0,25224183,25224183,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
26,25226085,25438268,212183,138031,0,2091,71799,3343,3325,53,4,0,3,2,0,0,3
0,0,26157177,26157177,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
27,26158701,26544280,385579,280758,0,2098,102405,3343,3325,53,4,0,3,2,0,0,3
0,0,27306268,27306268,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
28,27308031,27453662,145631,70233,0,2030,73079,3343,3325,53,4,0,3,2,0,0,3
0,0,28178546,28178546,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
29,28180233,28354434,174201,95746,0,2068,76077,3343,3325,53,4,0,3,2,0,0,3
0,0,29059203,29059203,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
30,29060815,29234640,173825,98240,0,2053,73218,3343,3325,53,4,0,3,2,0,0,3
0,0,29938825,29938825,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
31,29940287,30135726,195439,117183,0,2064,75931,3343,3325,53,4,0,3,2,0,0,3
0,0,30837416,30837416,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
32,30838874,31069310,230436,91383,0,2061,136679,3343,3325,53,4,0,3,2,0,0,3
0,0,31786338,31786338,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
33,31788128,32012039,223911,141343,0,2074,80191,3343,3325,53,4,0,3,2,0,0,3
0,0,32710269,32710269,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
34,32711887,32888978,177091,105576,0,2054,69164,3343,3325,53,4,0,3,2,0,0,3
0,0,33601228,33601228,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
35,33602647,33845469,242822,169704,0,2038,70795,3343,3325,53,4,0,3,2,0,0,3
0,0,34572618,34572618,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
36,34574250,34699250,125000,47031,0,2036,75649,3343,3325,53,4,0,3,2,0,0,3
0,0,35396990,35396990,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
37,35398680,35622061,223381,130566,0,2120,90406,3343,3325,53,4,0,3,2,0,0,3
0,0,36375623,36375623,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
38,36377080,36649562,272482,200262,0,2081,69844,3343,3325,53,4,0,3,2,0,0,3
0,0,37346758,37346758,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
39,37348305,37543083,194778,114103,0,2078,78296,3343,3325,53,4,0,3,2,0,0,3
0,0,38239186,38239186,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
40,38241045,38442450,201405,125843,0,2092,73170,3343,3325,53,4,0,3,2,0,0,3
0,0,39163321,39163321,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
41,39164821,39541786,376965,167325,0,2125,207243,3343,3325,53,4,0,3,2,0,0,3
0,0,40274019,40274019,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
42,40275806,40403325,127519,47689,0,2075,77457,3343,3325,53,4,0,3,2,0,0,3
0,0,41106333,41106333,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
43,41107823,41231405,123582,46799,0,2081,74426,3343,3325,53,4,0,3,2,0,0,3
0,0,41936316,41936316,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
44,41937861,42154236,216375,140248,0,2051,73798,3343,3325,53,4,0,3,2,0,0,3
0,0,42859889,42859889,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
45,42861332,43041590,180258,96849,0,2063,81034,3343,3325,53,4,0,3,2,0,0,3
0,0,43740390,43740390,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
46,43741959,43945823,203864,123241,0,2063,78261,3343,3325,53,4,0,3,2,0,0,3
0,0,44648159,44648159,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
47,44650254,44810825,160571,80405,0,2070,77779,3343,3325,53,4,0,3,2,0,0,3
0,0,45510652,45510652,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
48,45512247,45717991,205744,125917,0,2075,77463,3343,3325,53,4,0,3,2,0,0,3
0,0,46419204,46419204,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
49,46420832,46658705,237873,156953,0,2081,78541,3343,3325,53,4,0,3,2,0,0,3
0,0,47358365,47358365,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
50,47359901,47507272,147371,69602,0,2067,75420,3343,3325,53,4,0,3,2,0,0,3
0,0,48271083,48271083,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
51,48275013,48490107,215094,123468,0,2095,89131,3343,3325,53,4,0,3,2,0,0,3
0,0,49290289,49290289,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
52,49294359,49592242,297883,182926,0,2119,112469,3343,3325,53,4,0,3,2,0,0,3
0,0,50362025,50362025,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
53,50366293,50588585,222292,113322,0,2124,106453,3343,3325,53,4,0,3,2,0,0,3
0,0,51356976,51356976,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
54,51358761,51545872,187111,93193,0,2062,91547,3343,3325,53,4,0,3,2,0,0,3
0,0,52234224,52234224,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
55,52235953,52517602,281649,196068,0,2056,83221,3343,3325,53,4,0,3,2,0,0,3
0,0,53218900,53218900,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
56,53220897,53369059,148162,61964,0,2069,83786,3343,3325,53,4,0,3,2,0,0,3
0,0,54077501,54077501,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
57,54079908,54245559,165651,79113,0,2137,84058,3343,3325,53,4,0,3,2,0,0,3
0,0,54945839,54945839,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
58,54947484,55213434,265950,138162,0,2077,125357,3343,3325,53,4,0,3,2,0,0,3
0,0,57017222,57017222,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
59,57018795,57160597,141802,58719,0,2058,80703,3343,3325,53,4,0,3,2,0,0,3
0,0,57881487,57881487,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
60,57883878,58407564,523686,154940,0,2097,366322,3343,3325,53,4,0,3,2,0,0,3
0,0,59133194,59133194,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
61,59135082,59349819,214737,138002,0,2111,74303,3343,3325,53,4,0,3,2,0,0,3
0,0,60068516,60068516,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
62,60070249,60215598,145349,62596,0,2095,80353,3343,3325,53,4,0,3,2,0,0,3
0,0,60924888,60924888,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
63,60926504,61197461,270957,190576,0,2057,78028,3343,3325,53,4,0,3,2,0,0,3
0,0,61910636,61910636,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
64,61912316,62170056,257740,181678,0,2054,73711,3343,3325,53,4,0,3,2,0,0,3
0,0,62886418,62886418,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
65,62887989,63151058,263069,148539,0,2040,112208,3343,3325,53,4,0,3,2,0,0,3
0,0,63925917,63925917,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
66,63927373,64068423,141050,63324,0,2064,75348,3343,3325,53,4,0,3,2,0,0,3
0,0,64782381,64782381,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
67,64784006,64910432,126426,46739,0,2111,77257,3343,3325,53,4,0,3,2,0,0,3
0,0,65623358,65623358,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
68,65625035,65791850,166815,84356,0,2077,80062,3343,3325,53,4,0,3,2,0,0,3
0,0,66500842,66500842,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
69,66502484,66644244,141760,46784,0,2080,92620,3343,3325,53,4,0,3,2,0,0,3
0,0,67361430,67361430,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
70,67363125,67620818,257693,161859,0,2104,93427,3343,3325,53,4,0,3,2,0,0,3
0,0,68316131,68316131,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
71,68317593,68598068,280475,182825,0,2077,95251,3343,3325,53,4,0,3,2,0,0,3
0,0,69291371,69291371,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
72,69292742,69430943,138201,59181,0,2089,76659,3343,3325,53,4,0,3,2,0,0,3
0,0,70159685,70159685,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
73,70161173,70408196,247023,170468,0,2084,74169,3343,3325,53,4,0,3,2,0,0,3
0,0,71141420,71141420,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
74,71143876,71318635,174759,92828,0,2099,79540,3343,3325,53,4,0,3,2,0,0,3
0,0,72032193,72032193,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
75,72033879,72192782,158903,76328,0,2047,80208,3343,3325,53,4,0,3,2,0,0,3
0,0,72904052,72904052,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
76,72905622,73039446,133824,47178,0,2106,84242,3343,3325,53,4,0,3,2,0,0,3
0,0,73745372,73745372,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
77,73746980,73993188,246208,148838,0,2116,94958,3343,3325,53,4,0,3,2,0,0,3
0,0,74691242,74691242,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
78,74692795,74933358,240563,199026,0,2047,39206,3343,3325,53,4,0,3,2,0,0,3
0,0,75718827,75718827,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
79,75720403,75819615,99212,77177,0,2032,19683,3343,3325,53,4,0,3,2,0,0,3
0,0,76594290,76594290,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
80,76595898,76659660,63762,46364,0,1992,15147,3343,3325,53,4,0,3,2,0,0,3
0,0,77433905,77433905,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
81,77435493,77548152,112659,96804,0,1974,13583,3343,3325,53,4,0,3,2,0,0,3
0,0,78324836,78324836,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
82,78326360,78388594,62234,46130,0,2004,13810,3343,3325,53,4,0,3,2,0,0,3
0,0,79190289,79190289,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
83,79192313,79277416,85103,67739,0,1993,15130,3343,3325,53,4,0,3,2,0,0,3
0,0,80054155,80054155,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
84,80055783,80183943,128160,111353,0,1990,14521,3343,3325,53,4,0,3,2,0,0,3
0,0,80957157,80957157,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
85,80958656,81057644,98988,83329,0,1987,13400,3343,3325,53,4,0,3,2,0,0,3
0,0,81833246,81833246,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
86,81834783,81985946,151163,131531,0,1991,17304,3343,3325,53,4,0,3,2,0,0,3
0,0,82757087,82757087,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
87,82758574,82833774,75200,60040,0,1988,12855,3343,3325,53,4,0,3,2,0,0,3
0,0,83612429,83612429,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
88,83614138,83787295,173157,156566,0,1994,14283,3343,3325,53,4,0,3,2,0,0,3
0,0,84592031,84592031,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
89,84594131,84675728,81597,59144,0,2352,19750,3343,3325,53,4,0,3,2,0,0,3
0,0,85451068,85451068,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
90,85452898,85533096,80198,63463,0,1984,14474,3343,3325,53,4,0,3,2,0,0,3
0,0,86311409,86311409,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
91,86313038,86460832,147794,130294,0,2039,15170,3343,3325,53,4,0,3,2,0,0,3
0,0,87258943,87258943,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
92,87261629,87412555,150926,126874,0,2475,21152,3343,3325,53,4,0,3,2,0,0,3
0,0,88206479,88206479,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
93,88208317,88331264,122947,105874,0,2041,14649,3343,3325,53,4,0,3,2,0,0,3
0,0,89116482,89116482,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
94,89118392,89299260,180868,162740,0,2027,15810,3343,3325,53,4,0,3,2,0,0,3
0,0,90073142,90073142,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
95,90074642,90191307,116665,98387,0,2007,15984,3343,3325,53,4,0,3,2,0,0,3
0,0,90963614,90963614,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
96,90965156,91061129,95973,76443,0,2005,17214,3343,3325,53,4,0,3,2,0,0,3
0,0,91825417,91825417,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
97,91827025,91931157,104132,84177,0,2017,17623,3343,3325,53,4,0,3,2,0,0,3
0,0,92680247,92680247,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
98,92681936,92877869,195933,174519,0,2006,19069,3343,3325,53,4,0,3,2,0,0,3
0,0,93645016,93645016,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
99,93647517,93760033,112516,93841,0,2034,16318,3343,3325,53,4,0,3,2,0,0,3
0,0,94513858,94513858,0,0,0,0,3343,0,0,4,0,3,2,3,0,3
100,94515391,94609806,94415,74607,0,2000,17536,3343,3325,53,4,0,3,2,0,0,3
