seq,tx_ns,rx_ns,e2e_ns,secoc_auth_ns,secoc_verify_ns,cantp_ns,bus_ns,pdu_bytes,auth_bytes,fragments,signal_id,bus_id,asil,deadline_class,outcome,attack_kind,protected_mode
1,3028196,3185994,157798,82926,0,2057,72482,3327,3309,52,4,0,3,2,0,0,2
0,0,3943684,3943684,0,32937,0,0,3327,0,0,4,0,3,2,0,0,2
2,3945463,4124530,179067,102359,0,2034,74354,3327,3309,52,4,0,3,2,0,0,2
0,0,4849140,4849140,0,30536,0,0,3327,0,0,4,0,3,2,0,0,2
3,4850685,5047721,197036,107403,0,2070,87243,3327,3309,52,4,0,3,2,0,0,2
0,0,5833887,5833887,0,30301,0,0,3327,0,0,4,0,3,2,0,0,2
4,5835416,5984340,148924,58631,0,2075,87921,3327,3309,52,4,0,3,2,0,0,2
0,0,6772235,6772235,0,30424,0,0,3327,0,0,4,0,3,2,0,0,2
5,6773690,6921834,148144,74510,0,2063,71272,3327,3309,52,4,0,3,2,0,0,2
0,0,7650638,7650638,0,30284,0,0,3327,0,0,4,0,3,2,0,0,2
6,7652198,7996564,344366,257340,0,2150,84558,3327,3309,52,4,0,3,2,0,0,2
0,0,8722020,8722020,0,32841,0,0,3327,0,0,4,0,3,2,0,0,2
7,8723889,8958770,234881,155474,0,2080,77044,3327,3309,52,4,0,3,2,0,0,2
0,0,9680444,9680444,0,30561,0,0,3327,0,0,4,0,3,2,0,0,2
8,9681889,9943029,261140,185907,0,2142,72805,3327,3309,52,4,0,3,2,0,0,2
0,0,10665639,10665639,0,30855,0,0,3327,0,0,4,0,3,2,0,0,2
9,10667251,10863879,196628,124722,0,2040,69622,3327,3309,52,4,0,3,2,0,0,2
0,0,11597473,11597473,0,30487,0,0,3327,0,0,4,0,3,2,0,0,2
10,11599006,11811409,212403,135517,0,2048,74555,3327,3309,52,4,0,3,2,0,0,2
0,0,12537489,12537489,0,30447,0,0,3327,0,0,4,0,3,2,0,0,2
11,12539029,12746512,207483,133886,0,2058,71295,3327,3309,52,4,0,3,2,0,0,2
0,0,13475394,13475394,0,31490,0,0,3327,0,0,4,0,3,2,0,0,2
12,13476928,13676479,199551,125183,0,2046,71979,3327,3309,52,4,0,3,2,0,0,2
0,0,14402900,14402900,0,30694,0,0,3327,0,0,4,0,3,2,0,0,2
13,14404309,14539415,135106,56848,0,2172,75767,3327,3309,52,4,0,3,2,0,0,2
0,0,15260553,15260553,0,30706,0,0,3327,0,0,4,0,3,2,0,0,2
14,15262044,15381555,119511,42570,0,2045,74600,3327,3309,52,4,0,3,2,0,0,2
0,0,16108251,16108251,0,34992,0,0,3327,0,0,4,0,3,2,0,0,2
15,16109672,16275422,165750,92318,0,2090,71036,3327,3309,52,4,0,3,2,0,0,2
0,0,17025465,17025465,0,30800,0,0,3327,0,0,4,0,3,2,0,0,2
16,17026967,17205304,178337,106468,0,2017,69570,3327,3309,52,4,0,3,2,0,0,2
0,0,17932769,17932769,0,30629,0,0,3327,0,0,4,0,3,2,0,0,2
17,17934205,18068241,134036,57895,0,2085,73765,3327,3309,52,4,0,3,2,0,0,2
0,0,18792901,18792901,0,30779,0,0,3327,0,0,4,0,3,2,0,0,2
18,18794321,19079217,284896,212723,0,2040,69849,3327,3309,52,4,0,3,2,0,0,2
0,0,19807244,19807244,0,30644,0,0,3327,0,0,4,0,3,2,0,0,2
19,19808634,19921838,113204,42537,0,2048,68337,3327,3309,52,4,0,3,2,0,0,2
0,0,20649941,20649941,0,30493,0,0,3327,0,0,4,0,3,2,0,0,2
20,20651392,20863594,212202,134138,0,2069,75726,3327,3309,52,4,0,3,2,0,0,2
0,0,21606045,21606045,0,30444,0,0,3327,0,0,4,0,3,2,0,0,2
21,21607535,21795019,187484,114204,0,2035,70943,3327,3309,52,4,0,3,2,0,0,2
0,0,22522014,22522014,0,30377,0,0,3327,0,0,4,0,3,2,0,0,2
22,22523496,22721813,198317,123978,0,2038,72014,3327,3309,52,4,0,3,2,0,0,2
0,0,23447171,23447171,0,30648,0,0,3327,0,0,4,0,3,2,0,0,2
23,23448612,23727316,278704,202883,0,2059,73481,3327,3309,52,4,0,3,2,0,0,2
0,0,24452346,24452346,0,30638,0,0,3327,0,0,4,0,3,2,0,0,2
24,24453778,24685209,231431,157778,0,2040,71331,3327,3309,52,4,0,3,2,0,0,2
0,0,25412342,25412342,0,30608,0,0,3327,0,0,4,0,3,2,0,0,2
25,25413865,25778053,364188,288373,0,2054,73442,3327,3309,52,4,0,3,2,0,0,2
0,0,26506825,26506825,0,30795,0,0,3327,0,0,4,0,3,2,0,0,2
26,26508235,26633218,124983,53902,0,2042,68711,3327,3309,52,4,0,3,2,0,0,2
0,0,27367213,27367213,0,32145,0,0,3327,0,0,4,0,3,2,0,0,2
27,27368650,27517564,148914,70642,0,2124,75865,3327,3309,52,4,0,3,2,0,0,2
0,0,28251960,28251960,0,31873,0,0,3327,0,0,4,0,3,2,0,0,2
28,28253746,28425576,171830,98231,0,2060,71203,3327,3309,52,4,0,3,2,0,0,2
0,0,29158815,29158815,0,30931,0,0,3327,0,0,4,0,3,2,0,0,2
29,29160275,29293094,132819,59044,0,2071,71365,3327,3309,52,4,0,3,2,0,0,2
0,0,30018548,30018548,0,30745,0,0,3327,0,0,4,0,3,2,0,0,2
30,30019988,30347859,327871,249870,0,2061,75634,3327,3309,52,4,0,3,2,0,0,2
0,0,31071513,31071513,0,30405,0,0,3327,0,0,4,0,3,2,0,0,2
31,31072973,31234590,161617,90064,0,2060,69182,3327,3309,52,4,0,3,2,0,0,2
0,0,31987252,31987252,0,51848,0,0,3327,0,0,4,0,3,2,0,0,2
32,31988775,32130103,141328,58377,0,2044,80653,3327,3309,52,4,0,3,2,0,0,2
0,0,32848830,32848830,0,30822,0,0,3327,0,0,4,0,3,2,0,0,2
33,32850147,32983143,132996,42715,0,2102,87852,3327,3309,52,4,0,3,2,0,0,2
0,0,33774758,33774758,0,30600,0,0,3327,0,0,4,0,3,2,0,0,2
34,33776155,33904222,128067,57692,0,2014,68048,3327,3309,52,4,0,3,2,0,0,2
0,0,34648403,34648403,0,30526,0,0,3327,0,0,4,0,3,2,0,0,2
35,34649797,34900930,251133,177798,0,2040,71017,3327,3309,52,4,0,3,2,0,0,2
0,0,35640513,35640513,0,30709,0,0,3327,0,0,4,0,3,2,0,0,2
36,35641859,35795371,153512,81798,0,2020,69389,3327,3309,52,4,0,3,2,0,0,2
0,0,36541399,36541399,0,30475,0,0,3327,0,0,4,0,3,2,0,0,2
37,36542862,36674087,131225,57700,0,2049,71160,3327,3309,52,4,0,3,2,0,0,2
0,0,37413230,37413230,0,30390,0,0,3327,0,0,4,0,3,2,0,0,2
38,37414620,37589417,174797,70846,0,2036,101632,3327,3309,52,4,0,3,2,0,0,2
0,0,38386304,38386304,0,30449,0,0,3327,0,0,4,0,3,2,0,0,2
39,38387681,38540984,153303,81713,0,2053,69275,3327,3309,52,4,0,3,2,0,0,2
0,0,39282364,39282364,0,31483,0,0,3327,0,0,4,0,3,2,0,0,2
40,39284063,39445667,161604,85060,0,2080,74189,3327,3309,52,4,0,3,2,0,0,2
0,0,40194448,40194448,0,35790,0,0,3327,0,0,4,0,3,2,0,0,2
41,40196965,40350598,153633,75770,0,2122,75424,3327,3309,52,4,0,3,2,0,0,2
0,0,41208230,41208230,0,53483,0,0,3327,0,0,4,0,3,2,0,0,2
42,41212916,41378954,166038,67418,0,2404,95763,3327,3309,52,4,0,3,2,0,0,2
0,0,42187614,42187614,0,50316,0,0,3327,0,0,4,0,3,2,0,0,2
43,42191140,42489414,298274,195276,0,2362,100063,3327,3309,52,4,0,3,2,0,0,2
0,0,43264898,43264898,0,36568,0,0,3327,0,0,4,0,3,2,0,0,2
