seq,tx_ns,rx_ns,e2e_ns,secoc_auth_ns,secoc_verify_ns,cantp_ns,bus_ns,pdu_bytes,auth_bytes,fragments,signal_id,bus_id,asil,deadline_class,outcome,attack_kind,protected_mode
1,1072143,2169148,1097005,1095692,0,106,597,34,16,1,4,0,3,2,0,0,1
0,0,2987572,2987572,0,23811,0,0,34,0,0,4,0,3,2,0,0,1
2,2992577,3004972,12395,3396,0,127,8446,34,16,1,4,0,3,2,0,0,1
0,0,3771493,3771493,0,5694,0,0,34,0,0,4,0,3,2,0,0,1
3,3773733,3780059,6326,2977,0,110,2918,34,16,1,4,0,3,2,0,0,1
0,0,4610691,4610691,0,19373,0,0,34,0,0,4,0,3,2,0,0,1
4,4614925,4626725,11800,3329,0,126,7888,34,16,1,4,0,3,2,0,0,1
0,0,5435446,5435446,0,16226,0,0,34,0,0,4,0,3,2,0,0,1
5,5439809,5451834,12025,3225,0,116,8253,34,16,1,4,0,3,2,0,0,1
0,0,6195870,6195870,0,6425,0,0,34,0,0,4,0,3,2,0,0,1
6,6198288,6205397,7109,3066,0,116,3566,34,16,1,4,0,3,2,0,0,1
0,0,6935583,6935583,0,4896,0,0,34,0,0,4,0,3,2,0,0,1
7,6937582,6943215,5633,3092,0,120,2135,34,16,1,4,0,3,2,0,0,1
0,0,7772589,7772589,0,14359,0,0,34,0,0,4,0,3,2,0,0,1
8,7779506,7790029,10523,2581,0,108,7466,34,16,1,4,0,3,2,0,0,1
0,0,8534345,8534345,0,7089,0,0,34,0,0,4,0,3,2,0,0,1
9,8536814,8543940,7126,1980,0,116,4731,34,16,1,4,0,3,2,0,0,1
0,0,9339926,9339926,0,9085,0,0,34,0,0,4,0,3,2,0,0,1
10,9342802,9350573,7771,1976,0,119,5355,34,16,1,4,0,3,2,0,0,1
0,0,10124198,10124198,0,14475,0,0,34,0,0,4,0,3,2,0,0,1
11,10127897,10138049,10152,2104,0,98,7551,34,16,1,4,0,3,2,0,0,1
0,0,10950078,10950078,0,14192,0,0,34,0,0,4,0,3,2,0,0,1
12,10953707,10963564,9857,2105,0,114,7287,34,16,1,4,0,3,2,0,0,1
0,0,11689934,11689934,0,4403,0,0,34,0,0,4,0,3,2,0,0,1
13,11691633,11696461,4828,1771,0,115,2657,34,16,1,4,0,3,2,0,0,1
0,0,12537279,12537279,0,14176,0,0,34,0,0,4,0,3,2,0,0,1
14,12540853,12556629,15776,2066,0,118,13225,34,16,1,4,0,3,2,0,0,1
0,0,13428024,13428024,0,14281,0,0,34,0,0,4,0,3,2,0,0,1
15,13431641,13441226,9585,2003,0,101,7102,34,16,1,4,0,3,2,0,0,1
0,0,14177294,14177294,0,5845,0,0,34,0,0,4,0,3,2,0,0,1
16,14179287,14184942,5655,1736,0,112,3525,34,16,1,4,0,3,2,0,0,1
0,0,14998615,14998615,0,13923,0,0,34,0,0,4,0,3,2,0,0,1
17,15002117,15011494,9377,2016,0,99,6889,34,16,1,4,0,3,2,0,0,1
0,0,15745512,15745512,0,5073,0,0,34,0,0,4,0,3,2,0,0,1
18,15747431,15753168,5737,1854,0,108,3487,34,16,1,4,0,3,2,0,0,1
0,0,16633828,16633828,0,30167,0,0,34,0,0,4,0,3,2,0,0,1
19,16637606,16647924,10318,2688,0,124,7090,34,16,1,4,0,3,2,0,0,1
0,0,17385313,17385313,0,6024,0,0,34,0,0,4,0,3,2,0,0,1
20,17387570,17398582,11012,2082,0,86,8498,34,16,1,4,0,3,2,0,0,1
0,0,18188888,18188888,0,15378,0,0,34,0,0,4,0,3,2,0,0,1
21,18192596,18203351,10755,2172,0,104,8101,34,16,1,4,0,3,2,0,0,1
0,0,18997774,18997774,0,14421,0,0,34,0,0,4,0,3,2,0,0,1
22,19001411,19011104,9693,2036,0,101,7186,34,16,1,4,0,3,2,0,0,1
0,0,19772080,19772080,0,15572,0,0,34,0,0,4,0,3,2,0,0,1
23,19775710,19785005,9295,2339,0,90,6514,34,16,1,4,0,3,2,0,0,1
0,0,20652470,20652470,0,13655,0,0,34,0,0,4,0,3,2,0,0,1
24,20655956,20664961,9005,2119,0,104,6374,34,16,1,4,0,3,2,0,0,1
0,0,21443668,21443668,0,13938,0,0,34,0,0,4,0,3,2,0,0,1
25,21447519,21456809,9290,2040,0,102,6758,34,16,1,4,0,3,2,0,0,1
0,0,22249776,22249776,0,9826,0,0,34,0,0,4,0,3,2,0,0,1
