sim_ns,signal_id,bus_id,attack_kind,detected,extra,note
6140633,4,0,1,0,0,"replay injected"
6992093,4,0,1,0,0,"replay injected"
7923556,4,0,1,0,0,"replay injected"
9061248,4,0,1,0,0,"replay injected"
9957828,4,0,1,0,0,"replay injected"
10833087,4,0,1,0,0,"replay injected"
11710181,4,0,1,0,0,"replay injected"
12626473,4,0,1,0,0,"replay injected"
13466437,4,0,1,0,0,"replay injected"
14316114,4,0,1,0,0,"replay injected"
15170443,4,0,1,0,0,"replay injected"
16063345,4,0,1,0,0,"replay injected"
16982533,4,0,1,0,0,"replay injected"
17816073,4,0,1,0,0,"replay injected"
18679490,4,0,1,0,0,"replay injected"
19523405,4,0,1,0,0,"replay injected"
20353366,4,0,1,0,0,"replay injected"
21237320,4,0,1,0,0,"replay injected"
22106029,4,0,1,0,0,"replay injected"
23005569,4,0,1,0,0,"replay injected"
23930904,4,0,1,0,0,"replay injected"
24826666,4,0,1,0,0,"replay injected"
25644724,4,0,1,0,0,"replay injected"
26532324,4,0,1,0,0,"replay injected"
27366155,4,0,1,0,0,"replay injected"
28201852,4,0,1,0,0,"replay injected"
29115145,4,0,1,0,0,"replay injected"
29972345,4,0,1,0,0,"replay injected"
30789467,4,0,1,0,0,"replay injected"
31666773,4,0,1,0,0,"replay injected"
32540814,4,0,1,0,0,"replay injected"
33394519,4,0,1,0,0,"replay injected"
34228259,4,0,1,0,0,"replay injected"
35293929,4,0,1,0,0,"replay injected"
36148758,4,0,1,0,0,"replay injected"
36996294,4,0,1,0,0,"replay injected"
37820082,4,0,1,0,0,"replay injected"
38946897,4,0,1,0,0,"replay injected"
40013948,4,0,1,0,0,"replay injected"
40983622,4,0,1,0,0,"replay injected"
42102277,4,0,1,0,0,"replay injected"
43145710,4,0,1,0,0,"replay injected"
44040845,4,0,1,0,0,"replay injected"
45022699,4,0,1,0,0,"replay injected"
45894644,4,0,1,0,0,"replay injected"
46759095,4,0,1,0,0,"replay injected"
47753791,4,0,1,0,0,"replay injected"
48746212,4,0,1,0,0,"replay injected"
49695784,4,0,1,0,0,"replay injected"
50710365,4,0,1,0,0,"replay injected"
51742560,4,0,1,0,0,"replay injected"
52591645,4,0,1,0,0,"replay injected"
53483327,4,0,1,0,0,"replay injected"
54488445,4,0,1,0,0,"replay injected"
55330857,4,0,1,0,0,"replay injected"
56299343,4,0,1,0,0,"replay injected"
57197653,4,0,1,0,0,"replay injected"
58054394,4,0,1,0,0,"replay injected"
58256103,4,0,1,0,0,"replay injected"
59208184,4,0,1,0,0,"replay injected"
60056981,4,0,1,0,0,"replay injected"
60914754,4,0,1,0,0,"replay injected"
61820417,4,0,1,0,0,"replay injected"
62888473,4,0,1,0,0,"replay injected"
63833332,4,0,1,0,0,"replay injected"
64748242,4,0,1,0,0,"replay injected"
65676075,4,0,1,0,0,"replay injected"
66607922,4,0,1,0,0,"replay injected"
