seq,tx_ns,rx_ns,e2e_ns,secoc_auth_ns,secoc_verify_ns,cantp_ns,bus_ns,pdu_bytes,auth_bytes,fragments,signal_id,bus_id,asil,deadline_class,outcome,attack_kind,protected_mode
1,2516349,2727863,211514,134492,0,2042,74591,3327,3309,52,1,0,4,1,0,0,2
0,0,3506747,3506747,0,34085,0,0,3327,0,0,1,0,4,1,0,0,2
2,3508781,3636247,127466,47640,0,2059,77389,3327,3309,52,1,0,4,1,0,0,2
0,0,4370607,4370607,0,31289,0,0,3327,0,0,1,0,4,1,0,0,2
3,4372267,4546313,174046,98983,0,2015,72775,3327,3309,52,1,0,4,1,0,0,2
0,0,5275679,5275679,0,31078,0,0,3327,0,0,1,0,4,1,0,0,2
4,5277309,5500033,222724,159481,0,2023,60946,3327,3309,52,1,0,4,1,0,0,2
0,0,6253333,6253333,0,33031,0,0,3327,0,0,1,0,4,1,0,0,2
5,6255133,6366055,110922,45608,0,2005,63033,3327,3309,52,1,0,4,1,0,0,2
0,0,7119440,7119440,0,31720,0,0,3327,0,0,1,0,4,1,0,0,2
6,7121129,7333252,212123,123665,0,2025,86130,3327,3309,52,1,0,4,1,0,0,2
0,0,8128862,8128862,0,31129,0,0,3327,0,0,1,0,4,1,0,0,2
7,8130484,8240111,109627,42894,0,1987,64487,3327,3309,52,1,0,4,1,0,0,2
0,0,8927465,8927465,0,31145,0,0,3327,0,0,1,0,4,1,0,0,2
8,8929050,9130900,201850,138090,0,1984,61415,3327,3309,52,1,0,4,1,0,0,2
0,0,9871652,9871652,0,31029,0,0,3327,0,0,1,0,4,1,0,0,2
9,9873191,10064000,190809,127678,0,1995,60873,3327,3309,52,1,0,4,1,0,0,2
0,0,10807360,10807360,0,31429,0,0,3327,0,0,1,0,4,1,0,0,2
10,10809215,11131782,322567,217232,0,2029,103016,3327,3309,52,1,0,4,1,0,0,2
0,0,11916638,11916638,0,31478,0,0,3327,0,0,1,0,4,1,0,0,2
11,11918213,12062467,144254,82415,0,1998,59563,3327,3309,52,1,0,4,1,0,0,2
0,0,12800952,12800952,0,31022,0,0,3327,0,0,1,0,4,1,0,0,2
12,12802535,12970578,168043,99400,0,2032,66338,3327,3309,52,1,0,4,1,0,0,2
0,0,13704856,13704856,0,30888,0,0,3327,0,0,1,0,4,1,0,0,2
13,13706488,13953643,247155,179498,0,2049,65298,3327,3309,52,1,0,4,1,0,0,2
0,0,14699347,14699347,0,32732,0,0,3327,0,0,1,0,4,1,0,0,2
14,14701097,15152449,451352,383884,0,2025,65118,3327,3309,52,1,0,4,1,0,0,2
0,0,15896969,15896969,0,31491,0,0,3327,0,0,1,0,4,1,0,0,2
15,15898548,16031045,132497,64613,0,2115,65473,3327,3309,52,1,0,4,1,0,0,2
0,0,16769819,16769819,0,31471,0,0,3327,0,0,1,0,4,1,0,0,2
16,16771757,17012269,240512,44409,0,2186,193625,3327,3309,52,1,0,4,1,0,0,2
0,0,17772470,17772470,0,32308,0,0,3327,0,0,1,0,4,1,0,0,2
17,17774137,18068219,294082,225036,0,2103,66648,3327,3309,52,1,0,4,1,0,0,2
0,0,18803862,18803862,0,31097,0,0,3327,0,0,1,0,4,1,0,0,2
18,18805303,18928597,123294,59253,0,2091,61694,3327,3309,52,1,0,4,1,0,0,2
0,0,19679815,19679815,0,32179,0,0,3327,0,0,1,0,4,1,0,0,2
19,19681798,19851002,169204,81829,0,2113,84967,3327,3309,52,1,0,4,1,0,0,2
0,0,20723550,20723550,0,47425,0,0,3327,0,0,1,0,4,1,0,0,2
20,20727555,21018507,290952,206231,0,2006,82182,3327,3309,52,1,0,4,1,0,0,2
0,0,21765330,21765330,0,31777,0,0,3327,0,0,1,0,4,1,0,0,2
21,21767085,21925424,158339,84610,0,2007,71421,3327,3309,52,1,0,4,1,0,0,2
0,0,22662790,22662790,0,31313,0,0,3327,0,0,1,0,4,1,0,0,2
22,22664470,22831623,167153,88574,0,2085,76197,3327,3309,52,1,0,4,1,0,0,2
0,0,23558724,23558724,0,31193,0,0,3327,0,0,1,0,4,1,0,0,2
23,23560221,23692316,132095,43009,0,2055,86725,3327,3309,52,1,0,4,1,0,0,2
0,0,24410981,24410981,0,31162,0,0,3327,0,0,1,0,4,1,0,0,2
24,24412642,24611957,199315,137547,0,1995,59510,3327,3309,52,1,0,4,1,0,0,2
0,0,25361910,25361910,0,31307,0,0,3327,0,0,1,0,4,1,0,0,2
25,25363837,25529754,165917,101320,0,2007,62309,3327,3309,52,1,0,4,1,0,0,2
0,0,26285030,26285030,0,30961,0,0,3327,0,0,1,0,4,1,0,0,2
26,26286503,26470497,183994,120613,0,2019,61090,3327,3309,52,1,0,4,1,0,0,2
0,0,27233189,27233189,0,38101,0,0,3327,0,0,1,0,4,1,0,0,2
27,27235011,27356531,121520,56456,0,2019,62757,3327,3309,52,1,0,4,1,0,0,2
0,0,28108950,28108950,0,31056,0,0,3327,0,0,1,0,4,1,0,0,2
28,28110552,28283712,173160,104698,0,2030,66153,3327,3309,52,1,0,4,1,0,0,2
0,0,29033987,29033987,0,31125,0,0,3327,0,0,1,0,4,1,0,0,2
