seq,tx_ns,rx_ns,e2e_ns,secoc_auth_ns,secoc_verify_ns,cantp_ns,bus_ns,pdu_bytes,auth_bytes,fragments,signal_id,bus_id,asil,deadline_class,outcome,attack_kind,protected_mode
1,1092931,2202561,1109630,1103353,0,5667,0,34,16,0,1,0,4,1,2,0,1
2,52306486,52342757,36271,19961,0,15536,0,34,16,0,1,0,4,1,2,0,1
3,102461264,102494819,33555,18062,0,14858,0,34,16,0,1,0,4,1,2,0,1
4,152689025,152721056,32031,16549,0,14811,0,34,16,0,1,0,4,1,2,0,1
5,202852341,202881318,28977,14249,0,14106,0,34,16,0,1,0,4,1,2,0,1
6,253011826,253040270,28444,13475,0,14327,0,34,16,0,1,0,4,1,2,0,1
7,303173344,303202841,29497,13964,0,14878,0,34,16,0,1,0,4,1,2,0,1
8,353351735,353380367,28632,13693,0,14337,0,34,16,0,1,0,4,1,2,0,1
9,403506922,403535505,28583,13755,0,14217,0,34,16,0,1,0,4,1,2,0,1
10,453697626,453761165,63539,14186,0,48716,0,34,16,0,1,0,4,1,2,0,1
11,503861606,503889366,27760,13682,0,13480,0,34,16,0,1,0,4,1,2,0,1
12,554055366,554085078,29712,13882,0,15188,0,34,16,0,1,0,4,1,2,0,1
13,604194953,604224521,29568,13993,0,14901,0,34,16,0,1,0,4,1,2,0,1
14,654386715,654417870,31155,14587,0,15825,0,34,16,0,1,0,4,1,2,0,1
15,704577846,704610874,33028,15883,0,16417,0,34,16,0,1,0,4,1,2,0,1
16,754805877,754840844,34967,16948,0,17320,0,34,16,0,1,0,4,1,2,0,1
17,804999879,805028872,28993,13828,0,14586,0,34,16,0,1,0,4,1,2,0,1
18,855134827,855173042,38215,13609,0,24020,0,34,16,0,1,0,4,1,2,0,1
19,905279771,905309077,29306,14376,0,14267,0,34,16,0,1,0,4,1,2,0,1
20,955413379,955431948,18569,9048,0,9024,0,34,16,0,1,0,4,1,2,0,1
21,1005539006,1005579904,40898,14057,0,26258,0,34,16,0,1,0,4,1,2,0,1
22,1055704810,1055753081,48271,13744,0,33917,0,34,16,0,1,0,4,1,2,0,1
23,1105918973,1105947597,28624,13856,0,14161,0,34,16,0,1,0,4,1,2,0,1
24,1156062575,1156090712,28137,13715,0,13824,0,34,16,0,1,0,4,1,2,0,1
25,1206261109,1206290345,29236,14208,0,14435,0,34,16,0,1,0,4,1,2,0,1
26,1256424813,1256452965,28152,13482,0,14044,0,34,16,0,1,0,4,1,2,0,1
27,1306558269,1306586315,28046,13753,0,13717,0,34,16,0,1,0,4,1,2,0,1
28,1356701130,1356744238,43108,13843,0,28668,0,34,16,0,1,0,4,1,2,0,1
29,1406850062,1406877661,27599,13658,0,13280,0,34,16,0,1,0,4,1,2,0,1
30,1457021200,1457049308,28108,13313,0,14136,0,34,16,0,1,0,4,1,2,0,1
31,1507152201,1507179089,26888,13098,0,13190,0,34,16,0,1,0,4,1,2,0,1
32,1557289429,1557316518,27089,13318,0,13129,0,34,16,0,1,0,4,1,2,0,1
33,1607424083,1607451615,27532,12974,0,13890,0,34,16,0,1,0,4,1,2,0,1
34,1657638230,1657665725,27495,13202,0,13649,0,34,16,0,1,0,4,1,2,0,1
35,1707780503,1707806684,26181,12668,0,12868,0,34,16,0,1,0,4,1,2,0,1
36,1757971573,1758002629,31056,15857,0,14585,0,34,16,0,1,0,4,1,2,0,1
37,1808114173,1808141980,27807,13534,0,13712,0,34,16,0,1,0,4,1,2,0,1
38,1858247317,1858319765,72448,15165,0,56554,0,34,16,0,1,0,4,1,2,0,1
39,1908504141,1908546205,42064,26747,0,14563,0,34,16,0,1,0,4,1,2,0,1
40,1958666892,1958695756,28864,13655,0,14500,0,34,16,0,1,0,4,1,2,0,1
41,2008797902,2008814954,17052,8551,0,8110,0,34,16,0,1,0,4,1,2,0,1
42,2058936461,2058964827,28366,13667,0,13926,0,34,16,0,1,0,4,1,2,0,1
43,2109064535,2109084811,20276,9695,0,10037,0,34,16,0,1,0,4,1,2,0,1
44,2159181120,2159201046,19926,9269,0,10258,0,34,16,0,1,0,4,1,2,0,1
45,2209309840,2209339823,29983,14773,0,14586,0,34,16,0,1,0,4,1,2,0,1
46,2259499894,2259564612,64718,28863,0,34891,0,34,16,0,1,0,4,1,2,0,1
47,2309669844,2309706568,36724,21558,0,14544,0,34,16,0,1,0,4,1,2,0,1
48,2359825203,2359854323,29120,14154,0,14359,0,34,16,0,1,0,4,1,2,0,1
49,2409993595,2410022885,29290,14168,0,14515,0,34,16,0,1,0,4,1,2,0,1
50,2460177555,2460209496,31941,15553,0,15662,0,34,16,0,1,0,4,1,2,0,1
