seq,tx_ns,rx_ns,e2e_ns,secoc_auth_ns,secoc_verify_ns,cantp_ns,bus_ns,pdu_bytes,auth_bytes,fragments,signal_id,bus_id,asil,deadline_class,outcome,attack_kind,protected_mode
1,582864,1723949,1141085,1139412,0,104,954,34,16,1,1,0,4,1,0,0,1
0,0,2442693,2442693,0,5508,0,0,34,0,0,1,0,4,1,0,0,1
2,2444493,2449339,4846,1987,0,82,2319,34,16,1,1,0,4,1,0,0,1
0,0,3145406,3145406,0,3769,0,0,34,0,0,1,0,4,1,0,0,1
3,3147066,3151364,4298,1887,0,81,2078,34,16,1,1,0,4,1,0,0,1
0,0,3840572,3840572,0,3352,0,0,34,0,0,1,0,4,1,0,0,1
4,3842199,3846351,4152,1987,0,83,1847,34,16,1,1,0,4,1,0,0,1
0,0,4541107,4541107,0,3555,0,0,34,0,0,1,0,4,1,0,0,1
5,4542759,4546824,4065,2017,0,77,1698,34,16,1,1,0,4,1,0,0,1
0,0,5237756,5237756,0,3755,0,0,34,0,0,1,0,4,1,0,0,1
6,5239421,5243845,4424,2145,0,114,1885,34,16,1,1,0,4,1,0,0,1
0,0,5933519,5933519,0,3335,0,0,34,0,0,1,0,4,1,0,0,1
7,5935082,5939057,3975,1965,0,89,1677,34,16,1,1,0,4,1,0,0,1
0,0,6630473,6630473,0,3353,0,0,34,0,0,1,0,4,1,0,0,1
8,6632026,6636213,4187,2135,0,87,1739,34,16,1,1,0,4,1,0,0,1
0,0,7328215,7328215,0,3469,0,0,34,0,0,1,0,4,1,0,0,1
9,7329804,7333844,4040,1922,0,101,1773,34,16,1,1,0,4,1,0,0,1
0,0,8026901,8026901,0,3416,0,0,34,0,0,1,0,4,1,0,0,1
10,8028420,8032907,4487,2146,0,91,2013,34,16,1,1,0,4,1,0,0,1
0,0,8722389,8722389,0,3364,0,0,34,0,0,1,0,4,1,0,0,1
11,8723944,8728053,4109,1887,0,116,1835,34,16,1,1,0,4,1,0,0,1
0,0,9417394,9417394,0,3459,0,0,34,0,0,1,0,4,1,0,0,1
12,9418983,9423259,4276,2087,0,93,1820,34,16,1,1,0,4,1,0,0,1
0,0,10112916,10112916,0,3440,0,0,34,0,0,1,0,4,1,0,0,1
13,10114494,10118645,4151,2030,0,94,1775,34,16,1,1,0,4,1,0,0,1
0,0,10805490,10805490,0,3473,0,0,34,0,0,1,0,4,1,0,0,1
14,10807036,10812190,5154,1988,0,99,2815,34,16,1,1,0,4,1,0,0,1
0,0,11501803,11501803,0,3426,0,0,34,0,0,1,0,4,1,0,0,1
15,11503293,11507426,4133,2119,0,91,1686,34,16,1,1,0,4,1,0,0,1
0,0,12197768,12197768,0,3416,0,0,34,0,0,1,0,4,1,0,0,1
16,12199218,12204950,5732,2144,0,96,3226,34,16,1,1,0,4,1,0,0,1
0,0,12905921,12905921,0,3506,0,0,34,0,0,1,0,4,1,0,0,1
17,12907472,12911514,4042,2005,0,93,1670,34,16,1,1,0,4,1,0,0,1
0,0,13601249,13601249,0,3412,0,0,34,0,0,1,0,4,1,0,0,1
18,13602827,13607116,4289,2159,0,90,1800,34,16,1,1,0,4,1,0,0,1
0,0,14296722,14296722,0,3481,0,0,34,0,0,1,0,4,1,0,0,1
19,14298262,14302466,4204,2003,0,99,1855,34,16,1,1,0,4,1,0,0,1
0,0,14991034,14991034,0,3358,0,0,34,0,0,1,0,4,1,0,0,1
20,14992527,14996552,4025,2091,0,90,1601,34,16,1,1,0,4,1,0,0,1
0,0,15683335,15683335,0,3403,0,0,34,0,0,1,0,4,1,0,0,1
21,15684841,15688736,3895,2006,0,88,1547,34,16,1,1,0,4,1,0,0,1
0,0,16377267,16377267,0,3377,0,0,34,0,0,1,0,4,1,0,0,1
22,16378803,16383003,4200,2107,0,90,1625,34,16,1,1,0,4,1,0,0,1
0,0,17085462,17085462,0,4228,0,0,34,0,0,1,0,4,1,0,0,1
23,17087254,17091559,4305,1950,0,112,1986,34,16,1,1,0,4,1,0,0,1
0,0,17791835,17791835,0,3451,0,0,34,0,0,1,0,4,1,0,0,1
24,17793324,17797505,4181,2159,0,89,1643,34,16,1,1,0,4,1,0,0,1
0,0,18499853,18499853,0,3445,0,0,34,0,0,1,0,4,1,0,0,1
25,18501409,18505903,4494,2021,0,85,2097,34,16,1,1,0,4,1,0,0,1
0,0,19209254,19209254,0,3339,0,0,34,0,0,1,0,4,1,0,0,1
26,19210768,19214875,4107,2061,0,91,1698,34,16,1,1,0,4,1,0,0,1
0,0,19926057,19926057,0,3453,0,0,34,0,0,1,0,4,1,0,0,1
27,19927566,19934085,6519,1991,0,95,4185,34,16,1,1,0,4,1,0,0,1
0,0,20635826,20635826,0,3395,0,0,34,0,0,1,0,4,1,0,0,1
28,20637312,20641318,4006,2129,0,99,1547,34,16,1,1,0,4,1,0,0,1
0,0,21345464,21345464,0,3387,0,0,34,0,0,1,0,4,1,0,0,1
29,21346987,21351160,4173,2011,0,108,1806,34,16,1,1,0,4,1,0,0,1
0,0,22053115,22053115,0,3480,0,0,34,0,0,1,0,4,1,0,0,1
30,22054619,22058645,4026,2129,0,98,1567,34,16,1,1,0,4,1,0,0,1
0,0,22759013,22759013,0,3435,0,0,34,0,0,1,0,4,1,0,0,1
31,22760483,22764444,3961,1977,0,121,1625,34,16,1,1,0,4,1,0,0,1
0,0,23480373,23480373,0,3466,0,0,34,0,0,1,0,4,1,0,0,1
32,23481969,23486001,4032,2107,0,89,1618,34,16,1,1,0,4,1,0,0,1
0,0,24187009,24187009,0,3341,0,0,34,0,0,1,0,4,1,0,0,1
33,24188593,24192607,4014,2018,0,103,1621,34,16,1,1,0,4,1,0,0,1
0,0,24903918,24903918,0,3646,0,0,34,0,0,1,0,4,1,0,0,1
34,24905449,24909588,4139,2080,0,86,1730,34,16,1,1,0,4,1,0,0,1
0,0,25611631,25611631,0,3401,0,0,34,0,0,1,0,4,1,0,0,1
35,25629328,25633586,4258,2214,0,115,1702,34,16,1,1,0,4,1,0,0,1
0,0,26341315,26341315,0,3685,0,0,34,0,0,1,0,4,1,0,0,1
36,26342887,26347343,4456,2172,0,96,1922,34,16,1,1,0,4,1,0,0,1
0,0,27049560,27049560,0,3402,0,0,34,0,0,1,0,4,1,0,0,1
37,27051071,27055236,4165,2015,0,85,1787,34,16,1,1,0,4,1,0,0,1
0,0,27755540,27755540,0,3406,0,0,34,0,0,1,0,4,1,0,0,1
38,27757088,27761853,4765,2141,0,114,2263,34,16,1,1,0,4,1,0,0,1
0,0,28478750,28478750,0,3568,0,0,34,0,0,1,0,4,1,0,0,1
39,28480318,28484783,4465,2051,0,129,2051,34,16,1,1,0,4,1,0,0,1
0,0,29187314,29187314,0,3344,0,0,34,0,0,1,0,4,1,0,0,1
40,29188807,29193103,4296,2079,0,97,1853,34,16,1,1,0,4,1,0,0,1
0,0,29902292,29902292,0,3517,0,0,34,0,0,1,0,4,1,0,0,1
41,29903783,29907879,4096,2041,0,93,1737,34,16,1,1,0,4,1,0,0,1
0,0,30618665,30618665,0,6239,0,0,34,0,0,1,0,4,1,0,0,1
