seq,tx_ns,rx_ns,e2e_ns,secoc_auth_ns,secoc_verify_ns,cantp_ns,bus_ns,pdu_bytes,auth_bytes,fragments,signal_id,bus_id,asil,deadline_class,outcome,attack_kind,protected_mode
1,2482194,2696517,214323,127397,0,2130,84417,3343,3325,53,1,0,4,1,0,0,3
0,0,3424515,3424515,0,37384,0,0,3343,0,0,1,0,4,1,0,0,3
2,3426351,3566892,140541,67969,0,2121,70093,3343,3325,53,1,0,4,1,0,0,3
0,0,4275874,4275874,0,34830,0,0,3343,0,0,1,0,4,1,0,0,3
3,4277550,4458562,181012,112063,0,2117,66515,3343,3325,53,1,0,4,1,0,0,3
0,0,5247634,5247634,0,61970,0,0,3343,0,0,1,0,4,1,0,0,3
4,5251407,5451794,200387,105334,0,2095,92462,3343,3325,53,1,0,4,1,0,0,3
0,0,6203448,6203448,0,39865,0,0,3343,0,0,1,0,4,1,0,0,3
5,6205354,6390997,185643,113349,0,2034,69905,3343,3325,53,1,0,4,1,0,0,3
0,0,7116368,7116368,0,41432,0,0,3343,0,0,1,0,4,1,0,0,3
6,7118244,7331059,212815,140519,0,2076,69896,3343,3325,53,1,0,4,1,0,0,3
0,0,8045947,8045947,0,42672,0,0,3343,0,0,1,0,4,1,0,0,3
7,8048464,8172389,123925,47951,0,2083,73531,3343,3325,53,1,0,4,1,0,0,3
0,0,8882756,8882756,0,37135,0,0,3343,0,0,1,0,4,1,0,0,3
8,8884588,9034819,150231,73823,0,2068,74046,3343,3325,53,1,0,4,1,0,0,3
0,0,9741892,9741892,0,35859,0,0,3343,0,0,1,0,4,1,0,0,3
9,9743550,9883819,140269,64111,0,2101,73742,3343,3325,53,1,0,4,1,0,0,3
0,0,10656094,10656094,0,69133,0,0,3343,0,0,1,0,4,1,0,0,3
10,10659517,10810138,150621,55859,0,2118,92134,3343,3325,53,1,0,4,1,0,0,3
0,0,11505341,11505341,0,34398,0,0,3343,0,0,1,0,4,1,0,0,3
11,11506853,11851175,344322,262526,0,2046,79424,3343,3325,53,1,0,4,1,0,0,3
0,0,12547156,12547156,0,34641,0,0,3343,0,0,1,0,4,1,0,0,3
12,12548737,12747824,199087,124057,0,2064,72610,3343,3325,53,1,0,4,1,0,0,3
0,0,13558922,13558922,0,51844,0,0,3343,0,0,1,0,4,1,0,0,3
13,13562010,13781419,219409,114754,0,2056,102156,3343,3325,53,1,0,4,1,0,0,3
0,0,14588249,14588249,0,52548,0,0,3343,0,0,1,0,4,1,0,0,3
14,14591532,14783821,192289,92540,0,2067,97255,3343,3325,53,1,0,4,1,0,0,3
0,0,15594509,15594509,0,61980,0,0,3343,0,0,1,0,4,1,0,0,3
15,15598033,15847690,249657,155684,0,2104,91414,3343,3325,53,1,0,4,1,0,0,3
0,0,16557049,16557049,0,35932,0,0,3343,0,0,1,0,4,1,0,0,3
16,16558647,16761729,203082,125700,0,2122,74840,3343,3325,53,1,0,4,1,0,0,3
0,0,17464239,17464239,0,36746,0,0,3343,0,0,1,0,4,1,0,0,3
17,17466014,17615475,149461,68246,0,2079,78874,3343,3325,53,1,0,4,1,0,0,3
0,0,18320564,18320564,0,37860,0,0,3343,0,0,1,0,4,1,0,0,3
18,18322675,18471693,149018,71439,0,2055,75206,3343,3325,53,1,0,4,1,0,0,3
0,0,19170605,19170605,0,35504,0,0,3343,0,0,1,0,4,1,0,0,3
19,19172268,19342026,169758,91000,0,2035,76441,3343,3325,53,1,0,4,1,0,0,3
0,0,20040888,20040888,0,34369,0,0,3343,0,0,1,0,4,1,0,0,3
20,20042566,20305053,262487,181500,0,2017,78701,3343,3325,53,1,0,4,1,0,0,3
0,0,21004368,21004368,0,34819,0,0,3343,0,0,1,0,4,1,0,0,3
21,21006060,21128751,122691,46569,0,2026,73786,3343,3325,53,1,0,4,1,0,0,3
0,0,21832253,21832253,0,35318,0,0,3343,0,0,1,0,4,1,0,0,3
22,21833977,22022074,188097,112255,0,2038,73501,3343,3325,53,1,0,4,1,0,0,3
0,0,22728957,22728957,0,36285,0,0,3343,0,0,1,0,4,1,0,0,3
23,22730658,22924733,194075,112692,0,2035,79018,3343,3325,53,1,0,4,1,0,0,3
0,0,23624084,23624084,0,35091,0,0,3343,0,0,1,0,4,1,0,0,3
24,23643859,23783199,139340,60669,0,2032,76342,3343,3325,53,1,0,4,1,0,0,3
0,0,24480479,24480479,0,35114,0,0,3343,0,0,1,0,4,1,0,0,3
25,24482016,24664160,182144,72359,0,2048,107438,3343,3325,53,1,0,4,1,0,0,3
0,0,25362831,25362831,0,36575,0,0,3343,0,0,1,0,4,1,0,0,3
26,25364420,25712680,348260,252395,0,2080,93475,3343,3325,53,1,0,4,1,0,0,3
0,0,26414836,26414836,0,35366,0,0,3343,0,0,1,0,4,1,0,0,3
27,26416483,26565851,149368,73422,0,2138,73551,3343,3325,53,1,0,4,1,0,0,3
0,0,27264153,27264153,0,34787,0,0,3343,0,0,1,0,4,1,0,0,3
28,27265788,27412777,146989,72106,0,2132,72484,3343,3325,53,1,0,4,1,0,0,3
0,0,28109195,28109195,0,34013,0,0,3343,0,0,1,0,4,1,0,0,3
29,28110686,28365165,254479,172754,0,2056,79380,3343,3325,53,1,0,4,1,0,0,3
0,0,29068953,29068953,0,36765,0,0,3343,0,0,1,0,4,1,0,0,3
30,29070746,29218591,147845,69498,0,2048,76013,3343,3325,53,1,0,4,1,0,0,3
0,0,29916341,29916341,0,34774,0,0,3343,0,0,1,0,4,1,0,0,3
31,29917866,30064097,146231,62396,0,2202,81320,3343,3325,53,1,0,4,1,0,0,3
0,0,31786323,31786323,0,41032,0,0,3343,0,0,1,0,4,1,0,0,3
32,31787910,31921118,133208,57783,0,2046,73122,3343,3325,53,1,0,4,1,0,0,3
0,0,32617317,32617317,0,34722,0,0,3343,0,0,1,0,4,1,0,0,3
33,32618810,32808727,189917,104326,0,2060,83155,3343,3325,53,1,0,4,1,0,0,3
0,0,33503580,33503580,0,34885,0,0,3343,0,0,1,0,4,1,0,0,3
34,33505028,33693808,188780,95281,0,2144,91075,3343,3325,53,1,0,4,1,0,0,3
0,0,34398884,34398884,0,34744,0,0,3343,0,0,1,0,4,1,0,0,3
35,34400315,34581120,180805,94817,0,2091,83660,3343,3325,53,1,0,4,1,0,0,3
0,0,35412104,35412104,0,55569,0,0,3343,0,0,1,0,4,1,0,0,3
36,35415361,35602853,187492,96424,0,2076,88564,3343,3325,53,1,0,4,1,0,0,3
0,0,36320448,36320448,0,38044,0,0,3343,0,0,1,0,4,1,0,0,3
37,36322770,36536445,213675,88633,0,2074,122519,3343,3325,53,1,0,4,1,0,0,3
0,0,37371718,37371718,0,53493,0,0,3343,0,0,1,0,4,1,0,0,3
38,37375050,37521937,146887,55135,0,2094,89219,3343,3325,53,1,0,4,1,0,0,3
0,0,38343445,38343445,0,52940,0,0,3343,0,0,1,0,4,1,0,0,3
39,38346698,38538114,191416,103221,0,2118,85665,3343,3325,53,1,0,4,1,0,0,3
0,0,39360110,39360110,0,52779,0,0,3343,0,0,1,0,4,1,0,0,3
40,39363623,39561972,198349,113957,0,2098,81822,3343,3325,53,1,0,4,1,0,0,3
0,0,40365091,40365091,0,52281,0,0,3343,0,0,1,0,4,1,0,0,3
41,40368398,40505806,137408,53329,0,2083,81500,3343,3325,53,1,0,4,1,0,0,3
0,0,41220421,41220421,0,35614,0,0,3343,0,0,1,0,4,1,0,0,3
42,41222065,41419898,197833,46000,0,2049,149462,3343,3325,53,1,0,4,1,0,0,3
0,0,42134442,42134442,0,34922,0,0,3343,0,0,1,0,4,1,0,0,3
43,42136150,42247443,111293,44911,0,2047,64053,3343,3325,53,1,0,4,1,0,0,3
0,0,42950603,42950603,0,36846,0,0,3343,0,0,1,0,4,1,0,0,3
44,42952415,43382792,430377,362435,0,2031,65619,3343,3325,53,1,0,4,1,0,0,3
0,0,44078777,44078777,0,34738,0,0,3343,0,0,1,0,4,1,0,0,3
45,44080377,44267710,187333,121167,0,2058,63848,3343,3325,53,1,0,4,1,0,0,3
0,0,44962457,44962457,0,34661,0,0,3343,0,0,1,0,4,1,0,0,3
46,44964008,45211629,247621,177521,0,2045,67809,3343,3325,53,1,0,4,1,0,0,3
0,0,45907390,45907390,0,34305,0,0,3343,0,0,1,0,4,1,0,0,3
47,45908903,46045152,136249,70208,0,2006,63772,3343,3325,53,1,0,4,1,0,0,3
0,0,46752682,46752682,0,35595,0,0,3343,0,0,1,0,4,1,0,0,3
48,46754330,46946805,192475,123611,0,2032,66556,3343,3325,53,1,0,4,1,0,0,3
0,0,47659330,47659330,0,53659,0,0,3343,0,0,1,0,4,1,0,0,3
49,47661017,47784226,123209,45676,0,2072,75173,3343,3325,53,1,0,4,1,0,0,3
0,0,48479025,48479025,0,34275,0,0,3343,0,0,1,0,4,1,0,0,3
50,48480590,48593849,113259,44108,0,2039,66831,3343,3325,53,1,0,4,1,0,0,3
0,0,49300643,49300643,0,34591,0,0,3343,0,0,1,0,4,1,0,0,3
51,49302231,49617339,315108,110382,0,2038,202429,3343,3325,53,1,0,4,1,0,0,3
0,0,50367941,50367941,0,35435,0,0,3343,0,0,1,0,4,1,0,0,3
52,50369578,50484054,114476,44883,0,2080,67258,3343,3325,53,1,0,4,1,0,0,3
0,0,52182225,52182225,0,34407,0,0,3343,0,0,1,0,4,1,0,0,3
53,52183819,52375097,191278,122945,0,2026,66046,3343,3325,53,1,0,4,1,0,0,3
0,0,53071721,53071721,0,34612,0,0,3343,0,0,1,0,4,1,0,0,3
54,53073193,53186049,112856,44295,0,2042,66235,3343,3325,53,1,0,4,1,0,0,3
0,0,53883994,53883994,0,34298,0,0,3343,0,0,1,0,4,1,0,0,3
55,53885605,53997924,112319,44904,0,2024,65104,3343,3325,53,1,0,4,1,0,0,3
0,0,55695835,55695835,0,34472,0,0,3343,0,0,1,0,4,1,0,0,3
56,55697309,55865427,168118,100443,0,2045,65376,3343,3325,53,1,0,4,1,0,0,3
0,0,56559541,56559541,0,34205,0,0,3343,0,0,1,0,4,1,0,0,3
57,56561021,56728575,167554,44426,0,2073,120791,3343,3325,53,1,0,4,1,0,0,3
0,0,57433078,57433078,0,36430,0,0,3343,0,0,1,0,4,1,0,0,3
58,57434786,57553840,119054,45328,0,2044,71401,3343,3325,53,1,0,4,1,0,0,3
0,0,58271277,58271277,0,34780,0,0,3343,0,0,1,0,4,1,0,0,3
59,58272809,58384329,111520,44898,0,2024,64329,3343,3325,53,1,0,4,1,0,0,3
0,0,59082196,59082196,0,34178,0,0,3343,0,0,1,0,4,1,0,0,3
60,59083742,59287641,203899,135539,0,2034,66055,3343,3325,53,1,0,4,1,0,0,3
0,0,59983420,59983420,0,34276,0,0,3343,0,0,1,0,4,1,0,0,3
61,59984990,60212493,227503,159548,0,2006,65681,3343,3325,53,1,0,4,1,0,0,3
0,0,60908814,60908814,0,34318,0,0,3343,0,0,1,0,4,1,0,0,3
62,60910337,61116604,206267,136034,0,2021,67903,3343,3325,53,1,0,4,1,0,0,3
0,0,61832664,61832664,0,34913,0,0,3343,0,0,1,0,4,1,0,0,3
63,61834201,61957137,122936,56153,0,2021,64515,3343,3325,53,1,0,4,1,0,0,3
0,0,62666567,62666567,0,45682,0,0,3343,0,0,1,0,4,1,0,0,3
64,62668021,62910085,242064,172489,0,2041,67287,3343,3325,53,1,0,4,1,0,0,3
0,0,63605722,63605722,0,34570,0,0,3343,0,0,1,0,4,1,0,0,3
65,63607161,63772138,164977,93180,0,2031,69514,3343,3325,53,1,0,4,1,0,0,3
0,0,64482087,64482087,0,37016,0,0,3343,0,0,1,0,4,1,0,0,3
66,64483971,64675462,191491,72862,0,2046,116319,3343,3325,53,1,0,4,1,0,0,3
0,0,65560984,65560984,0,53239,0,0,3343,0,0,1,0,4,1,0,0,3
67,65564118,65802336,238218,142947,0,2081,92754,3343,3325,53,1,0,4,1,0,0,3
0,0,66737752,66737752,0,77484,0,0,3343,0,0,1,0,4,1,0,0,3
68,66744172,66905908,161736,69121,0,2083,90028,3343,3325,53,1,0,4,1,0,0,3
0,0,67687646,67687646,0,70610,0,0,3343,0,0,1,0,4,1,0,0,3
69,67690589,67865326,174737,88605,0,2051,83664,3343,3325,53,1,0,4,1,0,0,3
0,0,68607973,68607973,0,43651,0,0,3343,0,0,1,0,4,1,0,0,3
70,68610500,69106669,496169,132710,0,2090,360941,3343,3325,53,1,0,4,1,0,0,3
0,0,69948732,69948732,0,52337,0,0,3343,0,0,1,0,4,1,0,0,3
