seq,tx_ns,rx_ns,e2e_ns,secoc_auth_ns,secoc_verify_ns,cantp_ns,bus_ns,pdu_bytes,auth_bytes,fragments,signal_id,bus_id,asil,deadline_class,outcome,attack_kind,protected_mode
1,2698216,3145846,447630,365613,0,2308,79214,3327,3309,52,1,0,4,1,0,0,2
0,0,3875693,3875693,0,39144,0,0,3327,0,0,1,0,4,1,0,0,2
2,3877548,3996464,118916,51077,0,2012,65466,3327,3309,52,1,0,4,1,0,0,2
0,0,4703266,4703266,0,31808,0,0,3327,0,0,1,0,4,1,0,0,2
3,4704960,4826383,121423,54689,0,2072,64363,3327,3309,52,1,0,4,1,0,0,2
0,0,5654077,5654077,0,59452,0,0,3327,0,0,1,0,4,1,0,0,2
4,5658411,5868102,209691,90688,0,2385,116135,3327,3309,52,1,0,4,1,0,0,2
0,0,6627393,6627393,0,47635,0,0,3327,0,0,1,0,4,1,0,0,2
5,6630003,6951868,321865,226713,0,2433,92286,3327,3309,52,1,0,4,1,0,0,2
0,0,7690649,7690649,0,44003,0,0,3327,0,0,1,0,4,1,0,0,2
6,7692743,8125633,432890,339338,0,2463,90711,3327,3309,52,1,0,4,1,0,0,2
0,0,8867442,8867442,0,43620,0,0,3327,0,0,1,0,4,1,0,0,2
7,8869456,9163865,294409,194904,0,2452,96750,3327,3309,52,1,0,4,1,0,0,2
0,0,9924970,9924970,0,41468,0,0,3327,0,0,1,0,4,1,0,0,2
8,9928427,10132824,204397,118742,0,2042,83166,3327,3309,52,1,0,4,1,0,0,2
0,0,10847286,10847286,0,31657,0,0,3327,0,0,1,0,4,1,0,0,2
9,10848948,11088031,239083,158161,0,2147,78487,3327,3309,52,1,0,4,1,0,0,2
0,0,11789831,11789831,0,30675,0,0,3327,0,0,1,0,4,1,0,0,2
10,11791340,11932377,141037,60191,0,2040,78481,3327,3309,52,1,0,4,1,0,0,2
0,0,12668669,12668669,0,40483,0,0,3327,0,0,1,0,4,1,0,0,2
11,12672164,13050291,378127,293656,0,2062,81929,3327,3309,52,1,0,4,1,0,0,2
0,0,13843243,13843243,0,46035,0,0,3327,0,0,1,0,4,1,0,0,2
12,13847436,14044345,196909,115213,0,2075,79185,3327,3309,52,1,0,4,1,0,0,2
0,0,14773903,14773903,0,34867,0,0,3327,0,0,1,0,4,1,0,0,2
13,14776781,14932293,155512,65547,0,2183,87297,3327,3309,52,1,0,4,1,0,0,2
0,0,15698745,15698745,0,51829,0,0,3327,0,0,1,0,4,1,0,0,2
14,15702517,15850776,148259,64509,0,2026,81304,3327,3309,52,1,0,4,1,0,0,2
