seq,tx_ns,rx_ns,e2e_ns,secoc_auth_ns,secoc_verify_ns,cantp_ns,bus_ns,pdu_bytes,auth_bytes,fragments,signal_id,bus_id,asil,deadline_class,outcome,attack_kind,protected_mode
18446744073709551615,773655,1851264,1077609,1076226,0,105,623,34,16,1,4,0,3,2,0,0,1
0,0,2611982,2611982,0,6510,0,0,34,0,0,4,0,3,2,0,0,1
0,2613847,2619204,5357,2107,0,86,2745,34,16,1,4,0,3,2,0,0,1
0,0,3338979,3338979,0,0,0,0,34,0,0,4,0,3,2,3,0,1
0,3340563,3346245,5682,3618,0,84,1743,34,16,1,4,0,3,2,0,0,1
0,0,4068954,4068954,0,0,0,0,34,0,0,4,0,3,2,3,0,1
0,4070617,4077470,6853,4202,0,83,2308,34,16,1,4,0,3,2,0,0,1
0,0,4766130,4766130,0,0,0,0,34,0,0,4,0,3,2,3,0,1
0,4767762,4774447,6685,4184,0,98,2101,34,16,1,4,0,3,2,0,0,1
0,0,5495407,5495407,0,0,0,0,34,0,0,4,0,3,2,3,0,1
0,5496920,5502533,5613,3333,0,87,1943,34,16,1,4,0,3,2,0,0,1
0,0,6218112,6218112,0,0,0,0,34,0,0,4,0,3,2,3,0,1
0,6219650,6225090,5440,3457,0,91,1607,34,16,1,4,0,3,2,0,0,1
0,0,6940848,6940848,0,0,0,0,34,0,0,4,0,3,2,3,0,1
0,6942317,6947606,5289,3234,0,98,1717,34,16,1,4,0,3,2,0,0,1
0,0,7665597,7665597,0,0,0,0,34,0,0,4,0,3,2,3,0,1
0,7667359,7673178,5819,3608,0,96,1865,34,16,1,4,0,3,2,0,0,1
0,0,8403756,8403756,0,0,0,0,34,0,0,4,0,3,2,3,0,1
