seq,tx_ns,rx_ns,e2e_ns,secoc_auth_ns,secoc_verify_ns,cantp_ns,bus_ns,pdu_bytes,auth_bytes,fragments,signal_id,bus_id,asil,deadline_class,outcome,attack_kind,protected_mode
18446744073709551615,2444890,2672872,227982,131361,0,2060,94202,3327,3309,52,4,0,3,2,0,0,2
0,0,3420384,3420384,0,33795,0,0,3327,0,0,4,0,3,2,0,0,2
0,3422264,3577712,155448,78381,0,2063,74599,3327,3309,52,4,0,3,2,0,0,2
0,0,4277947,4277947,0,0,0,0,3327,0,0,4,0,3,2,3,0,2
0,4279417,4412906,133489,59162,0,2074,71928,3327,3309,52,4,0,3,2,0,0,2
0,0,5112012,5112012,0,0,0,0,3327,0,0,4,0,3,2,3,0,2
0,5113458,5263804,150346,71006,0,2049,77001,3327,3309,52,4,0,3,2,0,0,2
0,0,5959526,5959526,0,0,0,0,3327,0,0,4,0,3,2,3,0,2
0,5961187,6133537,172350,95461,0,2019,74594,3327,3309,52,4,0,3,2,0,0,2
0,0,6839777,6839777,0,0,0,0,3327,0,0,4,0,3,2,3,0,2
0,6841374,6989309,147935,70628,0,2053,74981,3327,3309,52,4,0,3,2,0,0,2
0,0,7689564,7689564,0,0,0,0,3327,0,0,4,0,3,2,3,0,2
0,7691115,7858465,167350,84771,0,2026,80253,3327,3309,52,4,0,3,2,0,0,2
0,0,8551468,8551468,0,0,0,0,3327,0,0,4,0,3,2,3,0,2
0,8553064,8783703,230639,156057,0,2033,72273,3327,3309,52,4,0,3,2,0,0,2
0,0,9480939,9480939,0,0,0,0,3327,0,0,4,0,3,2,3,0,2
0,9482374,9671738,189364,72782,0,14483,101813,3327,3309,52,4,0,3,2,0,0,2
0,0,10421945,10421945,0,0,0,0,3327,0,0,4,0,3,2,3,0,2
