seq,tx_ns,rx_ns,e2e_ns,secoc_auth_ns,secoc_verify_ns,cantp_ns,bus_ns,pdu_bytes,auth_bytes,fragments,signal_id,bus_id,asil,deadline_class,outcome,attack_kind,protected_mode
1,584441,1652332,1067891,1066088,0,104,1111,34,16,1,4,0,3,2,0,0,1
0,0,2414132,2414132,0,5600,0,0,34,0,0,4,0,3,2,0,0,1
1,2416001,2420861,4860,1948,0,86,2422,34,16,1,4,0,3,2,0,0,1
0,0,3142961,3142961,0,0,0,0,34,0,0,4,0,3,2,3,0,1
2,3144799,3153375,8576,5540,0,104,2549,34,16,1,4,0,3,2,0,0,1
0,0,3897680,3897680,0,22238,0,0,34,0,0,4,0,3,2,0,0,1
2,3899475,3904507,5032,2431,0,74,2301,34,16,1,4,0,3,2,0,0,1
0,0,4628357,4628357,0,0,0,0,34,0,0,4,0,3,2,3,0,1
2,4630059,4637011,6952,4254,0,88,2348,34,16,1,4,0,3,2,0,0,1
0,0,5359559,5359559,0,0,0,0,34,0,0,4,0,3,2,3,0,1
1,5361354,5373017,11663,8484,0,91,2757,34,16,1,4,0,3,2,0,0,1
0,0,6095604,6095604,0,0,0,0,34,0,0,4,0,3,2,3,0,1
3,6097301,6104235,6934,4342,0,72,2283,34,16,1,4,0,3,2,0,0,1
0,0,6838131,6838131,0,4622,0,0,34,0,0,4,0,3,2,0,0,1
3,6839797,6844282,4485,1763,0,87,2392,34,16,1,4,0,3,2,0,0,1
0,0,7569476,7569476,0,0,0,0,34,0,0,4,0,3,2,3,0,1
3,7571133,7577937,6804,4381,0,74,2070,34,16,1,4,0,3,2,0,0,1
0,0,8305073,8305073,0,0,0,0,34,0,0,4,0,3,2,3,0,1
2,8306751,8318092,11341,4299,0,90,6665,34,16,1,4,0,3,2,0,0,1
0,0,9042430,9042430,0,0,0,0,34,0,0,4,0,3,2,3,0,1
4,9044036,9050783,6747,4291,0,79,2110,34,16,1,4,0,3,2,0,0,1
0,0,9778633,9778633,0,4408,0,0,34,0,0,4,0,3,2,0,0,1
4,9780263,9784602,4339,1808,0,91,2169,34,16,1,4,0,3,2,0,0,1
0,0,10509839,10509839,0,0,0,0,34,0,0,4,0,3,2,3,0,1
4,10511463,10518421,6958,4324,0,114,2268,34,16,1,4,0,3,2,0,0,1
0,0,11242057,11242057,0,0,0,0,34,0,0,4,0,3,2,3,0,1
3,11243683,11251470,7787,4291,0,90,3126,34,16,1,4,0,3,2,0,0,1
0,0,11972417,11972417,0,0,0,0,34,0,0,4,0,3,2,3,0,1
5,11974159,11981460,7301,4423,0,111,2513,34,16,1,4,0,3,2,0,0,1
0,0,12708011,12708011,0,4491,0,0,34,0,0,4,0,3,2,0,0,1
5,12709526,12713860,4334,1748,0,90,2240,34,16,1,4,0,3,2,0,0,1
0,0,13433004,13433004,0,0,0,0,34,0,0,4,0,3,2,3,0,1
5,13434666,13441605,6939,4385,0,96,2188,34,16,1,4,0,3,2,0,0,1
0,0,14166792,14166792,0,0,0,0,34,0,0,4,0,3,2,3,0,1
4,14168416,14175116,6700,4162,0,81,2168,34,16,1,4,0,3,2,0,0,1
0,0,14910099,14910099,0,0,0,0,34,0,0,4,0,3,2,3,0,1
6,14911734,14918370,6636,4199,0,116,2080,34,16,1,4,0,3,2,0,0,1
0,0,15646804,15646804,0,4337,0,0,34,0,0,4,0,3,2,0,0,1
6,15648304,15655519,7215,1755,0,107,5091,34,16,1,4,0,3,2,0,0,1
0,0,16375627,16375627,0,0,0,0,34,0,0,4,0,3,2,3,0,1
6,16377239,16384189,6950,4350,0,106,2208,34,16,1,4,0,3,2,0,0,1
0,0,17107327,17107327,0,0,0,0,34,0,0,4,0,3,2,3,0,1
5,17108899,17115652,6753,4098,0,109,2275,34,16,1,4,0,3,2,0,0,1
0,0,17851792,17851792,0,0,0,0,34,0,0,4,0,3,2,3,0,1
7,17853378,17860329,6951,4466,0,117,2098,34,16,1,4,0,3,2,0,0,1
0,0,18608465,18608465,0,4359,0,0,34,0,0,4,0,3,2,0,0,1
7,18610121,18617823,7702,1698,0,96,5629,34,16,1,4,0,3,2,0,0,1
