seq,tx_ns,rx_ns,e2e_ns,secoc_auth_ns,secoc_verify_ns,cantp_ns,bus_ns,pdu_bytes,auth_bytes,fragments,signal_id,bus_id,asil,deadline_class,outcome,attack_kind,protected_mode
1,2270550,2547303,276753,95267,0,2066,179038,3327,3309,52,4,0,3,2,0,0,2
0,0,3309078,3309078,0,33537,0,0,3327,0,0,4,0,3,2,0,0,2
1,3310958,3725290,414332,337075,0,2024,74862,3327,3309,52,4,0,3,2,0,0,2
0,0,4423202,4423202,0,0,0,0,3327,0,0,4,0,3,2,3,0,2
2,4424692,4543161,118469,44417,0,2031,71663,3327,3309,52,4,0,3,2,0,0,2
0,0,5271602,5271602,0,30881,0,0,3327,0,0,4,0,3,2,0,0,2
2,5273124,5530855,257731,179879,0,2016,75561,3327,3309,52,4,0,3,2,0,0,2
0,0,6228113,6228113,0,0,0,0,3327,0,0,4,0,3,2,3,0,2
2,6229666,6435585,205919,97365,0,2057,106199,3327,3309,52,4,0,3,2,0,0,2
0,0,7190723,7190723,0,0,0,0,3327,0,0,4,0,3,2,3,0,2
1,7192632,7345755,153123,71472,0,2025,79371,3327,3309,52,4,0,3,2,0,0,2
0,0,8039996,8039996,0,0,0,0,3327,0,0,4,0,3,2,3,0,2
3,8041497,8275447,233950,155765,0,2075,75795,3327,3309,52,4,0,3,2,0,0,2
0,0,9022903,9022903,0,31374,0,0,3327,0,0,4,0,3,2,0,0,2
3,9024401,9139182,114781,42822,0,2037,69642,3327,3309,52,4,0,3,2,0,0,2
0,0,9838445,9838445,0,0,0,0,3327,0,0,4,0,3,2,3,0,2
3,9839910,10030118,190208,114239,0,2054,73588,3327,3309,52,4,0,3,2,0,0,2
0,0,10725437,10725437,0,0,0,0,3327,0,0,4,0,3,2,3,0,2
2,10726979,10924153,197174,117323,0,2063,77479,3327,3309,52,4,0,3,2,0,0,2
0,0,11616682,11616682,0,0,0,0,3327,0,0,4,0,3,2,3,0,2
4,11618209,11764174,145965,72551,0,2085,71041,3327,3309,52,4,0,3,2,0,0,2
0,0,12493415,12493415,0,31118,0,0,3327,0,0,4,0,3,2,0,0,2
4,12494842,12852867,358025,283331,0,2040,72397,3327,3309,52,4,0,3,2,0,0,2
0,0,13549799,13549799,0,0,0,0,3327,0,0,4,0,3,2,3,0,2
4,13551102,13672319,121217,43798,0,2053,70305,3327,3309,52,4,0,3,2,0,0,2
0,0,14418124,14418124,0,0,0,0,3327,0,0,4,0,3,2,3,0,2
3,14419590,14540757,121167,43929,0,2069,74890,3327,3309,52,4,0,3,2,0,0,2
0,0,15234654,15234654,0,0,0,0,3327,0,0,4,0,3,2,3,0,2
5,15236082,15469698,233616,159095,0,2060,72176,3327,3309,52,4,0,3,2,0,0,2
0,0,16216982,16216982,0,38494,0,0,3327,0,0,4,0,3,2,0,0,2
5,16218676,16392026,173350,83497,0,2083,87481,3327,3309,52,4,0,3,2,0,0,2
0,0,17088515,17088515,0,0,0,0,3327,0,0,4,0,3,2,3,0,2
5,17090074,17224177,134103,57123,0,2003,74704,3327,3309,52,4,0,3,2,0,0,2
0,0,17919774,17919774,0,0,0,0,3327,0,0,4,0,3,2,3,0,2
4,17921268,18075074,153806,82054,0,2038,69426,3327,3309,52,4,0,3,2,0,0,2
0,0,18773822,18773822,0,0,0,0,3327,0,0,4,0,3,2,3,0,2
6,18775338,18895564,120226,45056,0,2028,72845,3327,3309,52,4,0,3,2,0,0,2
0,0,19623295,19623295,0,30832,0,0,3327,0,0,4,0,3,2,0,0,2
6,19624766,19759563,134797,56688,0,2057,75789,3327,3309,52,4,0,3,2,0,0,2
0,0,20450256,20450256,0,0,0,0,3327,0,0,4,0,3,2,3,0,2
6,20451675,20642519,190844,117777,0,2058,70738,3327,3309,52,4,0,3,2,0,0,2
0,0,21499565,21499565,0,0,0,0,3327,0,0,4,0,3,2,3,0,2
5,21503388,21678395,175007,92891,0,2035,79601,3327,3309,52,4,0,3,2,0,0,2
0,0,22472794,22472794,0,0,0,0,3327,0,0,4,0,3,2,3,0,2
7,22476594,22761872,285278,204713,0,2104,78017,3327,3309,52,4,0,3,2,0,0,2
0,0,23503422,23503422,0,36092,0,0,3327,0,0,4,0,3,2,0,0,2
7,23505118,23697466,192348,113357,0,1979,76669,3327,3309,52,4,0,3,2,0,0,2
0,0,24402592,24402592,0,0,0,0,3327,0,0,4,0,3,2,3,0,2
7,24404247,24525126,120879,45078,0,6151,69393,3327,3309,52,4,0,3,2,0,0,2
0,0,25219934,25219934,0,0,0,0,3327,0,0,4,0,3,2,3,0,2
6,25221294,25328104,106810,45131,0,1995,59408,3327,3309,52,4,0,3,2,0,0,2
0,0,26035940,26035940,0,0,0,0,3327,0,0,4,0,3,2,3,0,2
8,26037329,26173380,136051,69854,0,2045,63860,3327,3309,52,4,0,3,2,0,0,2
0,0,26914647,26914647,0,31154,0,0,3327,0,0,4,0,3,2,0,0,2
8,26916189,27156377,240188,169645,0,2142,68105,3327,3309,52,4,0,3,2,0,0,2
0,0,27864469,27864469,0,0,0,0,3327,0,0,4,0,3,2,3,0,2
8,27866078,28125331,259253,184881,0,2036,72052,3327,3309,52,4,0,3,2,0,0,2
