seq,tx_ns,rx_ns,e2e_ns,secoc_auth_ns,secoc_verify_ns,cantp_ns,bus_ns,pdu_bytes,auth_bytes,fragments,signal_id,bus_id,asil,deadline_class,outcome,attack_kind,protected_mode
18446744073709551608,2509099,2685099,176000,108708,0,2045,64719,3327,3309,52,4,0,3,2,0,0,2
0,0,3461513,3461513,0,41870,0,0,3327,0,0,4,0,3,2,0,0,2
18446744073709551609,3463429,3660080,196651,122593,0,2062,71607,3327,3309,52,4,0,3,2,0,0,2
0,0,4397608,4397608,0,31325,0,0,3327,0,0,4,0,3,2,0,0,2
18446744073709551610,4399125,4511151,112026,43492,0,1988,66281,3327,3309,52,4,0,3,2,0,0,2
0,0,5257392,5257392,0,35433,0,0,3327,0,0,4,0,3,2,0,0,2
18446744073709551611,5259027,5451502,192475,120157,0,2023,70036,3327,3309,52,4,0,3,2,0,0,2
0,0,6188273,6188273,0,31564,0,0,3327,0,0,4,0,3,2,0,0,2
18446744073709551612,6189664,6323349,133685,48105,0,2371,82871,3327,3309,52,4,0,3,2,0,0,2
0,0,7119265,7119265,0,53158,0,0,3327,0,0,4,0,3,2,0,0,2
18446744073709551613,7123109,7295872,172763,99530,0,2053,70690,3327,3309,52,4,0,3,2,0,0,2
0,0,8138824,8138824,0,52441,0,0,3327,0,0,4,0,3,2,0,0,2
18446744073709551614,8142473,8288601,146128,58068,0,2053,85547,3327,3309,52,4,0,3,2,0,0,2
0,0,9042258,9042258,0,32072,0,0,3327,0,0,4,0,3,2,0,0,2
18446744073709551615,9043851,9237290,193439,116140,0,2028,74941,3327,3309,52,4,0,3,2,0,0,2
0,0,10029809,10029809,0,83544,0,0,3327,0,0,4,0,3,2,0,0,2
0,10045414,10176085,130671,55132,0,2034,73129,3327,3309,52,4,0,3,2,0,0,2
0,0,10884375,10884375,0,0,0,0,3327,0,0,4,0,3,2,3,0,2
0,10886070,11249463,363393,278737,0,2064,82271,3327,3309,52,4,0,3,2,0,0,2
0,0,11942964,11942964,0,0,0,0,3327,0,0,4,0,3,2,3,0,2
0,11944481,12164227,219746,143581,0,1993,73887,3327,3309,52,4,0,3,2,0,0,2
0,0,12864496,12864496,0,0,0,0,3327,0,0,4,0,3,2,3,0,2
0,12866103,13032196,166093,74178,0,2004,89630,3327,3309,52,4,0,3,2,0,0,2
0,0,13789375,13789375,0,0,0,0,3327,0,0,4,0,3,2,3,0,2
0,13790685,13945796,155111,81068,0,2045,71697,3327,3309,52,4,0,3,2,0,0,2
0,0,14675189,14675189,0,0,0,0,3327,0,0,4,0,3,2,3,0,2
0,14676874,14799944,123070,44939,0,2036,75844,3327,3309,52,4,0,3,2,0,0,2
0,0,15510370,15510370,0,0,0,0,3327,0,0,4,0,3,2,3,0,2
0,15512363,15725838,213475,133831,0,2036,77286,3327,3309,52,4,0,3,2,0,0,2
0,0,16497581,16497581,0,0,0,0,3327,0,0,4,0,3,2,3,0,2
0,16501381,16779531,278150,192736,0,2058,82908,3327,3309,52,4,0,3,2,0,0,2
0,0,17499804,17499804,0,0,0,0,3327,0,0,4,0,3,2,3,0,2
1,17598188,17740246,142058,52053,0,2023,87545,3327,3309,52,4,0,3,2,0,0,2
0,0,18505771,18505771,0,40513,0,0,3327,0,0,4,0,3,2,0,0,2
2,18508594,18643967,135373,50418,0,2059,82425,3327,3309,52,4,0,3,2,0,0,2
0,0,19369850,19369850,0,31578,0,0,3327,0,0,4,0,3,2,0,0,2
3,19371432,19513348,141916,66010,0,2039,73563,3327,3309,52,4,0,3,2,0,0,2
0,0,20237714,20237714,0,30726,0,0,3327,0,0,4,0,3,2,0,0,2
4,20239116,20409346,170230,90476,0,2034,77359,3327,3309,52,4,0,3,2,0,0,2
0,0,21141864,21141864,0,31378,0,0,3327,0,0,4,0,3,2,0,0,2
5,21143364,21280431,137067,56759,0,2045,77988,3327,3309,52,4,0,3,2,0,0,2
0,0,22031013,22031013,0,31499,0,0,3327,0,0,4,0,3,2,0,0,2
6,22032507,22200783,168276,87171,0,2067,78715,3327,3309,52,4,0,3,2,0,0,2
0,0,22938263,22938263,0,44266,0,0,3327,0,0,4,0,3,2,0,0,2
7,22939731,23135191,195460,100807,0,2037,92252,3327,3309,52,4,0,3,2,0,0,2
0,0,23927904,23927904,0,32014,0,0,3327,0,0,4,0,3,2,0,0,2
8,23929481,24072206,142725,74388,0,2046,66000,3327,3309,52,4,0,3,2,0,0,2
0,0,24846874,24846874,0,39276,0,0,3327,0,0,4,0,3,2,0,0,2
9,24850096,25052058,201962,124728,0,2043,74649,3327,3309,52,4,0,3,2,0,0,2
0,0,25797602,25797602,0,31682,0,0,3327,0,0,4,0,3,2,0,0,2
10,25799203,26047105,247902,114688,0,1998,130914,3327,3309,52,4,0,3,2,0,0,2
0,0,26879767,26879767,0,32203,0,0,3327,0,0,4,0,3,2,0,0,2
11,26881558,27212648,331090,234296,0,2248,94220,3327,3309,52,4,0,3,2,0,0,2
0,0,27983116,27983116,0,57272,0,0,3327,0,0,4,0,3,2,0,0,2
12,27984712,28179009,194297,110480,0,2059,81430,3327,3309,52,4,0,3,2,0,0,2
0,0,28913407,28913407,0,31861,0,0,3327,0,0,4,0,3,2,0,0,2
13,28914949,29106598,191649,112247,0,2062,77004,3327,3309,52,4,0,3,2,0,0,2
0,0,29857255,29857255,0,31673,0,0,3327,0,0,4,0,3,2,0,0,2
14,29858712,30044105,185393,43653,0,2120,139338,3327,3309,52,4,0,3,2,0,0,2
0,0,30774633,30774633,0,31436,0,0,3327,0,0,4,0,3,2,0,0,2
15,30775911,30918458,142547,67909,0,2065,72259,3327,3309,52,4,0,3,2,0,0,2
0,0,31648423,31648423,0,30672,0,0,3327,0,0,4,0,3,2,0,0,2
16,31649785,31766411,116626,42450,0,2071,71840,3327,3309,52,4,0,3,2,0,0,2
0,0,32509564,32509564,0,31278,0,0,3327,0,0,4,0,3,2,0,0,2
