seq,tx_ns,rx_ns,e2e_ns,secoc_auth_ns,secoc_verify_ns,cantp_ns,bus_ns,pdu_bytes,auth_bytes,fragments,signal_id,bus_id,asil,deadline_class,outcome,attack_kind,protected_mode
1,610952,611820,868,36,0,107,363,18,0,1,4,0,3,2,0,0,0
0,0,1322362,1322362,0,74,0,0,18,0,0,4,0,3,2,0,0,0
2,1326753,1334031,7278,42,0,90,6760,18,0,1,4,0,3,2,0,0,0
0,0,2118018,2118018,0,66,0,0,18,0,0,4,0,3,2,0,0,0
3,2121197,2127266,6069,43,0,93,5572,18,0,1,4,0,3,2,0,0,0
0,0,2832592,2832592,0,122,0,0,18,0,0,4,0,3,2,0,0,0
4,2834883,2839117,4234,46,0,106,3821,18,0,1,4,0,3,2,0,0,0
0,0,3621727,3621727,0,48,0,0,18,0,0,4,0,3,2,0,0,0
5,3626125,3633884,7759,35,0,95,7240,18,0,1,4,0,3,2,0,0,0
0,0,4415443,4415443,0,48,0,0,18,0,0,4,0,3,2,0,0,0
6,4419522,4426992,7470,44,0,108,6928,18,0,1,4,0,3,2,0,0,0
0,0,5158125,5158125,0,81,0,0,18,0,0,4,0,3,2,0,0,0
7,5160501,5165447,4946,42,0,106,4484,18,0,1,4,0,3,2,0,0,0
0,0,5918286,5918286,0,77,0,0,18,0,0,4,0,3,2,0,0,0
8,5922331,5929545,7214,42,0,95,6723,18,0,1,4,0,3,2,0,0,0
0,0,6734970,6734970,0,48,0,0,18,0,0,4,0,3,2,0,0,0
9,6738933,6746107,7174,35,0,97,6641,18,0,1,4,0,3,2,0,0,0
0,0,7445279,7445279,0,45,0,0,18,0,0,4,0,3,2,0,0,0
10,7447159,7468966,21807,55,0,99,21385,18,0,1,4,0,3,2,0,0,0
0,0,8157335,8157335,0,45,0,0,18,0,0,4,0,3,2,0,0,0
11,8158942,8161048,2106,45,0,96,1715,18,0,1,4,0,3,2,0,0,0
0,0,8847767,8847767,0,52,0,0,18,0,0,4,0,3,2,0,0,0
12,8849311,8851234,1923,44,0,92,1540,18,0,1,4,0,3,2,0,0,0
0,0,9506388,9506388,0,77,0,0,18,0,0,4,0,3,2,0,0,0
13,9508042,9509957,1915,45,0,95,1519,18,0,1,4,0,3,2,0,0,0
0,0,10198592,10198592,0,56,0,0,18,0,0,4,0,3,2,0,0,0
14,10200503,10204302,3799,59,0,96,3397,18,0,1,4,0,3,2,0,0,0
0,0,10897440,10897440,0,52,0,0,18,0,0,4,0,3,2,0,0,0
15,10899570,10902076,2506,43,0,91,2119,18,0,1,4,0,3,2,0,0,0
0,0,11599765,11599765,0,52,0,0,18,0,0,4,0,3,2,0,0,0
16,11601600,11607217,5617,42,0,99,5238,18,0,1,4,0,3,2,0,0,0
0,0,12302324,12302324,0,52,0,0,18,0,0,4,0,3,2,0,0,0
17,12304230,12306546,2316,43,0,94,1936,18,0,1,4,0,3,2,0,0,0
0,0,12997439,12997439,0,54,0,0,18,0,0,4,0,3,2,0,0,0
18,12999292,13004464,5172,42,0,95,1982,18,0,1,4,0,3,2,0,0,0
0,0,13704244,13704244,0,55,0,0,18,0,0,4,0,3,2,0,0,0
19,13706068,13708374,2306,42,0,91,1917,18,0,1,4,0,3,2,0,0,0
0,0,14400859,14400859,0,55,0,0,18,0,0,4,0,3,2,0,0,0
20,14402705,14405093,2388,50,0,92,1978,18,0,1,4,0,3,2,0,0,0
0,0,15109869,15109869,0,54,0,0,18,0,0,4,0,3,2,0,0,0
21,15111772,15114071,2299,42,0,97,1916,18,0,1,4,0,3,2,0,0,0
0,0,15814037,15814037,0,52,0,0,18,0,0,4,0,3,2,0,0,0
22,15815900,15818231,2331,43,0,90,1939,18,0,1,4,0,3,2,0,0,0
0,0,16515906,16515906,0,57,0,0,18,0,0,4,0,3,2,0,0,0
23,16517822,16520199,2377,44,0,92,2015,18,0,1,4,0,3,2,0,0,0
0,0,17219539,17219539,0,57,0,0,18,0,0,4,0,3,2,0,0,0
24,17221417,17227076,5659,45,0,95,5284,18,0,1,4,0,3,2,0,0,0
0,0,17924397,17924397,0,55,0,0,18,0,0,4,0,3,2,0,0,0
25,17926278,17932972,6694,43,0,94,6302,18,0,1,4,0,3,2,0,0,0
0,0,18639164,18639164,0,53,0,0,18,0,0,4,0,3,2,0,0,0
26,18640994,18643448,2454,50,0,94,2066,18,0,1,4,0,3,2,0,0,0
0,0,19345377,19345377,0,53,0,0,18,0,0,4,0,3,2,0,0,0
27,19347218,19349535,2317,42,0,96,1906,18,0,1,4,0,3,2,0,0,0
0,0,20068815,20068815,0,56,0,0,18,0,0,4,0,3,2,0,0,0
28,20070811,20073322,2511,42,0,96,2131,18,0,1,4,0,3,2,0,0,0
0,0,20775051,20775051,0,52,0,0,18,0,0,4,0,3,2,0,0,0
29,20776874,20779215,2341,52,0,94,1927,18,0,1,4,0,3,2,0,0,0
0,0,21486499,21486499,0,53,0,0,18,0,0,4,0,3,2,0,0,0
30,21488385,21490866,2481,51,0,96,2090,18,0,1,4,0,3,2,0,0,0
0,0,22192209,22192209,0,52,0,0,18,0,0,4,0,3,2,0,0,0
31,22194118,22196453,2335,50,0,93,1947,18,0,1,4,0,3,2,0,0,0
0,0,22890801,22890801,0,54,0,0,18,0,0,4,0,3,2,0,0,0
32,22892666,22895231,2565,52,0,92,2155,18,0,1,4,0,3,2,0,0,0
0,0,23599149,23599149,0,53,0,0,18,0,0,4,0,3,2,0,0,0
33,23601017,23603633,2616,52,0,96,2233,18,0,1,4,0,3,2,0,0,0
0,0,24302357,24302357,0,57,0,0,18,0,0,4,0,3,2,0,0,0
34,24304240,24306769,2529,52,0,107,2108,18,0,1,4,0,3,2,0,0,0
0,0,25004102,25004102,0,54,0,0,18,0,0,4,0,3,2,0,0,0
35,25008890,25011453,2563,43,0,133,2106,18,0,1,4,0,3,2,0,0,0
0,0,25711572,25711572,0,56,0,0,18,0,0,4,0,3,2,0,0,0
36,25713518,25716034,2516,51,0,100,2114,18,0,1,4,0,3,2,0,0,0
0,0,26412868,26412868,0,52,0,0,18,0,0,4,0,3,2,0,0,0
37,26414764,26417115,2351,51,0,95,1941,18,0,1,4,0,3,2,0,0,0
0,0,27114642,27114642,0,53,0,0,18,0,0,4,0,3,2,0,0,0
38,27116476,27119127,2651,51,0,91,2266,18,0,1,4,0,3,2,0,0,0
0,0,27816701,27816701,0,53,0,0,18,0,0,4,0,3,2,0,0,0
39,27821601,27824186,2585,52,0,94,2172,18,0,1,4,0,3,2,0,0,0
0,0,28527799,28527799,0,53,0,0,18,0,0,4,0,3,2,0,0,0
40,28529816,28534830,5014,44,0,94,4647,18,0,1,4,0,3,2,0,0,0
0,0,29234641,29234641,0,54,0,0,18,0,0,4,0,3,2,0,0,0
41,29236590,29239005,2415,43,0,96,2008,18,0,1,4,0,3,2,0,0,0
0,0,29940947,29940947,0,56,0,0,18,0,0,4,0,3,2,0,0,0
42,29942801,29945308,2507,42,0,93,2129,18,0,1,4,0,3,2,0,0,0
0,0,30649235,30649235,0,55,0,0,18,0,0,4,0,3,2,0,0,0
43,30654119,30656641,2522,45,0,96,2133,18,0,1,4,0,3,2,0,0,0
0,0,31355797,31355797,0,57,0,0,18,0,0,4,0,3,2,0,0,0
44,31357688,31360023,2335,36,0,96,1936,18,0,1,4,0,3,2,0,0,0
0,0,32060210,32060210,0,56,0,0,18,0,0,4,0,3,2,0,0,0
45,32062180,32064458,2278,43,0,95,1872,18,0,1,4,0,3,2,0,0,0
0,0,32766350,32766350,0,56,0,0,18,0,0,4,0,3,2,0,0,0
46,32768308,32773945,5637,44,0,2770,2580,18,0,1,4,0,3,2,0,0,0
