scenario,attacks_injected,attacks_detected,attacks_delivered,detection_rate_pct
attacks_aggregate_hmac,1397,1197,203,85.50
attacks_aggregate_hybrid,63798,1397,3,99.79
attacks_aggregate_pqc,62599,1397,3,99.79
attacks_dos_flood_hmac,200,0,200,0.00
attacks_dos_flood_hybrid,10600,0,200,0.00
attacks_dos_flood_pqc,10400,0,200,0.00
attacks_downgrade_hmac_hmac,200,0,200,0.00
attacks_downgrade_hmac_hybrid,10600,200,0,100.00
attacks_downgrade_hmac_pqc,10400,200,0,100.00
attacks_freshness_rollback_hmac,200,200,0,100.00
attacks_freshness_rollback_hybrid,10600,200,0,100.00
attacks_freshness_rollback_pqc,10400,200,0,100.00
attacks_harvest_now_hmac,200,0,200,0.00
attacks_harvest_now_hybrid,10600,0,200,0.00
attacks_harvest_now_pqc,10400,0,200,0.00
attacks_mitm_key_confuse_hmac,200,200,0,100.00
attacks_mitm_key_confuse_hybrid,10600,200,0,100.00
attacks_mitm_key_confuse_pqc,10400,200,0,100.00
attacks_replay_hmac,197,197,3,98.50
attacks_replay_hybrid,200,197,3,98.50
attacks_replay_pqc,197,197,3,98.50
attacks_sig_fuzz_hmac,200,200,0,100.00
attacks_sig_fuzz_hybrid,10600,200,0,100.00
attacks_sig_fuzz_pqc,10400,200,0,100.00
attacks_tamper_auth_hmac,200,200,0,100.00
attacks_tamper_auth_hybrid,10600,200,0,100.00
attacks_tamper_auth_pqc,10400,200,0,100.00
attacks_tamper_payload_hmac,200,200,0,100.00
attacks_tamper_payload_hybrid,10600,200,0,100.00
attacks_tamper_payload_pqc,10400,200,0,100.00
attacks_timing_probe_hmac,200,0,200,0.00
attacks_timing_probe_hybrid,10600,0,200,0.00
attacks_timing_probe_pqc,10400,0,200,0.00
baseline_hmac_r1,0,0,0,0.00
baseline_hybrid_r1,0,0,0,0.00
baseline_pqc_r1,0,0,0,0.00
bus_failure_aggregate,0,0,0,0.00
bus_failure_clean,0,0,0,0.00
bus_failure_heavy,0,0,0,0.00
bus_failure_noisy,0,0,0,0.00
deadline_relaxed,0,0,0,0.00
deadline_tight,0,0,0,0.00
flexray_hmac_r1,0,0,0,0.00
flexray_hybrid_r1,0,0,0,0.00
flexray_pqc_r1,0,0,0,0.00
freshness_overflow_hmac_r1,8,8,0,100.00
freshness_overflow_pqc_r1,8,8,0,100.00
keymismatch_aggregate,200,200,0,100.00
keymismatch_mismatch,200,200,0,100.00
keymismatch_shared,0,0,0,0.00
mixed_bus_can,0,0,0,0.00
mixed_bus_eth,0,0,0,0.00
multi_ecu_aggregate,0,0,0,0.00
multi_ecu_rx0,0,0,0,0.00
multi_ecu_rx1,0,0,0,0.00
multi_ecu_rx2,0,0,0,0.00
multi_ecu_tx,0,0,0,0.00
persistence_aggregate,200,100,100,50.00
persistence_no_nvm,100,0,100,0.00
persistence_with_nvm,100,100,0,100.00
rekey_r1,0,0,0,0.00
replay_boundary_hmac_r1,47,47,0,100.00
replay_boundary_pqc_r1,47,47,0,100.00
rollover_hmac_r1,8,8,0,100.00
rollover_pqc_r1,8,8,0,100.00
tput_hmac_canfd_r1,0,0,0,0.00
tput_pqc_eth1000_r1,0,0,0,0.00
tput_pqc_eth100_r1,0,0,0,0.00
verify_disabled_r1,50,0,50,0.00
