scenario,pdu_mean_bytes,pdu_p95_bytes,pdu_max_bytes,fragments_mean,fragments_max
attacks_aggregate_hmac,34.0,34,34,1.00,1
attacks_aggregate_hybrid,3343.0,3343,3343,53.00,53
attacks_aggregate_pqc,3327.0,3327,3327,52.00,52
attacks_dos_flood_hmac,34.0,34,34,1.00,1
attacks_dos_flood_hybrid,3343.0,3343,3343,53.00,53
attacks_dos_flood_pqc,3327.0,3327,3327,52.00,52
attacks_downgrade_hmac_hmac,34.0,34,34,1.00,1
attacks_downgrade_hmac_hybrid,3343.0,3343,3343,53.00,53
attacks_downgrade_hmac_pqc,3327.0,3327,3327,52.00,52
attacks_freshness_rollback_hmac,34.0,34,34,1.00,1
attacks_freshness_rollback_hybrid,3343.0,3343,3343,53.00,53
attacks_freshness_rollback_pqc,3327.0,3327,3327,52.00,52
attacks_harvest_now_hmac,34.0,34,34,1.00,1
attacks_harvest_now_hybrid,3343.0,3343,3343,53.00,53
attacks_harvest_now_pqc,3327.0,3327,3327,52.00,52
attacks_mitm_key_confuse_hmac,34.0,34,34,1.00,1
attacks_mitm_key_confuse_hybrid,3343.0,3343,3343,53.00,53
attacks_mitm_key_confuse_pqc,3327.0,3327,3327,52.00,52
attacks_replay_hmac,34.0,34,34,1.00,1
attacks_replay_hybrid,3343.0,3343,3343,53.00,53
attacks_replay_pqc,3327.0,3327,3327,52.00,52
attacks_sig_fuzz_hmac,34.0,34,34,1.00,1
attacks_sig_fuzz_hybrid,3343.0,3343,3343,53.00,53
attacks_sig_fuzz_pqc,3327.0,3327,3327,52.00,52
attacks_tamper_auth_hmac,34.0,34,34,1.00,1
attacks_tamper_auth_hybrid,3343.0,3343,3343,53.00,53
attacks_tamper_auth_pqc,3327.0,3327,3327,52.00,52
attacks_tamper_payload_hmac,34.0,34,34,1.00,1
attacks_tamper_payload_hybrid,3343.0,3343,3343,53.00,53
attacks_tamper_payload_pqc,3327.0,3327,3327,52.00,52
attacks_timing_probe_hmac,34.0,34,34,1.00,1
attacks_timing_probe_hybrid,3343.0,3343,3343,53.00,53
attacks_timing_probe_pqc,3327.0,3327,3327,52.00,52
baseline_hmac_r1,173.1,1050,1050,1.79,5
baseline_hybrid_r1,3482.1,4359,4359,114.14,418
baseline_pqc_r1,3466.1,4343,4343,113.57,416
bus_failure_aggregate,0.0,0,0,0.00,0
bus_failure_clean,34.0,34,34,1.00,1
bus_failure_heavy,34.0,34,34,1.00,1
bus_failure_noisy,34.0,34,34,1.00,1
deadline_relaxed,42.0,42,42,1.00,1
deadline_tight,34.0,34,34,0.00,0
flexray_hmac_r1,99.5,280,280,0.75,1
flexray_hybrid_r1,3408.5,3589,3589,39.75,53
flexray_pqc_r1,3392.5,3573,3573,39.25,53
freshness_overflow_hmac_r1,34.0,34,34,1.00,1
freshness_overflow_pqc_r1,3327.0,3327,3327,52.00,52
keymismatch_aggregate,0.0,0,0,0.00,0
keymismatch_mismatch,34.0,34,34,1.00,1
keymismatch_shared,34.0,34,34,1.00,1
mixed_bus_can,3327.0,3327,3327,52.00,52
mixed_bus_eth,3327.0,3327,3327,52.00,52
multi_ecu_aggregate,0.0,0,0,0.00,0
multi_ecu_rx0,0.0,0,0,0.00,0
multi_ecu_rx1,0.0,0,0,0.00,0
multi_ecu_rx2,0.0,0,0,0.00,0
multi_ecu_tx,34.0,34,34,1.00,1
persistence_aggregate,0.0,0,0,0.00,0
persistence_no_nvm,34.0,34,34,1.00,1
persistence_with_nvm,34.0,34,34,1.00,1
rekey_r1,0.0,0,0,0.00,0
replay_boundary_hmac_r1,34.0,34,34,1.00,1
replay_boundary_pqc_r1,3327.0,3327,3327,52.00,52
rollover_hmac_r1,34.0,34,34,1.00,1
rollover_pqc_r1,3327.0,3327,3327,52.00,52
tput_hmac_canfd_r1,34.0,34,34,1.00,1
tput_pqc_eth1000_r1,4343.0,4343,4343,3.00,3
tput_pqc_eth100_r1,4343.0,4343,4343,3.00,3
verify_disabled_r1,18.0,18,18,1.00,1
